--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,,-additional
16,Marco Andreolli,it ITA,DF,Chievo,32,1986,8,646,81,18.9,7.2,7,90,6,1,17,7,0.25,3,19,-16,-2.23,-1.13,Matches,13d820de
17,Cristian Ansaldi,ar ARG,MF,Torino,31,1986,24,1807,75,52.8,20.1,23,77,13,1,25,4,1.71,23,15,+8,+0.40,+0.01,Matches,bbafc0c4
18,Mirco Antenucci,it ITA,FW,SPAL,33,1984,35,2133,61,62.4,23.7,22,88,19,13,15,3,1.00,26,34,-8,-0.34,-0.06,Matches,43a2e16c
19,Luca Antonelli,it ITA,DFMF,Empoli,31,1987,13,755,58,22.1,8.4,10,67,4,3,27,8,0.92,10,18,-8,-0.95,-0.58,Matches,40f0ed6c
20,Mauro Antonio Burruchaga,ar ARG,MF,Chievo,20,1998,1,58,58,1.7,0.6,0,,0,1,58,24,1.00,0,0,0,0.00,+1.34,Matches,0830a4f9
21,Giorgos Antzoulas,gr GRE,DF,Fiorentina,18,2000,0,,,,,0,,0,0,,3,,,,,,,Matches,4b2a53a6
22,Joaquín Ardaiz,uy URU,FW,Frosinone,19,1999,1,20,20,0.6,0.2,0,,0,1,20,1,0.00,0,0,0,0.00,+1.06,Matches,eb823875
23,Simone Aresti,it ITA,GK,Cagliari,32,1986,0,,,,,0,,0,0,,37,,,,,,,Matches,a9eaccda
24,Lorenzo Ariaudo,it ITA,DF,Frosinone,29,1989,19,1682,89,49.2,18.7,19,89,17,0,,10,0.58,13,33,-20,-1.07,-0.03,Matches,68b78c2a
25,Nicolò Armini,it ITA,DF,Lazio,17,2001,1,38,38,1.1,0.4,0,,0,1,38,1,1.00,2,1,+1,+2.37,+2.13,Matches,2f7407fa
26,Kwadwo Asamoah,gh GHA,DFMF,Inter,29,1988,32,2671,83,78.1,29.7,30,87,27,2,25,5,1.84,42,26,+16,+0.54,-0.42,Matches,089550f5
27,Emil Audero,id IDN,GK,Sampdoria,21,1997,36,3240,90,94.7,36.0,36,90,36,0,,2,1.36,58,51,+7,+0.19,-0.81,Matches,649b01d8
28,Khouma Babacar,sn SEN,FW,Sassuolo,25,1993,29,1488,51,43.5,16.5,16,78,4,13,19,7,1.21,31,23,+8,+0.48,+1.18,Matches,422ec08a
29,Milan Badelj,hr CRO,MF,Lazio,29,1989,23,1141,50,33.4,12.7,14,69,4,9,19,12,1.30,15,22,-7,-0.55,-1.22,Matches,e8c930bb
30,Fabrizio Bagheria,it ITA,GK,Parma,17,2001,0,,,,,0,,0,0,,22,,,,,,,Matches,3f9e5324
31,Mohamed Bahlouli,fr FRA,MF,Sampdoria,18,2000,0,,,,,0,,0,0,,2,,,,,,,Matches,433030e4
32,Tiemoué Bakayoko,fr FRA,MF,Milan,23,1994,31,2301,74,67.3,25.6,26,85,21,5,19,6,1.61,30,23,+7,+0.27,-0.69,Matches,59bf127b
33,Keita Baldé,sn SEN,FWMF,Inter,23,1995,24,889,37,26.0,9.9,8,72,1,16,20,7,1.96,16,5,+11,+1.11,+0.65,Matches,509a4ccb
34,Andrija Balić,hr CRO,MF,Udinese,20,1997,4,27,7,0.8,0.3,0,,0,4,7,8,1.00,0,1,-1,-3.33,-2.99,Matches,9be4ee80
35,Mattia Bani,it ITA,DF,Chievo,24,1993,30,2610,87,76.3,29.0,29,89,26,1,38,3,0.60,19,48,-29,-1.00,+1.33,Matches,0821331c
36,Antonín Barák,cz CZE,MF,Udinese,23,1994,8,329,41,9.6,3.7,4,72,0,4,11,7,0.88,3,10,-7,-1.91,-1.71,Matches,01efac19
37,Yves Baraye,sn SEN,FWMF,Parma,26,1992,0,,,,,0,,0,0,,1,,,,,,,Matches,9cf87d33
38,Federico Barba,it ITA,DF,Chievo,24,1993,30,2483,83,72.6,27.6,29,85,26,1,21,2,0.63,17,48,-31,-1.12,+0.70,Matches,c010b898
39,Francesco Bardi,it ITA,GK,Frosinone,26,1992,3,270,90,7.9,3.0,3,90,3,0,,26,0.33,1,5,-4,-1.33,-0.30,Matches,0acda699
40,Nicolò Barella,it ITA,MF,Cagliari,21,1997,35,3107,89,90.8,34.5,35,89,30,0,,0,1.06,32,50,-18,-0.52,-0.52,Matches,6928979a
41,Antonino Barillà,it ITA,MF,Parma,30,1988,31,2618,84,76.5,29.1,30,87,23,1,16,3,1.19,33,40,-7,-0.24,+1.22,Matches,a64cbd35
42,Édgar Barreto,py PAR,MF,Sampdoria,34,1984,12,785,65,23.0,8.7,9,79,7,3,24,5,1.58,12,7,+5,+0.57,+0.44,Matches,43a1bea5
43,Musa Barrow,gm GAM,FW,Atalanta,19,1998,22,601,27,17.6,6.7,6,58,0,16,16,13,1.41,14,8,+6,+0.90,+0.10,Matches,e5bf73f3
44,Andrea Barzagli,it ITA,DF,Juventus,37,1981,7,260,37,7.6,2.9,4,62,0,3,4,17,2.29,5,3,+2,+0.69,-0.39,Matches,7c0000fd
45,Daniele Baselli,it ITA,MF,Torino,26,1992,34,2379,70,69.6,26.4,27,82,10,7,22,1,1.65,37,27,+10,+0.38,-0.05,Matches,ea06dd97
46,Dušan Basta,rs SRB,DFMF,Lazio,33,1984,0,,,,,0,,0,0,,6,,,,,,,Matches,3b57f7f8
47,Alessandro Bastoni,it ITA,DF,Parma,19,1999,24,1690,70,49.4,18.8,18,89,17,6,13,9,1.21,22,31,-9,-0.48,+0.09,Matches,75b86fb3
48,Bastos,ao ANG,DF,Lazio,27,1991,18,1139,63,33.3,12.7,11,88,8,7,25,19,1.44,15,20,-5,-0.40,-0.99,Matches,c01c66d9
49,Thomas Battistella,it ITA,MF,Udinese,17,2001,0,,,,,0,,0,0,,1,,,,,,,Matches,1ebee5ea
50,Andrea Beghetto,it ITA,MF,Frosinone,23,1994,27,2226,82,65.1,24.7,25,87,22,2,21,11,0.85,20,37,-17,-0.69,+1.05,Matches,438dfc6a
51,Valon Behrami,ch SUI,MF,Udinese,33,1985,19,1361,72,39.8,15.1,17,78,8,2,16,4,1.16,12,15,-3,-0.20,+0.28,Matches,d3d758d8
52,Luca Belardinelli,it ITA,MF,Empoli,17,2001,0,,,,,0,,0,0,,2,,,,,,,Matches,97066336
53,Vid Belec,si SVN,GK,Sampdoria,28,1990,0,,,,,0,,0,0,,37,,,,,,,Matches,4f8ce0e1
54,Raoul Bellanova,it ITA,MF,Milan,18,2000,0,,,,,0,,0,0,,2,,,,,,,Matches,e3756e72
55,Nicky Beloko,ch SUI,MF,Fiorentina,18,2000,1,45,45,1.3,0.5,0,,0,1,45,2,0.00,0,0,0,0.00,-0.05,Matches,714ffae7
56,Andrea Belotti,it ITA,FW,Torino,24,1993,37,3299,89,96.5,36.7,37,89,35,0,,0,1.68,51,35,+16,+0.44,+1.18,Matches,d705ba44
57,Marco Benassi,it ITA,MF,Fiorentina,23,1994,32,2282,71,66.7,25.4,29,76,12,3,23,4,1.16,31,28,+3,+0.12,+0.20,Matches,0000acda
58,Medhi Benatia,ma MAR,DF,Juventus,31,1987,5,450,90,13.2,5.0,5,90,5,0,,14,2.60,10,3,+7,+1.40,+0.40,Matches,3b15ef2d
59,Ismaël Bennacer,dz ALG,MF,Empoli,20,1997,37,2961,80,86.6,32.9,32,88,28,5,27,0,1.00,44,59,-15,-0.46,+0.33,Matches,db092d3b
60,Rodrigo Bentancur,uy URU,MF,Juventus,21,1997,31,2003,65,58.6,22.3,21,86,18,10,20,3,2.42,39,16,+23,+1.03,-0.05,Matches,3b8674e6
61,Domenico Berardi,it ITA,FWMF,Sassuolo,23,1994,35,2875,82,84.1,31.9,32,86,26,3,36,1,1.11,45,46,-1,-0.03,+0.96,Matches,53a0e358
62,Álex Berenguer,es ESP,MFFW,Torino,23,1995,31,1486,48,43.5,16.5,15,82,7,16,16,7,1.68,25,16,+9,+0.55,+0.27,Matches,dc1c2fce
63,Bartosz Bereszyński,pl POL,DF,Sampdoria,26,1992,27,2200,81,64.3,24.4,24,90,22,3,17,6,1.44,40,33,+7,+0.29,+0.14,Matches,61b3978f
64,Etrit Berisha,al ALB,GK,Atalanta,29,1989,18,1620,90,47.4,18.0,18,90,18,0,,20,1.67,37,25,+12,+0.67,-0.28,Matches,ee833569
65,Valon Berisha,xk KVX,MF,Lazio,25,1993,8,198,25,5.8,2.2,1,76,0,7,17,9,2.13,3,1,+2,+0.91,+0.69,Matches,d5575935
66,Federico Bernardeschi,it ITA,MFFW,Juventus,24,1994,28,1473,53,43.1,16.4,14,79,3,14,26,5,2.43,34,12,+22,+1.34,+0.51,Matches,ee93c1a9
67,Tommaso Berni,it ITA,GK,Inter,35,1983,0,,,,,0,,0,0,,1,,,,,,,Matches,7b8f85c7
68,Andrea Bertolacci,it ITA,MF,Milan,27,1991,0,,,,,0,,0,0,,34,,,,,,,Matches,c75b6a02
69,Emmanuel Besea,gh GHA,MF,Frosinone,21,1997,0,,,,,0,,0,0,,9,,,,,,,Matches,fef67c38
70,Daniel Bessa,it ITA,MF,Genoa,25,1993,34,2441,72,71.4,27.1,25,87,15,9,30,3,0.88,25,38,-13,-0.48,-0.02,Matches,88895312
71,Davide Bettella,it ITA,DF,Atalanta,18,2000,0,,,,,0,,0,0,,9,,,,,,,Matches,2edcd048
72,Jonathan Biabiany,fr FRA,FW,Parma,30,1988,18,1069,59,31.3,11.9,12,78,5,6,22,7,1.06,12,26,-14,-1.18,-0.95,Matches,6b99d135
73,Alessio Bianchi,it ITA,MF,Lazio,17,2000,0,,,,,0,,0,0,,1,,,,,,,Matches,8b3b2e10
74,Lucas Biglia,ar ARG,MF,Milan,32,1986,16,1114,70,32.6,12.4,13,81,10,3,21,9,1.81,21,15,+6,+0.48,-0.02,Matches,5710a281
75,Cristiano Biraghi,it ITA,DFMF,Fiorentina,25,1992,36,3194,89,93.4,35.5,36,89,34,0,,1,1.06,41,40,+1,+0.03,-0.37,Matches,9e1577aa
76,Davide Biraschi,it ITA,DF,Genoa,24,1994,34,2841,84,83.1,31.6,32,87,27,2,37,3,1.03,34,48,-14,-0.44,+0.18,Matches,64cd167d
77,Valter Birsa,si SVN,MFFW,Cagliari,31,1986,12,353,29,10.3,3.9,4,55,0,8,17,3,1.00,3,6,-3,-0.76,-0.32,Matches,455a2b79
78,Valter Birsa,si SVN,FWMF,Chievo,31,1986,17,1101,65,32.2,12.2,12,80,5,5,27,1,0.65,9,18,-9,-0.74,+0.86,Matches,455a2b79
79,Kevin-Prince Boateng,gh GHA,FW,Sassuolo,31,1987,13,938,72,27.4,10.4,11,80,5,2,32,1,1.23,17,19,-2,-0.19,-0.01,Matches,f4ec4fd0
80,Milos Bocic,rs SRB,FW,Udinese,18,2000,0,,,,,0,,0,0,,5,,,,,,,Matches,e6d74685
81,Jeremie Boga,ci CIV,FWMF,Sassuolo,21,1997,25,1443,58,42.2,16.0,14,83,7,11,26,2,1.12,22,27,-5,-0.31,-0.22,Matches,fe012aca
82,Giacomo Bonaventura,it ITA,MF,Milan,28,1989,8,646,81,18.9,7.2,8,81,3,0,,0,1.50,14,10,+4,+0.56,+0.07,Matches,d995ed27
83,Kevin Bonifazi,it ITA,DF,SPAL,22,1996,27,2301,85,67.3,25.6,26,88,23,1,22,7,1.07,34,39,-5,-0.20,+0.37,Matches,fb77bfef
84,Leonardo Bonucci,it ITA,DF,Juventus,31,1987,29,2472,85,72.3,27.5,27,88,26,2,46,6,2.45,50,21,+29,+1.06,+0.01,Matches,52ec54d0
85,Fabio Borini,it ITA,FWMF,Milan,27,1991,20,1054,53,30.8,11.7,10,85,6,10,21,14,2.00,19,12,+7,+0.60,+0.14,Matches,ef5b337e
86,Mehdi Bourabia,ma MAR,MF,Sassuolo,26,1991,32,2010,63,58.8,22.3,21,82,15,11,27,2,1.13,29,32,-3,-0.13,+0.12,Matches,0d077b88
87,Filip Bradarić,hr CRO,MF,Cagliari,26,1992,27,1494,55,43.7,16.6,17,79,8,10,15,8,1.15,14,23,-9,-0.54,-0.12,Matches,605873e1
88,Michele Bragantini,it ITA,GK,Chievo,17,2001,0,,,,,0,,0,0,,1,,,,,,,Matches,7dbe93bf
89,Federico Brancolini,it ITA,GK,Fiorentina,17,2001,0,,,,,0,,0,0,,26,,,,,,,Matches,d4890c25
90,Gabriel Brazão,br BRA,GK,Parma,17,2000,0,,,,,0,,0,0,,12,,,,,,,Matches,18c697e8
91,Gleison Bremer,br BRA,DF,Torino,21,1997,5,183,37,5.4,2.0,2,84,1,3,5,33,2.00,3,3,0,0.00,-0.42,Matches,5fd5ed86
92,Marco Brescianini,it ITA,MF,Milan,18,2000,0,,,,,0,,0,0,,2,,,,,,,Matches,dfd56738
93,Nicolò Brighenti,it ITA,DF,Frosinone,28,1989,11,990,90,28.9,11.0,11,90,11,0,,24,0.55,6,23,-17,-1.55,-0.69,Matches,54c356b0
94,Matteo Brighi,it ITA,MF,Empoli,37,1981,10,231,23,6.8,2.6,1,56,0,9,19,28,1.70,5,4,+1,+0.39,+0.95,Matches,d417b306
95,Enrico Brignola,it ITA,MFFW,Sassuolo,19,1999,7,175,25,5.1,1.9,2,54,0,5,14,24,1.57,3,5,-2,-1.03,-0.89,Matches,d0643f8f
96,Marcelo Brozović,hr CRO,MF,Inter,25,1992,32,2650,83,77.5,29.4,31,84,23,1,34,0,1.66,39,29,+10,+0.34,-1.30,Matches,33b8d077
97,Eduardo Bubacar Baldé,it ITA,FW,Empoli,19,1999,0,,,,,0,,0,0,,2,,,,,,,Matches,3caf4f73
98,Rafael Cabral,br BRA,GK,Sampdoria,28,1990,2,180,90,5.3,2.0,2,90,2,0,,35,2.00,2,0,+2,+1.00,+0.81,Matches,806f7a26
99,Fabrizio Cacciatore,it ITA,DF,Cagliari,31,1986,7,580,83,17.0,6.4,7,83,4,0,,3,1.43,10,7,+3,+0.47,+1.13,Matches,00b0bb87
100,Fabrizio Cacciatore,it ITA,DF,Chievo,31,1986,7,497,71,14.5,5.5,5,90,5,2,24,0,0.43,3,10,-7,-1.27,+0.06,Matches,00b0bb87
101,Martín Cáceres,uy URU,DF,Juventus,31,1987,9,628,70,18.4,7.0,7,86,6,2,14,4,1.78,11,10,+1,+0.14,-1.11,Matches,e94d79e3
102,Martín Cáceres,uy URU,DFMF,Lazio,31,1987,4,307,77,9.0,3.4,3,90,3,1,37,11,1.50,6,6,0,0.00,-0.29,Matches,e94d79e3
103,Felipe Caicedo,ec ECU,FW,Lazio,29,1988,28,1371,49,40.1,15.2,17,65,2,11,25,7,1.68,26,17,+9,+0.59,+0.55,Matches,93b891d1
104,Arturo Calabresi,it ITA,DF,Bologna,22,1996,18,1412,78,41.3,15.7,16,85,14,2,23,19,0.89,14,27,-13,-0.83,-1.05,Matches,34bb6fbd
105,Davide Calabria,it ITA,DF,Milan,21,1996,26,1950,75,57.0,21.7,22,85,15,4,20,4,1.54,27,20,+7,+0.32,-0.41,Matches,2146785a
106,Mattia Caldara,it ITA,DF,Milan,24,1994,0,,,,,0,,0,0,,12,,,,,,,Matches,ac7e640b
107,Hakan Çalhanoğlu,tr TUR,MFFW,Milan,24,1994,36,2884,80,84.3,32.0,34,84,19,2,19,0,1.81,43,25,+18,+0.56,+0.39,Matches,cd0fa27b
108,José Callejón,es ESP,MFFW,Napoli,31,1987,34,2650,78,77.5,29.4,29,87,22,5,24,4,2.12,60,28,+32,+1.09,+0.39,Matches,78841da9
109,Drissa Camara,ci CIV,MF,Parma,16,2002,0,,,,,0,,0,0,,1,,,,,,,Matches,543d9d2b
110,Nicolò Cambiaghi,it ITA,FWMF,Atalanta,17,2000,0,,,,,0,,0,0,,1,,,,,,,Matches,91ff775f
111,Joel Campbell,cr CRC,FWMF,Frosinone,26,1992,17,891,52,26.1,9.9,11,73,2,6,15,1,0.53,10,23,-13,-1.31,-0.35,Matches,895ff3ca
112,Emre Can,de GER,MF,Juventus,24,1994,29,1811,62,53.0,20.1,20,83,16,9,18,1,2.41,35,15,+20,+0.99,-0.12,Matches,a65ce836
113,João Cancelo,pt POR,DFMF,Juventus,24,1994,25,1968,79,57.5,21.9,22,87,20,3,16,7,2.24,44,17,+27,+1.23,+0.43,Matches,bd6351cd
114,Antonio Candela,it ITA,DFMF,Genoa,18,2000,0,,,,,0,,0,0,,1,,,,,,,Matches,d4307c52
115,Antonio Candreva,it ITA,MF,Inter,31,1987,18,502,28,14.7,5.6,5,60,0,13,16,20,1.78,11,4,+7,+1.25,+0.73,Matches,356c9002
116,Gianmarco Cangiano,it ITA,FW,Roma,16,2001,0,,,,,0,,0,0,,2,,,,,,,Matches,a36084cd
117,Luan Capanni,br BRA,MF,Lazio,18,2000,1,9,9,0.3,0.1,0,,0,1,9,3,0.00,0,0,0,0.00,-0.26,Matches,28237d7e
118,Leonardo Capezzi,it ITA,MF,Empoli,23,1995,12,772,64,22.6,8.6,9,81,4,3,14,20,1.15,11,17,-6,-0.70,-0.26,Matches,07ea0ef2
119,Gianluca Caprari,it ITA,FWMF,Sampdoria,25,1993,21,1031,49,30.1,11.5,12,68,0,9,24,3,1.48,19,15,+4,+0.35,+0.16,Matches,54e53b7e
120,Elia Caprile,it ITA,GK,Chievo,16,2001,0,,,,,0,,0,0,,15,,,,,,,Matches,97d7afbd
121,Marco Capuano,it ITA,DF,Frosinone,26,1991,27,2307,85,67.5,25.6,27,85,21,0,,7,0.78,23,42,-19,-0.74,+0.96,Matches,616aea37
122,Francesco Caputo,it ITA,FW,Empoli,30,1987,38,3420,90,100.0,38.0,38,90,38,0,,0,1.00,51,70,-19,-0.50,,Matches,5bd72174
123,Riccardo Cargnelutti,it ITA,DF,Roma,19,1999,0,,,,,0,,0,0,,2,,,,,,,Matches,ca89b6a7
124,Francesco Cassata,it ITA,MF,Frosinone,21,1997,19,1124,59,32.9,12.5,14,71,4,5,27,15,0.74,13,25,-12,-0.96,+0.14,Matches,96960855
125,Timothy Castagne,be BEL,MF,Atalanta,22,1995,28,2006,72,58.7,22.3,21,88,18,7,23,10,1.89,48,29,+19,+0.85,+0.09,Matches,197640fd
126,Samu Castillejo,es ESP,FW,Milan,23,1995,31,1023,33,29.9,11.4,8,75,3,23,18,7,1.84,16,11,+5,+0.44,-0.09,Matches,130a7a3f
127,Lucas Castro,ar ARG,MF,Cagliari,29,1989,12,896,75,26.2,10.0,10,85,5,2,23,2,1.08,12,11,+1,+0.10,+0.78,Matches,56b2957b
128,Danilo Cataldi,it ITA,MFFW,Lazio,23,1994,12,578,48,16.9,6.4,4,87,3,8,29,26,1.67,12,12,0,0.00,-0.32,Matches,ba3d3bea
129,Federico Ceccherini,it ITA,DF,Fiorentina,26,1992,15,994,66,29.1,11.0,11,84,8,4,17,23,1.07,12,15,-3,-0.27,-0.46,Matches,d9624b51
130,Žan Celar,si SVN,FW,Roma,19,1999,1,5,5,0.1,0.1,0,,0,1,5,3,3.00,0,0,0,0.00,-0.47,Matches,868c6958
131,Álex Centelles,es ESP,DF,Udinese,20,1997,0,,,,,0,,0,0,,15,,,,,,,Matches,ae852b7d
132,Luca Ceppitelli,it ITA,DF,Cagliari,28,1989,24,2051,85,60.0,22.8,24,85,21,0,,1,1.21,22,33,-11,-0.48,-0.02,Matches,7d50454d
133,Fabio Ceravolo,it ITA,FW,Parma,31,1987,25,1185,47,34.6,13.2,12,75,3,13,22,11,0.84,10,19,-9,-0.68,-0.24,Matches,4cc93246
134,Alessandro Cerbara,it ITA,MF,Lazio,17,2001,0,,,,,0,,0,0,,1,,,,,,,Matches,00aedd0e
135,Alberto Cerri,it ITA,FW,Cagliari,22,1996,15,670,45,19.6,7.4,7,71,2,8,22,15,0.73,6,11,-5,-0.67,-0.25,Matches,1079c685
136,Boštjan Cesar,si SVN,DF,Chievo,36,1982,14,1079,77,31.5,12.0,11,90,11,3,30,17,0.57,9,23,-14,-1.17,+0.22,Matches,c1d18f10
137,Raman Chibsah,gh GHA,MF,Frosinone,25,1993,32,2622,82,76.7,29.1,30,86,24,2,16,2,0.75,22,56,-34,-1.17,-0.49,Matches,aa5a409a
138,Giorgio Chiellini,it ITA,DF,Juventus,33,1984,25,1991,80,58.2,22.1,22,88,20,3,19,9,2.52,41,13,+28,+1.27,+0.51,Matches,e85fb9b8
139,Federico Chiesa,it ITA,FWMF,Fiorentina,20,1997,37,3034,82,88.7,33.7,34,86,29,3,35,0,1.08,41,40,+1,+0.03,-0.20,Matches,b0f7e36c
140,Vlad Chiricheș,ro ROU,DF,Napoli,28,1989,3,147,49,4.3,1.6,3,49,1,0,,8,1.33,3,1,+2,+1.22,+0.23,Matches,c316607a
141,Camillo Ciano,it ITA,FWMF,Frosinone,28,1990,33,2454,74,71.8,27.3,28,83,15,5,23,1,0.64,23,47,-24,-0.88,+0.61,Matches,2114abf9
142,Amato Ciciretti,it ITA,FW,Parma,24,1993,6,139,23,4.1,1.5,1,60,0,5,16,10,0.17,0,6,-6,-3.88,-3.50,Matches,1ab0b878
143,Luca Cigarini,it ITA,MF,Cagliari,32,1986,25,1682,67,49.2,18.7,20,80,9,5,16,12,1.20,19,25,-6,-0.32,+0.30,Matches,ae64d449
144,Daniel Ciofani,it ITA,FW,Frosinone,33,1985,31,1618,52,47.3,18.0,17,81,9,14,17,2,0.77,15,30,-15,-0.83,+0.41,Matches,b09a3ecc
145,Thiago Cionek,pl POL,DF,SPAL,32,1986,31,2542,82,74.3,28.2,29,86,22,2,26,3,1.16,34,42,-8,-0.28,+0.13,Matches,46f5c54d
146,Luca Coccolo,it ITA,DF,Juventus,20,1998,0,,,,,0,,0,0,,1,,,,,,,Matches,c426907e
147,Facundo Colidio,ar ARG,FWMF,Inter,18,2000,0,,,,,0,,0,0,,3,,,,,,,Matches,69a6523a
148,Omar Colley,gm GAM,DF,Sampdoria,25,1992,21,1762,84,51.5,19.6,21,84,18,0,,16,1.48,32,24,+8,+0.41,+0.35,Matches,8b95acda
149,Andrea Colpani,it ITA,MF,Atalanta,19,1999,0,,,,,0,,0,0,,6,,,,,,,Matches,6499048c
150,Andrea Consigli,it ITA,GK,Sassuolo,31,1987,36,3213,89,93.9,35.7,36,89,35,0,,1,1.17,51,56,-5,-0.14,+0.73,Matches,8cabdc1e
151,Andrea Conti,it ITA,DF,Milan,24,1994,12,500,42,14.6,5.6,4,72,1,8,27,15,1.67,8,3,+5,+0.90,+0.47,Matches,8fef5412
152,Gabriele Corbo,it ITA,DF,Bologna,18,2000,1,5,5,0.1,0.1,0,,0,1,5,7,3.00,0,0,0,0.00,+0.21,Matches,091795f2
153,Ante Ćorić,hr CRO,MF,Roma,21,1997,2,24,12,0.7,0.3,0,,0,2,12,23,1.50,0,0,0,0.00,-0.48,Matches,2d3f7367
154,Andreas Cornelius,dk DEN,FW,Atalanta,25,1993,0,,,,,0,,0,0,,2,,,,,,,Matches,c693347d
155,Joaquín Correa,ar ARG,FW,Lazio,23,1994,34,1927,57,56.3,21.4,18,79,12,16,32,2,1.47,37,25,+12,+0.56,+0.68,Matches,45b9b619
156,Douglas Costa,br BRA,MFFW,Juventus,27,1990,17,621,37,18.2,6.9,7,61,0,10,20,1,2.65,13,7,+6,+0.87,-0.22,Matches,4fa7cb9b
157,Filippo Costa,it ITA,MF,SPAL,23,1995,9,564,63,16.5,6.3,6,84,5,3,21,28,1.11,10,11,-1,-0.16,+0.19,Matches,00528660
158,Angelo da Costa Júnior,br BRA,GK,Bologna,34,1983,0,,,,,0,,0,0,,37,,,,,,,Matches,18736214
159,Mamadou Coulibaly,sn SEN,MF,Udinese,19,1999,0,,,,,0,,0,0,,2,,,,,,,Matches,c976160c
160,Alessio Cragno,it ITA,GK,Cagliari,24,1994,38,3420,90,100.0,38.0,38,90,38,0,,0,1.08,36,54,-18,-0.47,,Matches,f554e29b
161,Domenico Criscito,it ITA,DFMF,Genoa,31,1986,35,3070,88,89.8,34.1,35,88,34,0,,0,1.09,36,44,-8,-0.23,+2.34,Matches,35dd6d80
162,Lorenzo Crisetig,it ITA,MF,Frosinone,25,1993,8,507,63,14.8,5.6,5,88,4,3,22,10,0.50,0,11,-11,-1.95,-1.06,Matches,f54dfca8
163,Bryan Cristante,it ITA,MF,Roma,23,1995,35,2425,69,70.9,26.9,26,84,22,9,27,1,1.69,46,41,+5,+0.19,-0.99,Matches,16657b95
164,Alessio da Cruz,cv CPV,FW,Parma,21,1997,3,144,48,4.2,1.6,1,90,1,2,27,7,1.00,0,1,-1,-0.62,-0.10,Matches,b6667741
165,Juan Cuadrado,co COL,MFDF,Juventus,30,1988,18,1220,68,35.7,13.6,14,81,7,4,22,3,2.06,18,14,+4,+0.30,-1.18,Matches,0ab1f153
166,Marco Curto,it ITA,DF,Empoli,19,1999,0,,,,,0,,0,0,,1,,,,,,,Matches,57f86750
167,Patrick Cutrone,it ITA,FW,Milan,20,1998,34,1457,43,42.6,16.2,12,85,9,22,20,2,1.76,20,13,+7,+0.43,-0.12,Matches,a4fe8cda
