--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Atalanta,27,26.5,57.3,38,418,3420,38.0,75,60,135,73,2,4,63,3,1.97,1.58,3.55,1.92,3.50
Bologna,29,27.0,44.9,38,418,3420,38.0,45,35,80,40,5,5,94,6,1.18,0.92,2.11,1.05,1.97
Cagliari,30,27.9,49.8,38,418,3420,38.0,35,27,62,33,2,3,99,9,0.92,0.71,1.63,0.87,1.58
Chievo,36,28.3,43.3,38,418,3420,38.0,25,17,42,21,4,6,116,7,0.66,0.45,1.11,0.55,1.00
Empoli,29,26.4,47.9,38,418,3420,38.0,48,36,84,44,4,7,74,3,1.26,0.95,2.21,1.16,2.11
Fiorentina,27,24.1,50.4,38,418,3420,38.0,45,24,69,40,5,6,91,5,1.18,0.63,1.82,1.05,1.68
Frosinone,33,26.4,41.5,38,418,3420,38.0,28,21,49,24,4,5,99,2,0.74,0.55,1.29,0.63,1.18
Genoa,31,26.0,43.4,38,418,3420,38.0,37,26,63,33,4,5,96,7,0.97,0.68,1.66,0.87,1.55
Inter,23,27.7,59.4,38,418,3420,38.0,57,36,93,49,8,9,75,3,1.50,0.95,2.45,1.29,2.24
Juventus,31,28.0,55.9,38,418,3420,38.0,66,44,110,59,7,8,78,4,1.74,1.16,2.89,1.55,2.71
Lazio,30,27.9,50.8,38,418,3420,38.0,54,35,89,48,6,6,90,4,1.42,0.92,2.34,1.26,2.18
Milan,23,24.8,54.1,38,418,3420,38.0,51,35,86,48,3,4,82,5,1.34,0.92,2.26,1.26,2.18
Napoli,26,27.0,59.1,38,418,3420,38.0,73,54,127,70,3,4,75,5,1.92,1.42,3.34,1.84,3.26
Parma,31,29.4,37.7,38,418,3420,38.0,40,22,62,36,4,5,84,3,1.05,0.58,1.63,0.95,1.53
Roma,26,27.5,51.4,38,418,3420,38.0,65,41,106,59,6,6,90,2,1.71,1.08,2.79,1.55,2.63
Sampdoria,24,26.1,54.9,38,418,3420,38.0,60,41,101,50,10,12,92,3,1.58,1.08,2.66,1.32,2.39
Sassuolo,29,25.4,53.8,38,418,3420,38.0,50,33,83,45,5,5,90,8,1.32,0.87,2.18,1.18,2.05
SPAL,28,27.8,50.4,38,418,3420,38.0,44,30,74,37,7,8,113,3,1.16,0.79,1.95,0.97,1.76
Torino,25,27.6,51.1,38,418,3420,38.0,50,31,81,45,5,6,89,4,1.32,0.82,2.13,1.18,2.00
Udinese,31,25.3,42.6,38,418,3420,38.0,37,30,67,34,3,8,92,4,0.97,0.79,1.76,0.89,1.68


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2018-2019/2018-2019-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_standard_for">View Original Table</a><br>Generated 8/26/2026.
