--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Standard,,,,,,,,,
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Atalanta,27,38.0,75,637,214,33.6,16.76,5.63,0.12,0.35,2,4
Bologna,29,38.0,45,495,158,31.9,13.03,4.16,0.09,0.28,5,5
Cagliari,30,38.0,35,433,124,28.6,11.39,3.26,0.08,0.28,2,3
Chievo,36,38.0,25,385,110,28.6,10.13,2.89,0.06,0.23,4,6
Empoli,29,38.0,48,450,148,32.9,11.84,3.89,0.11,0.32,4,7
Fiorentina,27,38.0,45,579,168,29.0,15.24,4.42,0.08,0.27,5,6
Frosinone,33,38.0,28,450,120,26.7,11.84,3.16,0.06,0.23,4,5
Genoa,31,38.0,37,528,147,27.8,13.89,3.87,0.07,0.25,4,5
Inter,23,38.0,57,625,186,29.8,16.45,4.89,0.09,0.31,8,9
Juventus,31,38.0,66,601,191,31.8,15.82,5.03,0.11,0.35,7,8
Lazio,30,38.0,54,606,182,30.0,15.95,4.79,0.09,0.30,6,6
Milan,23,38.0,51,582,192,33.0,15.32,5.05,0.09,0.27,3,4
Napoli,26,38.0,73,702,231,32.9,18.47,6.08,0.10,0.32,3,4
Parma,31,38.0,40,350,105,30.0,9.21,2.76,0.11,0.38,4,5
Roma,26,38.0,65,616,210,34.1,16.21,5.53,0.11,0.31,6,6
Sampdoria,24,38.0,60,475,166,34.9,12.50,4.37,0.13,0.36,10,12
Sassuolo,29,38.0,50,507,150,29.6,13.34,3.95,0.10,0.33,5,5
SPAL,28,38.0,44,454,129,28.4,11.95,3.39,0.10,0.34,7,8
Torino,25,38.0,50,513,175,34.1,13.50,4.61,0.10,0.29,5,6
Udinese,31,38.0,37,455,119,26.2,11.97,3.13,0.08,0.31,3,8


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2018-2019/2018-2019-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_shooting_for">View Original Table</a><br>Generated 8/26/2026.
