--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90
Atalanta,27,26.5,38,3420,90,100,38.0,418,84,308,109,22,311,1.82,77,46,+31,+0.82
Bologna,29,27.0,38,3420,90,100,38.0,418,85,301,112,19,339,1.16,48,56,-8,-0.21
Cagliari,30,27.9,38,3420,90,100,38.0,418,84,296,113,21,310,1.08,36,54,-18,-0.47
Chievo,36,28.3,38,3420,90,100,38.0,418,83,300,113,23,327,0.53,25,75,-50,-1.32
Empoli,29,26.4,38,3420,90,100,38.0,418,85,311,106,21,319,1.00,51,70,-19,-0.50
Fiorentina,27,24.1,38,3420,90,100,38.0,418,84,306,109,23,316,1.08,47,45,+2,+0.05
Frosinone,33,26.4,38,3420,90,100,38.0,418,85,306,110,20,339,0.66,29,69,-40,-1.05
Genoa,31,26.0,38,3420,90,100,38.0,418,83,300,112,23,327,1.00,39,57,-18,-0.47
Inter,23,27.7,38,3420,90,100,38.0,418,85,303,114,20,251,1.82,57,33,+24,+0.63
Juventus,31,28.0,38,3420,90,100,38.0,418,85,315,102,20,251,2.37,70,30,+40,+1.05
Lazio,30,27.9,38,3420,90,100,38.0,418,83,301,113,24,328,1.55,56,46,+10,+0.26
Milan,23,24.8,38,3420,90,100,38.0,418,85,309,104,20,334,1.79,55,36,+19,+0.50
Napoli,26,27.0,38,3420,90,100,38.0,418,84,300,113,23,261,2.08,74,36,+38,+1.00
Parma,31,29.4,38,3420,90,100,38.0,418,85,302,113,19,306,1.08,41,61,-20,-0.53
Roma,26,27.5,38,3420,90,100,38.0,418,84,305,111,23,287,1.74,66,48,+18,+0.47
Sampdoria,24,26.1,38,3420,90,100,38.0,418,84,303,112,22,314,1.39,60,51,+9,+0.24
Sassuolo,29,25.4,38,3420,90,100,38.0,418,84,299,113,21,333,1.13,53,60,-7,-0.18
SPAL,28,27.8,38,3420,90,100,38.0,418,85,302,113,19,332,1.11,44,56,-12,-0.32
Torino,25,27.6,38,3420,90,100,38.0,418,85,304,112,20,273,1.66,52,37,+15,+0.39
Udinese,31,25.3,38,3420,90,100,38.0,418,85,311,104,19,297,1.13,39,53,-14,-0.37


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2018-2019/2018-2019-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_playing_time_for">View Original Table</a><br>Generated 8/26/2026.
