--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
1,Francesco Acerbi,it ITA,DF,Lazio,31,1988,35.1,2,16,5,31.3,0.46,0.14,0.13,0.40,0,0,Matches,b96b595c
2,Bobby Adekanye,nl NED,FWMF,Lazio,20,1999,2.1,1,5,4,80.0,2.39,1.91,0.20,0.25,0,0,Matches,3ed84b2c
3,Claud Adjapong,it ITA,MF,Hellas Verona,21,1998,2.6,0,3,1,33.3,1.17,0.39,0.00,0.00,0,0,Matches,ce5b170a
4,Lucien Agoume,fr FRA,MF,Inter,17,2002,0.8,0,0,0,,0.00,0.00,,,0,0,Matches,8bc8829a
5,Kevin Agudelo,co COL,MFFW,Genoa,20,1998,7.4,1,10,2,20.0,1.35,0.27,0.10,0.50,0,0,Matches,46fa7204
6,Kevin Agudelo,co COL,MF,Fiorentina,20,1998,0.7,0,4,0,0.0,5.63,0.00,0.00,,0,0,Matches,46fa7204
7,Emmanuel Agyemang-Badu,gh GHA,MF,Hellas Verona,28,1990,2.6,0,0,0,,0.00,0.00,,,0,0,Matches,fe0b8f0e
8,Ola Aina,ng NGA,MF,Torino,22,1996,23.1,0,12,2,16.7,0.52,0.09,0.00,0.00,0,0,Matches,246d153b
9,Luis Alberto,es ESP,MF,Lazio,26,1992,34.6,6,98,28,28.6,2.83,0.81,0.06,0.21,1,1,Matches,5294a83f
10,Enrico Alfonso,it ITA,GK,Brescia,31,1988,3.1,0,0,0,,0.00,0.00,,,0,0,Matches,95adf1e1
11,Allan,br BRA,MF,Napoli,28,1991,14.2,2,12,7,58.3,0.84,0.49,0.17,0.29,0,0,Matches,cc700722
12,Bruno Alves,pt POR,DF,Parma,37,1981,29.7,0,24,1,4.2,0.81,0.03,0.00,0.00,0,0,Matches,585a73a8
13,Sofyan Amrabat,ma MAR,MF,Hellas Verona,22,1996,32.4,1,19,7,36.8,0.59,0.22,0.05,0.14,1,1,Matches,5a2cb25d
14,Djavan Anderson,sr SUR,MF,Lazio,24,1995,1.9,0,1,0,0.0,0.54,0.00,0.00,,0,0,Matches,ca241ad3
15,Lorenzo Andrenacci,it ITA,GK,Brescia,24,1995,5.9,0,0,0,,0.00,0.00,,,0,0,Matches,fe471a89
16,Peter Ankersen,dk DEN,MFDF,Genoa,28,1990,11.8,0,13,3,23.1,1.10,0.25,0.00,0.00,0,0,Matches,df525574
17,Cristian Ansaldi,ar ARG,MF,Torino,32,1986,19.6,4,29,8,27.6,1.48,0.41,0.14,0.50,0,0,Matches,bbafc0c4
18,Mirko Antonucci,it ITA,FWMF,Roma,20,1999,0.9,0,3,0,0.0,3.29,0.00,0.00,,0,0,Matches,91976866
19,Guilherme Arana,br BRA,DFMF,Atalanta,22,1997,0.9,0,0,0,,0.00,0.00,,,0,0,Matches,2b15a82a
20,Nicolò Armini,it ITA,DF,Lazio,18,2001,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,2f7407fa
21,Kwadwo Asamoah,gh GHA,MF,Inter,30,1988,7.1,0,3,1,33.3,0.42,0.14,0.00,0.00,0,0,Matches,089550f5
22,Kristoffer Askildsen,no NOR,MF,Sampdoria,18,2001,0.8,1,1,1,100.0,1.18,1.18,1.00,1.00,0,0,Matches,a69cc629
23,Emil Audero,id IDN,GK,Sampdoria,22,1997,36.0,0,0,0,,0.00,0.00,,,0,0,Matches,649b01d8
