--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
560,Vito Radicchio,it ITA,DF,Lecce,16,2002,0,,,,,0,,0,0,,7,,,,,,,Matches,eb0a17d4
561,Ivan Radovanović,rs SRB,MF,Genoa,30,1988,19,1318,69,38.5,14.6,15,85,12,4,13,4,1.00,14,30,-16,-1.09,-0.66,Matches,023937a9
562,Ionuț Radu,ro ROU,GK,Genoa,22,1997,17,1530,90,44.7,17.0,17,90,17,0,,4,0.65,17,35,-18,-1.06,-0.68,Matches,67f649be
563,Ionuț Radu,ro ROU,GK,Parma,22,1997,0,,,,,0,,0,0,,7,,,,,,,Matches,67f649be
564,Ștefan Radu,ro ROU,DF,Lazio,32,1986,29,2306,80,67.4,25.6,28,81,18,1,45,0,2.07,55,25,+30,+1.17,+0.61,Matches,53de807a
565,Boris Radunović,rs SRB,GK,Hellas Verona,23,1996,3,270,90,7.9,3.0,3,90,3,0,,32,1.00,4,8,-4,-1.33,-1.33,Matches,0dfce079
566,Rafael,br BRA,GK,Cagliari,37,1982,6,454,76,13.3,5.0,5,90,5,1,4,31,0.83,8,11,-3,-0.59,-0.56,Matches,dd06d56c
567,Daniele Ragatzu,it ITA,MFFW,Cagliari,27,1991,13,313,24,9.2,3.5,2,62,0,11,17,15,0.92,3,5,-2,-0.58,-0.52,Matches,282b3a4d
568,Gastón Ramírez,uy URU,MFFW,Sampdoria,28,1990,26,1392,54,40.7,15.5,19,66,3,7,21,9,1.08,19,30,-11,-0.71,-0.44,Matches,2c851997
569,Aaron Ramsey,wls WAL,MFFW,Juventus,28,1990,24,1051,44,30.7,11.7,11,67,1,13,24,8,2.25,27,12,+15,+1.28,+0.60,Matches,ef619b0b
570,Luca Ranieri,it ITA,DF,Fiorentina,20,1999,3,232,77,6.8,2.6,2,90,2,1,52,17,0.33,2,4,-2,-0.78,-0.92,Matches,8c63fae5
571,Andrea Ranocchia,it ITA,DF,Inter,31,1988,7,526,75,15.4,5.8,5,83,4,2,57,30,2.43,18,2,+16,+2.74,+1.84,Matches,539230cf
572,Jacob Rasmussen,dk DEN,DF,Fiorentina,22,1997,0,,,,,0,,0,0,,3,,,,,,,Matches,283699b4
