--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Francesco Acerbi,it ITA,DF,Lazio,31,1988,36,36,3162,35.1,2,2,4,2,0,0,4,0,0.06,0.06,0.11,0.06,0.11,Matches,b96b595c
2,Bobby Adekanye,nl NED,FWMF,Lazio,20,1999,11,0,188,2.1,1,0,1,1,0,0,1,0,0.48,0.00,0.48,0.48,0.48,Matches,3ed84b2c
3,Claud Adjapong,it ITA,MF,Hellas Verona,21,1998,5,2,231,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ce5b170a
4,Lucien Agoume,fr FRA,MF,Inter,17,2002,3,0,68,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8bc8829a
5,Kevin Agudelo,co COL,MFFW,Genoa,20,1998,10,7,666,7.4,1,1,2,1,0,0,5,1,0.14,0.14,0.27,0.14,0.27,Matches,46fa7204
6,Kevin Agudelo,co COL,MF,Fiorentina,20,1998,3,1,64,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,46fa7204
7,Emmanuel Agyemang-Badu,gh GHA,MF,Hellas Verona,28,1990,10,2,230,2.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,fe0b8f0e
8,Ola Aina,ng NGA,MF,Torino,22,1996,32,20,2079,23.1,0,2,2,0,0,0,8,0,0.00,0.09,0.09,0.00,0.09,Matches,246d153b
9,Luis Alberto,es ESP,MF,Lazio,26,1992,36,36,3113,34.6,6,15,21,5,1,1,5,0,0.17,0.43,0.61,0.14,0.58,Matches,5294a83f
10,Enrico Alfonso,it ITA,GK,Brescia,31,1988,4,4,279,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,95adf1e1
11,Allan,br BRA,MF,Napoli,28,1991,23,16,1280,14.2,2,1,3,2,0,0,3,0,0.14,0.07,0.21,0.14,0.21,Matches,cc700722
12,Bruno Alves,pt POR,DF,Parma,37,1981,33,31,2671,29.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,585a73a8
13,Sofyan Amrabat,ma MAR,MF,Hellas Verona,22,1996,34,33,2919,32.4,1,1,2,0,1,1,10,2,0.03,0.03,0.06,0.00,0.03,Matches,5a2cb25d
14,Djavan Anderson,sr SUR,MF,Lazio,24,1995,6,2,167,1.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ca241ad3
15,Lorenzo Andrenacci,it ITA,GK,Brescia,24,1995,6,5,531,5.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fe471a89
16,Peter Ankersen,dk DEN,MFDF,Genoa,28,1990,19,11,1063,11.8,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches,df525574
17,Cristian Ansaldi,ar ARG,MF,Torino,32,1986,27,21,1768,19.6,4,4,8,4,0,0,9,0,0.20,0.20,0.41,0.20,0.41,Matches,bbafc0c4
18,Mirko Antonucci,it ITA,FWMF,Roma,20,1999,2,0,82,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,91976866
19,Guilherme Arana,br BRA,DFMF,Atalanta,22,1997,4,0,80,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2b15a82a
20,Nicolò Armini,it ITA,DF,Lazio,18,2001,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2f7407fa
21,Kwadwo Asamoah,gh GHA,MF,Inter,30,1988,8,7,639,7.1,0,1,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matches,089550f5
22,Kristoffer Askildsen,no NOR,MF,Sampdoria,18,2001,4,0,76,0.8,1,0,1,1,0,0,2,1,1.18,0.00,1.18,1.18,1.18,Matches,a69cc629
