--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Performance,,,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
1,Francesco Acerbi,it ITA,DF,Lazio,31,1988,35.1,4,0,0,25,41,5,26,42,30,,,0,Matches,b96b595c
2,Bobby Adekanye,nl NED,FWMF,Lazio,20,1999,2.1,1,0,0,2,3,1,1,3,2,,,0,Matches,3ed84b2c
3,Claud Adjapong,it ITA,MF,Hellas Verona,21,1998,2.6,0,0,0,3,2,1,2,4,3,,,0,Matches,ce5b170a
4,Lucien Agoume,fr FRA,MF,Inter,17,2002,0.8,1,0,0,1,0,0,2,0,2,,,0,Matches,8bc8829a
5,Kevin Agudelo,co COL,MFFW,Genoa,20,1998,7.4,5,1,1,20,11,1,11,6,15,,,0,Matches,46fa7204
6,Kevin Agudelo,co COL,MF,Fiorentina,20,1998,0.7,0,0,0,3,1,0,0,1,1,,,0,Matches,46fa7204
7,Emmanuel Agyemang-Badu,gh GHA,MF,Hellas Verona,28,1990,2.6,2,0,0,7,3,1,1,1,1,,,0,Matches,fe0b8f0e
8,Ola Aina,ng NGA,MF,Torino,22,1996,23.1,8,0,0,26,35,2,62,42,24,,,0,Matches,246d153b
9,Luis Alberto,es ESP,MF,Lazio,26,1992,34.6,5,0,0,20,38,1,179,24,31,,,0,Matches,5294a83f
10,Enrico Alfonso,it ITA,GK,Brescia,31,1988,3.1,0,0,0,0,0,0,0,0,0,,,0,Matches,95adf1e1
11,Allan,br BRA,MF,Napoli,28,1991,14.2,3,0,0,30,24,0,13,13,26,,,0,Matches,cc700722
12,Bruno Alves,pt POR,DF,Parma,37,1981,29.7,4,0,0,24,12,1,13,28,11,,,0,Matches,585a73a8
13,Sofyan Amrabat,ma MAR,MF,Hellas Verona,22,1996,32.4,10,2,0,63,60,0,23,31,36,,,0,Matches,5a2cb25d
14,Djavan Anderson,sr SUR,MF,Lazio,24,1995,1.9,1,0,0,4,1,0,2,3,0,,,0,Matches,ca241ad3
15,Lorenzo Andrenacci,it ITA,GK,Brescia,24,1995,5.9,0,0,0,0,0,0,0,0,0,,,0,Matches,fe471a89
16,Peter Ankersen,dk DEN,MFDF,Genoa,28,1990,11.8,2,0,0,9,12,1,22,9,4,,,0,Matches,df525574
17,Cristian Ansaldi,ar ARG,MF,Torino,32,1986,19.6,9,0,0,28,30,4,142,15,24,,,0,Matches,bbafc0c4
18,Mirko Antonucci,it ITA,FWMF,Roma,20,1999,0.9,1,0,0,2,1,0,0,2,3,,,0,Matches,91976866
19,Guilherme Arana,br BRA,DFMF,Atalanta,22,1997,0.9,0,0,0,2,4,0,4,2,4,,,0,Matches,2b15a82a
20,Nicolò Armini,it ITA,DF,Lazio,18,2001,0.0,0,0,0,0,0,0,0,0,1,,,0,Matches,2f7407fa
21,Kwadwo Asamoah,gh GHA,MF,Inter,30,1988,7.1,1,0,0,6,6,2,18,10,9,,,0,Matches,089550f5
22,Kristoffer Askildsen,no NOR,MF,Sampdoria,18,2001,0.8,2,1,1,4,0,0,0,1,1,,,0,Matches,a69cc629
23,Emil Audero,id IDN,GK,Sampdoria,22,1997,36.0,1,0,0,0,5,0,0,0,1,,,1,Matches,649b01d8
24,Tommaso Augello,it ITA,DF,Sampdoria,24,1994,12.6,2,0,0,7,4,1,80,14,8,,,0,Matches,3cd3b384
25,Florian Ayé,fr FRA,FWMF,Brescia,22,1997,15.3,4,1,1,19,22,5,7,4,8,,,0,Matches,718b8afd
26,Khouma Babacar,sn SEN,FW,Lecce,26,1993,15.8,4,0,0,35,32,7,2,3,8,,,0,Matches,422ec08a
27,Milan Badelj,hr CRO,MF,Fiorentina,30,1989,17.6,3,1,1,17,19,0,4,42,16,,,0,Matches,e8c930bb
28,Marco Ballarini,it ITA,MF,Udinese,18,2001,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,8cb494c9
29,Mario Balotelli,it ITA,FW,Brescia,28,1990,15.6,6,1,0,32,51,7,8,8,2,,,0,Matches,8ff07990
30,Mattia Bani,it ITA,DF,Bologna,25,1993,24.5,13,1,1,44,35,1,6,51,28,,,0,Matches,0821331c
31,Antonín Barák,cz CZE,FW,Udinese,24,1994,2.2,1,0,0,9,4,0,7,0,4,,,0,Matches,01efac19
32,Antonín Barák,cz CZE,MF,Lecce,24,1994,15.2,0,0,0,12,9,2,20,9,10,,,0,Matches,01efac19
33,Nicolò Barella,it ITA,MF,Inter,22,1997,22.4,11,0,0,39,37,2,38,14,20,,,0,Matches,6928979a
34,Antonino Barillà,it ITA,MF,Parma,31,1988,18.8,6,0,0,38,22,3,25,19,32,,,0,Matches,a64cbd35
35,Antonio Barreca,it ITA,MF,Genoa,24,1995,12.2,0,0,0,13,4,3,63,1,8,,,0,Matches,6a189491
36,Édgar Barreto,py PAR,MF,Sampdoria,35,1984,1.0,0,0,0,1,2,0,0,0,2,,,0,Matches,43a1bea5
37,Musa Barrow,gm GAM,FW,Atalanta,20,1998,2.1,0,0,0,4,7,1,3,0,1,,,0,Matches,e5bf73f3
38,Musa Barrow,gm GAM,MFFW,Bologna,20,1998,15.0,1,0,0,22,12,2,58,4,13,,,0,Matches,e5bf73f3
39,Daniele Baselli,it ITA,MF,Torino,27,1992,14.2,3,0,0,20,14,0,51,25,23,,,0,Matches,ea06dd97
40,Alessandro Bastoni,it ITA,DF,Inter,20,1999,21.3,9,1,1,37,28,0,20,26,19,,,0,Matches,75b86fb3
41,Bastos,ao ANG,DF,Lazio,28,1991,8.5,4,0,0,15,6,0,0,14,4,,,1,Matches,c01c66d9
42,Rodrigo Becão,br BRA,DF,Udinese,23,1996,24.6,8,0,0,44,27,1,5,43,28,,,0,Matches,19e4eab9
43,Asmir Begović,ba BIH,GK,Milan,32,1987,1.4,0,0,0,0,0,0,0,0,0,,,0,Matches,7b4de647
44,Valon Behrami,ch SUI,MF,Genoa,34,1985,12.3,4,1,1,36,26,0,1,9,24,,,0,Matches,d3d758d8
45,Raoul Bellanova,it ITA,MF,Atalanta,19,2000,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches,e3756e72
46,Andrea Belotti,it ITA,FW,Torino,25,1993,33.4,4,0,0,64,105,22,48,6,18,,,1,Matches,d705ba44
47,Marco Benassi,it ITA,MF,Fiorentina,24,1994,10.9,1,0,0,23,6,0,19,4,10,,,0,Matches,0000acda
48,Ismaël Bennacer,dz ALG,MF,Milan,21,1997,27.6,14,0,0,48,37,0,34,52,47,,,0,Matches,db092d3b
49,Rodrigo Bentancur,uy URU,MF,Juventus,22,1997,24.4,9,0,0,53,28,3,53,30,32,,,0,Matches,3b8674e6
50,Romario Benzar,ro ROU,DF,Lecce,27,1992,1.1,0,0,0,2,0,0,7,0,2,,,0,Matches,2e3596d1
51,Domenico Berardi,it ITA,MFFW,Sassuolo,24,1994,27.7,6,1,0,56,64,7,111,33,16,,,0,Matches,53a0e358
52,Álex Berenguer,es ESP,MFFW,Torino,24,1995,20.3,4,0,0,27,41,8,71,17,7,,,0,Matches,dc1c2fce
53,Bartosz Bereszyński,pl POL,DF,Sampdoria,27,1992,26.7,10,0,0,34,21,1,49,33,34,,,1,Matches,61b3978f
54,Etrit Berisha,al ALB,GK,SPAL,30,1989,26.0,2,0,0,0,5,0,0,0,2,,,0,Matches,ee833569
55,Valon Berisha,xk KVX,MF,Lazio,26,1993,0.4,0,0,0,1,0,0,0,0,1,,,0,Matches,d5575935
56,Federico Bernardeschi,it ITA,FWMF,Juventus,25,1994,17.5,6,0,0,31,24,5,55,14,6,,,0,Matches,ee93c1a9
57,Andrea Bertolacci,it ITA,MF,Sampdoria,28,1991,5.9,3,0,0,8,13,0,3,2,4,,,0,Matches,c75b6a02
58,Lucas Biglia,ar ARG,MF,Milan,33,1986,7.6,4,0,0,22,7,0,3,10,7,,,0,Matches,5710a281
59,Cristiano Biraghi,it ITA,MF,Inter,26,1992,17.5,3,0,0,22,22,3,139,13,6,,,0,Matches,9e1577aa
60,Davide Biraschi,it ITA,DFMF,Genoa,25,1994,21.9,3,1,0,29,25,0,40,35,17,,,1,Matches,64cd167d
61,Valter Birsa,si SVN,MF,Cagliari,32,1986,4.8,1,0,0,6,2,0,24,4,5,,,0,Matches,455a2b79
62,Dimitri Bisoli,it ITA,MF,Brescia,25,1994,23.9,6,0,0,37,46,6,64,23,35,,,0,Matches,16569fef
63,Birkir Bjarnason,is ISL,MF,Brescia,31,1988,8.9,1,0,0,16,18,1,13,5,3,,,0,Matches,da13074e
64,Kevin-Prince Boateng,gh GHA,FW,Fiorentina,32,1987,6.7,2,0,0,12,21,4,4,1,1,,,0,Matches,f4ec4fd0
65,Salvatore Bocchetti,it ITA,DF,Hellas Verona,32,1986,3.4,2,0,0,5,2,1,0,18,2,,,0,Matches,faa1b07d
66,Jeremie Boga,ci CIV,MFFW,Sassuolo,22,1997,27.9,0,0,0,15,56,10,24,4,6,,,0,Matches,fe012aca
67,Giacomo Bonaventura,it ITA,MFFW,Milan,29,1989,14.9,2,0,0,20,33,4,28,8,9,,,0,Matches,d995ed27
68,Federico Bonazzoli,it ITA,FW,Sampdoria,22,1997,8.3,1,0,0,17,35,3,10,4,5,,,0,Matches,bf57eaab
69,Kevin Bonifazi,it ITA,DF,Torino,23,1996,2.7,0,0,0,4,1,0,0,5,8,,,0,Matches,fb77bfef
70,Kevin Bonifazi,it ITA,DF,SPAL,23,1996,13.2,2,1,0,12,2,1,4,33,10,,,0,Matches,fb77bfef
71,Federico Bonini,it ITA,DF,Bologna,17,2001,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,f8f0744b
72,Leonardo Bonucci,it ITA,DF,Juventus,32,1987,34.2,10,0,0,26,20,0,6,30,16,,,0,Matches,52ec54d0
73,Fabio Borini,it ITA,MFFW,Hellas Verona,28,1991,9.0,1,1,0,11,26,4,19,12,1,,,0,Matches,ef5b337e
74,Fabio Borini,it ITA,MF,Milan,28,1991,0.8,1,0,0,1,2,0,0,0,2,,,0,Matches,ef5b337e
75,Mehdi Bourabia,ma MAR,MF,Sassuolo,27,1991,10.3,7,1,1,27,16,0,7,21,11,,,2,Matches,0d077b88
76,Federico Brancolini,it ITA,GK,Fiorentina,18,2001,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,d4890c25
77,Gleison Bremer,br BRA,DF,Torino,22,1997,25.2,6,2,2,33,20,2,1,73,38,,,0,Matches,5fd5ed86
78,Marco Brescianini,it ITA,MF,Milan,19,2000,0.3,0,0,0,1,0,0,0,2,1,,,0,Matches,dfd56738
79,Marcelo Brozović,hr CRO,MF,Inter,26,1992,30.0,9,0,0,44,20,1,49,46,35,,,0,Matches,33b8d077
80,Gastón Brugman,uy URU,MF,Parma,26,1992,16.2,5,0,0,27,19,0,12,25,25,,,0,Matches,e947ee4a
81,Gianluigi Buffon,it ITA,GK,Juventus,41,1978,9.0,0,0,0,0,1,0,0,0,0,,,0,Matches,e40d028b
82,Fabrizio Cacciatore,it ITA,DF,Cagliari,32,1986,12.8,1,1,0,8,8,1,37,15,5,,,0,Matches,00b0bb87
83,Martín Cáceres,uy URU,DF,Fiorentina,32,1987,26.2,10,1,1,22,16,0,12,30,30,,,0,Matches,e94d79e3
84,Felipe Caicedo,ec ECU,FW,Lazio,30,1988,15.6,7,0,0,27,20,8,0,4,9,,,0,Matches,93b891d1
85,Davide Calabria,it ITA,DF,Milan,22,1996,18.0,4,2,1,15,23,1,47,22,32,,,0,Matches,2146785a
86,Riccardo Calafiori,it ITA,MF,Roma,17,2002,0.7,0,0,0,1,1,0,0,2,0,,,0,Matches,aded8e6f
87,Mattia Caldara,it ITA,DF,Atalanta,25,1994,10.7,1,0,0,20,7,1,2,32,10,,,0,Matches,ac7e640b
88,Marco Calderoni,it ITA,DF,Lecce,30,1989,22.9,7,0,0,29,37,2,103,35,25,,,0,Matches,652811aa
89,Hakan Çalhanoğlu,tr TUR,MFFW,Milan,25,1994,30.0,6,0,0,38,27,1,151,26,21,,,0,Matches,cd0fa27b
90,José Callejón,es ESP,FWMF,Napoli,32,1987,24.1,2,0,0,12,43,10,170,9,9,,,0,Matches,78841da9
91,Emre Can,de GER,MF,Juventus,25,1994,3.2,2,0,0,10,5,0,3,3,6,,,0,Matches,a65ce836
92,Antonio Candreva,it ITA,MF,Inter,32,1987,22.1,5,0,0,15,20,13,178,14,6,,,0,Matches,356c9002
93,Gianmarco Cangiano,it ITA,FW,Bologna,17,2001,0.2,0,0,0,1,1,0,1,1,1,,,0,Matches,a36084cd
94,Gianluca Caprari,it ITA,FWMF,Sampdoria,26,1993,7.4,4,1,1,10,13,2,25,7,7,,,0,Matches,54e53b7e
95,Gianluca Caprari,it ITA,FWMF,Parma,26,1993,6.5,1,0,0,6,16,2,21,4,1,,,0,Matches,54e53b7e
