--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Performance,,,,,,,,,,,
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Atalanta,32,38.0,87,2,1,513,454,68,661,441,341,3,6,3
Bologna,36,38.0,92,7,4,443,497,56,601,370,298,3,9,2
Cagliari,33,38.0,96,5,3,549,490,70,675,397,303,3,10,1
Empoli,28,38.0,87,5,3,506,463,83,704,352,327,6,10,6
Fiorentina,28,38.0,89,8,6,464,565,57,776,244,301,8,5,2
Genoa,40,38.0,92,3,2,566,499,72,661,449,416,4,5,2
Hellas Verona,31,38.0,100,7,5,560,429,97,593,392,308,6,4,2
Inter,27,38.0,71,0,0,466,412,57,809,332,332,7,4,1
Juventus,32,38.0,77,2,1,508,503,74,550,332,316,5,7,1
Lazio,27,38.0,88,5,3,441,450,44,574,315,339,6,6,1
Milan,28,38.0,76,3,1,465,513,80,672,355,421,5,5,2
Napoli,27,38.0,63,2,0,460,482,67,553,296,327,9,1,1
Roma,29,38.0,111,8,6,500,474,60,735,385,362,5,6,2
Salernitana,42,38.0,94,5,3,494,522,41,698,353,321,4,8,2
Sampdoria,34,38.0,94,4,1,495,513,82,645,443,327,3,4,2
Sassuolo,29,38.0,92,4,2,461,479,43,541,314,271,6,9,1
Spezia,30,38.0,88,4,1,508,439,77,534,372,343,4,13,3
Torino,31,38.0,89,3,2,636,460,84,663,423,314,4,11,0
Udinese,29,38.0,95,6,3,564,461,78,519,351,350,4,7,1
Venezia,39,38.0,110,9,2,522,457,61,585,388,352,5,12,2


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2021-2022/2021-2022-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_misc_for">View Original Table</a><br>Generated 8/26/2026.
