--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90
Atalanta,32,27.5,38,3420,90,100,38.0,418,80,237,180,24,213,1.55,65,48,+17,+0.45
Bologna,36,26.6,38,3420,90,100,38.0,418,81,242,171,20,276,1.21,44,55,-11,-0.29
Cagliari,33,26.5,38,3420,90,100,38.0,418,82,259,157,21,252,0.79,34,68,-34,-0.89
Empoli,28,24.5,38,3420,90,100,38.0,418,80,236,178,23,271,1.08,50,70,-20,-0.53
Fiorentina,28,26.4,38,3420,90,100,38.0,418,81,235,179,21,275,1.63,59,51,+8,+0.21
Genoa,40,27.0,38,3420,90,100,38.0,418,78,241,179,27,268,0.74,27,60,-33,-0.87
Hellas Verona,31,26.8,38,3420,90,100,38.0,418,81,250,165,23,244,1.39,65,59,+6,+0.16
Inter,27,28.9,38,3420,90,100,38.0,418,81,232,186,19,264,2.21,84,32,+52,+1.37
Juventus,32,27.4,38,3420,90,100,38.0,418,81,257,161,23,223,1.84,57,37,+20,+0.53
Lazio,27,29.0,38,3420,90,100,38.0,418,82,258,155,21,288,1.68,77,58,+19,+0.50
Milan,28,25.6,38,3420,90,100,38.0,418,80,244,173,23,251,2.26,69,31,+38,+1.00
Napoli,27,27.9,38,3420,90,100,38.0,418,82,247,172,18,220,2.08,74,31,+43,+1.13
Roma,29,26.4,38,3420,90,100,38.0,418,83,262,151,19,298,1.66,59,43,+16,+0.42
Salernitana,42,27.7,38,3420,90,100,38.0,418,80,235,179,23,246,0.82,33,78,-45,-1.18
Sampdoria,34,29.0,38,3420,90,100,38.0,418,82,249,167,20,264,0.95,46,63,-17,-0.45
Sassuolo,29,26.1,38,3420,90,100,38.0,418,83,251,165,17,264,1.32,64,66,-2,-0.05
Spezia,30,24.4,38,3420,90,100,38.0,418,82,278,137,23,268,0.95,41,71,-30,-0.79
Torino,31,25.2,38,3420,90,100,38.0,418,81,253,163,22,284,1.32,46,41,+5,+0.13
Udinese,29,26.2,38,3420,90,100,38.0,418,82,259,155,21,269,1.24,61,58,+3,+0.08
Venezia,39,26.1,38,3420,90,100,38.0,418,79,229,183,24,264,0.71,34,69,-35,-0.92


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2021-2022/2021-2022-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_playing_time_for">View Original Table</a><br>Generated 8/26/2026.
