--- When using SR data, please cite us and provide a link and/or a mention.


 
,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Atalanta,3,38,38,3419,38.0,48,1.26,139,94,65.5,16,11,11,10,26.3,6,5,0,1,0.0
Bologna,3,38,38,3420,38.0,55,1.45,184,130,70.1,12,10,16,13,34.2,9,8,1,0,11.1
Cagliari,2,38,38,3420,38.0,68,1.79,185,115,63.2,6,12,20,3,7.9,10,7,3,0,30.0
Empoli,1,38,38,3420,38.0,70,1.84,216,150,67.6,10,11,17,7,18.4,10,5,2,3,28.6
Fiorentina,2,38,38,3418,38.0,51,1.34,126,75,59.5,19,5,14,11,28.9,5,3,2,0,40.0
Genoa,2,38,38,3420,38.0,60,1.58,184,125,67.4,4,16,18,10,26.3,5,4,1,0,20.0
Hellas Verona,3,38,38,3420,38.0,59,1.55,159,101,62.9,14,11,13,4,10.5,4,3,1,0,25.0
Inter,2,38,38,3420,38.0,32,0.84,127,96,74.8,25,9,4,15,39.5,4,4,0,0,0.0
Juventus,3,38,38,3420,38.0,37,0.97,123,84,69.9,20,10,8,13,34.2,7,4,3,0,42.9
Lazio,2,38,38,3420,38.0,58,1.53,146,89,60.3,18,10,10,9,23.7,6,5,0,1,0.0
Milan,2,38,38,3420,38.0,31,0.82,125,95,75.2,26,8,4,18,47.4,5,4,1,0,20.0
Napoli,3,38,38,3420,38.0,31,0.82,137,106,77.4,24,7,7,16,42.1,1,1,0,0,0.0
Roma,1,38,38,3420,38.0,43,1.13,146,104,70.5,18,9,11,15,39.5,6,5,1,0,16.7
Salernitana,3,38,38,3420,38.0,78,2.05,221,144,64.7,7,10,21,2,5.3,8,6,1,1,14.3
Sampdoria,3,38,38,3420,38.0,63,1.66,185,123,65.9,10,6,22,7,18.4,4,3,1,0,25.0
Sassuolo,3,38,38,3420,38.0,66,1.74,177,111,62.7,13,11,14,3,7.9,9,8,1,0,11.1
Spezia,3,38,38,3420,38.0,71,1.87,208,139,65.9,10,6,22,7,18.4,13,10,1,2,9.1
Torino,3,38,38,3420,38.0,41,1.08,124,81,66.9,13,11,14,9,23.7,11,9,2,0,18.2
Udinese,2,38,38,3420,38.0,58,1.53,162,105,64.2,11,14,13,8,21.1,7,5,0,2,0.0
Venezia,3,38,38,3420,38.0,69,1.82,228,161,69.7,6,9,23,4,10.5,12,11,0,1,0.0


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2021-2022/2021-2022-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_keeper_for">View Original Table</a><br>Generated 8/26/2026.
