--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Standard,,,,,,,,,
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Atalanta,32,38.0,62,598,167,27.9,15.74,4.39,0.10,0.37,5,6
Bologna,36,38.0,43,434,143,32.9,11.42,3.76,0.10,0.30,4,5
Cagliari,33,38.0,34,420,117,27.9,11.05,3.08,0.08,0.29,3,4
Empoli,28,38.0,47,490,151,30.8,12.89,3.97,0.10,0.31,7,7
Fiorentina,28,38.0,59,501,172,34.3,13.18,4.53,0.12,0.34,9,12
Genoa,40,38.0,26,397,106,26.7,10.45,2.79,0.07,0.25,6,7
Hellas Verona,31,38.0,63,455,152,33.4,11.97,4.00,0.14,0.41,7,8
Inter,27,38.0,83,667,239,35.8,17.55,6.29,0.12,0.35,7,11
Juventus,32,38.0,56,517,166,32.1,13.61,4.37,0.11,0.34,5,6
Lazio,27,38.0,74,445,185,41.6,11.71,4.87,0.17,0.40,7,9
Milan,28,38.0,66,592,187,31.6,15.58,4.92,0.11,0.35,5,8
Napoli,27,38.0,74,565,186,32.9,14.87,4.89,0.13,0.40,10,14
Roma,29,38.0,58,592,184,31.1,15.58,4.84,0.10,0.32,7,9
Salernitana,42,38.0,32,426,130,30.5,11.21,3.42,0.08,0.25,4,5
Sampdoria,34,38.0,42,386,118,30.6,10.16,3.11,0.11,0.36,2,4
Sassuolo,29,38.0,60,569,204,35.9,14.97,5.37,0.11,0.29,7,7
Spezia,30,38.0,38,381,127,33.3,10.03,3.34,0.10,0.30,3,5
Torino,31,38.0,43,470,142,30.2,12.37,3.74,0.09,0.30,6,6
Udinese,29,38.0,58,505,181,35.8,13.29,4.76,0.11,0.32,3,4
Venezia,39,38.0,34,349,113,32.4,9.18,2.97,0.10,0.30,3,5


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2021-2022/2021-2022-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_shooting_for">View Original Table</a><br>Generated 8/26/2026.
