--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Atalanta,32,27.5,55.0,38,418,3420,38.0,62,48,110,57,5,6,87,2,1.63,1.26,2.89,1.50,2.76
Bologna,36,26.6,50.6,38,418,3420,38.0,43,34,77,39,4,5,92,7,1.13,0.89,2.03,1.03,1.92
Cagliari,33,26.5,44.5,38,418,3420,38.0,34,26,60,31,3,4,96,5,0.89,0.68,1.58,0.82,1.50
Empoli,28,24.5,47.4,38,418,3420,38.0,47,27,74,40,7,7,87,5,1.24,0.71,1.95,1.05,1.76
Fiorentina,28,26.4,57.7,38,418,3420,38.0,59,33,92,50,9,12,89,8,1.55,0.87,2.42,1.32,2.18
Genoa,40,27.0,43.9,38,418,3420,38.0,26,19,45,20,6,7,92,3,0.68,0.50,1.18,0.53,1.03
Hellas Verona,31,26.8,50.6,38,418,3420,38.0,63,44,107,56,7,8,100,7,1.66,1.16,2.82,1.47,2.63
Inter,27,28.9,56.5,38,418,3420,38.0,83,57,140,76,7,11,71,0,2.18,1.50,3.68,2.00,3.50
Juventus,32,27.4,51.5,38,418,3420,38.0,56,37,93,51,5,6,77,2,1.47,0.97,2.45,1.34,2.32
Lazio,27,29.0,55.4,38,418,3420,38.0,74,48,122,67,7,9,88,5,1.95,1.26,3.21,1.76,3.03
Milan,28,25.6,54.0,38,418,3420,38.0,66,39,105,61,5,8,76,3,1.74,1.03,2.76,1.61,2.63
Napoli,27,27.9,58.3,38,418,3420,38.0,74,46,120,64,10,14,63,2,1.95,1.21,3.16,1.68,2.89
Roma,29,26.4,51.4,38,418,3420,38.0,58,31,89,51,7,9,111,8,1.53,0.82,2.34,1.34,2.16
Salernitana,42,27.7,41.2,38,418,3420,38.0,32,19,51,28,4,5,94,5,0.84,0.50,1.34,0.74,1.24
Sampdoria,34,29.0,46.1,38,418,3420,38.0,42,29,71,40,2,4,94,4,1.11,0.76,1.87,1.05,1.82
Sassuolo,29,26.1,54.9,38,418,3420,38.0,60,39,99,53,7,7,92,4,1.58,1.03,2.61,1.39,2.42
Spezia,30,24.4,42.7,38,418,3420,38.0,38,25,63,35,3,5,88,4,1.00,0.66,1.66,0.92,1.58
Torino,31,25.2,53.3,38,418,3420,38.0,43,27,70,37,6,6,89,3,1.13,0.71,1.84,0.97,1.68
Udinese,29,26.2,42.7,38,418,3420,38.0,58,36,94,55,3,4,95,6,1.53,0.95,2.47,1.45,2.39
Venezia,39,26.1,42.3,38,418,3420,38.0,34,23,57,31,3,5,110,9,0.89,0.61,1.50,0.82,1.42


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2021-2022/2021-2022-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_standard_for">View Original Table</a><br>Generated 8/26/2026.
