--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,,-additional
23,Felipe Anderson,br BRA,FWMF,Lazio,30,1993,38,2770,73,81.0,30.8,33,79,14,5,32,0,1.61,38,31,+7,+0.23,-0.19,Matches,9f1893b9
24,Angeliño,es ESP,DFMF,Roma,26,1997,16,1141,71,33.4,12.7,14,76,5,2,42,0,1.75,22,16,+6,+0.47,-0.04,Matches,30941e96
25,Frank Anguissa,cm CMR,MF,Napoli,27,1995,34,2786,82,81.5,31.0,32,85,24,2,30,0,1.35,43,36,+7,+0.23,+0.23,Matches,6bb2c084
26,Jacopo Antolini,it ITA,MF,Torino,19,2004,0,,,,,0,,0,0,,7,,,,,,,Matches,6c86da83
27,Houssem Aouar,dz ALG,MFFW,Roma,25,1998,16,756,47,22.1,8.4,9,70,2,7,18,14,1.69,12,9,+3,+0.36,-0.18,Matches,a5db0bec
28,Mattia Aramu,it ITA,FWMF,Genoa,28,1995,0,,,,,0,,0,0,,2,,,,,,,Matches,0847b5a5
29,Riccardo Arboscello,it ITA,MF,Genoa,17,2005,0,,,,,0,,0,0,,1,,,,,,,Matches,96966bc2
30,Simone Aresti,it ITA,GK,Cagliari,37,1986,1,1,1,0.0,0.0,0,,0,1,1,33,0.00,0,1,-1,-90.00,-89.34,Matches,a9eaccda
31,Marko Arnautović,at AUT,FW,Inter,34,1989,27,801,30,23.4,8.9,5,74,2,22,20,3,2.59,22,5,+17,+1.91,+0.19,Matches,00459419
32,Kristjan Asllani,al ALB,MF,Inter,21,2002,23,787,34,23.0,8.7,6,81,4,17,18,14,2.61,26,3,+23,+2.63,+1.13,Matches,0fdcef0e
33,Emil Audero,id IDN,GK,Inter,26,1997,4,337,84,9.9,3.7,4,84,3,0,,34,1.75,8,3,+5,+1.34,-0.47,Matches,649b01d8
34,Tommaso Augello,it ITA,DFMF,Cagliari,28,1994,32,2418,76,70.7,26.9,28,82,12,4,30,4,1.06,32,46,-14,-0.52,+0.56,Matches,3cd3b384
35,Carlos Augusto,br BRA,MFDF,Inter,24,1999,37,1725,47,50.4,19.2,14,85,11,23,23,0,2.51,49,8,+41,+2.14,+0.76,Matches,8d3cd59d
36,Yann Aurel Bisseck,de GER,DF,Inter,22,2000,16,904,57,26.4,10.0,9,90,8,7,14,22,2.50,26,6,+20,+1.99,+0.31,Matches,3963c25b
37,Sardar Azmoun,ir IRN,FWMF,Roma,28,1995,23,585,25,17.1,6.5,3,74,1,20,18,6,1.61,18,6,+12,+1.85,+1.62,Matches,10549b49
38,Paulo Azzi,br BRA,MFDF,Cagliari,29,1994,25,950,38,27.8,10.6,9,73,3,16,18,13,0.96,9,19,-10,-0.95,-0.36,Matches,967ac202
39,Oussama El Azzouzi,ma MAR,MF,Bologna,22,2001,18,547,30,16.0,6.1,5,75,2,13,13,11,1.78,8,7,+1,+0.16,-0.49,Matches,85f476cc
40,Milan Badelj,hr CRO,MF,Genoa,34,1989,33,2535,77,74.1,28.2,32,79,10,1,23,2,1.27,34,30,+4,+0.14,+0.55,Matches,e8c930bb
41,Jaime Báez,uy URU,MFFW,Frosinone,28,1995,11,500,45,14.6,5.6,6,60,0,5,28,21,1.09,9,7,+2,+0.36,+1.19,Matches,dfd24c07
42,Nicola Bagnolini,it ITA,GK,Bologna,19,2004,1,5,5,0.1,0.1,0,,0,1,5,29,0.00,0,0,0,0.00,-0.58,Matches,ad263695
43,Nedim Bajrami,al ALB,MFFW,Sassuolo,24,1999,28,1310,47,38.3,14.6,15,66,1,13,24,8,0.82,20,35,-15,-1.03,-0.31,Matches,f42d6c13
44,Mitchel Bakker,nl NED,MF,Atalanta,23,2000,14,382,27,11.2,4.2,3,51,0,11,21,22,1.29,2,7,-5,-1.18,-2.21,Matches,a8567629
45,Tommaso Baldanzi,it ITA,MFFW,Empoli,20,2003,14,745,53,21.8,8.3,8,76,3,6,23,2,0.57,3,14,-11,-1.33,-0.86,Matches,102e2599
46,Tommaso Baldanzi,it ITA,MFFW,Roma,20,2003,13,518,40,15.1,5.8,6,68,0,7,16,3,1.69,8,6,+2,+0.35,-0.18,Matches,102e2599
47,Lameck Banda,zm ZAM,FWMF,Lecce,22,2001,21,1350,64,39.5,15.0,17,73,2,4,29,1,1.00,15,24,-9,-0.60,-0.03,Matches,8a6de8c7
48,Daniel Bandeira,pt POR,MF,Hellas Verona,23,2000,14,446,32,13.0,5.0,3,78,1,11,19,3,1.21,6,11,-5,-1.01,-0.77,Matches,56fca564
49,Mattia Bani,it ITA,DF,Genoa,29,1993,27,2306,85,67.4,25.6,27,85,23,0,,3,1.37,28,32,-4,-0.16,-0.48,Matches,0821331c
50,Antonín Barák,cz CZE,MFFW,Fiorentina,28,1994,21,808,38,23.6,9.0,8,77,4,13,15,14,1.62,15,10,+5,+0.56,+0.21,Matches,01efac19
51,Nicolò Barella,it ITA,MF,Inter,26,1997,37,2846,77,83.2,31.6,34,81,17,3,26,0,2.46,72,18,+54,+1.71,-0.33,Matches,6928979a
52,Enzo Barrenechea,ar ARG,MF,Frosinone,22,2001,36,2811,78,82.2,31.2,32,86,20,4,13,0,0.94,36,54,-18,-0.58,+0.46,Matches,6caffe81
53,Davide Bartesaghi,it ITA,MF,Milan,17,2005,6,79,13,2.3,0.9,0,,0,6,13,18,2.67,2,0,+2,+2.28,+1.61,Matches,7e0b6c50
54,Andrea Bartoccioni,it ITA,GK,Milan,19,2004,0,,,,,0,,0,0,,1,,,,,,,Matches,aaf357cc
55,Federico Baschirotto,it ITA,DF,Lecce,26,1996,37,3294,89,96.3,36.6,37,89,36,0,,0,0.95,31,54,-23,-0.63,-1.34,Matches,5a08ee41
56,Toma Bašić,hr CRO,MF,Lazio,26,1996,0,,,,,0,,0,0,,16,,,,,,,Matches,80556f08
57,Toma Bašić,hr CRO,MF,Salernitana,26,1996,15,1162,77,34.0,12.9,14,83,9,1,4,0,0.20,6,23,-17,-1.32,-0.04,Matches,80556f08
58,Alessandro Bastoni,it ITA,DF,Inter,24,1999,28,2268,81,66.3,25.2,28,81,14,0,,6,2.43,53,16,+37,+1.47,-0.88,Matches,75b86fb3
59,Simone Bastoni,it ITA,MFDF,Empoli,26,1996,16,745,47,21.8,8.3,9,70,2,7,17,15,1.13,4,14,-10,-1.21,-0.70,Matches,1ac232b8
60,Brian Bayeye,cd COD,DF,Torino,23,2000,0,,,,,0,,0,0,,2,,,,,,,Matches,78e6bf2c
61,Reda Belahyane,ma MAR,MF,Hellas Verona,19,2004,2,90,45,2.6,1.0,1,73,0,1,17,14,1.00,2,2,0,0.00,+0.35,Matches,705a1642
62,Raoul Bellanova,it ITA,MF,Torino,23,2000,37,3046,82,89.1,33.8,36,84,17,1,10,0,1.41,31,33,-2,-0.06,-0.54,Matches,e3756e72
63,Andrea Belotti,it ITA,FW,Fiorentina,29,1993,15,949,63,27.7,10.5,11,78,4,4,24,0,1.33,17,15,+2,+0.19,-0.28,Matches,d705ba44
64,Andrea Belotti,it ITA,FW,Roma,29,1993,14,679,49,19.9,7.5,6,82,4,8,23,8,1.43,12,12,0,0.00,-0.62,Matches,d705ba44
65,Lucas Beltrán,ar ARG,FWMF,Fiorentina,22,2001,32,1692,53,49.5,18.8,21,69,3,11,22,3,1.44,32,21,+11,+0.59,+0.38,Matches,482d2bc3
66,Ismaël Bennacer,dz ALG,MF,Milan,25,1997,20,1151,58,33.7,12.8,13,76,4,7,23,1,1.90,26,19,+7,+0.55,-0.25,Matches,db092d3b
67,Alessandro Berardi,it ITA,GK,Hellas Verona,32,1991,0,,,,,0,,0,0,,20,,,,,,,Matches,ec1f737d
68,Domenico Berardi,it ITA,MFFW,Sassuolo,28,1994,17,1431,84,41.8,15.9,17,84,10,0,,1,1.12,23,27,-4,-0.25,+1.02,Matches,53a0e358
69,Bartosz Bereszyński,pl POL,DF,Empoli,31,1992,24,1762,73,51.5,19.6,22,78,15,2,26,7,1.21,17,30,-13,-0.66,-0.01,Matches,61b3978f
70,Etrit Berisha,al ALB,GK,Empoli,34,1989,14,1260,90,36.8,14.0,14,90,14,0,,12,0.86,10,25,-15,-1.07,-0.65,Matches,ee833569
71,Medon Berisha,al ALB,MF,Lecce,19,2003,6,205,34,6.0,2.3,2,65,0,4,19,32,0.67,0,3,-3,-1.32,-0.79,Matches,9d376bef
72,Victor Bernth Kristiansen,dk DEN,DF,Bologna,20,2002,32,2307,72,67.5,25.6,26,84,16,6,23,3,1.88,36,20,+16,+0.62,+0.14,Matches,505486d6
73,Alessandro Berretta,it ITA,MF,Monza,17,2006,0,,,,,0,,0,0,,2,,,,,,,Matches,476bf601
74,Beto,gw GNB,FW,Udinese,25,1998,1,74,74,2.2,0.8,1,74,0,0,,0,0.00,0,3,-3,-3.65,-3.30,Matches,ed5c0319
75,Davide Bettella,it ITA,DF,Monza,23,2000,1,3,3,0.1,0.0,0,,0,1,3,17,3.00,0,0,0,0.00,+0.32,Matches,2edcd048
76,Sam Beukema,nl NED,DF,Bologna,24,1998,30,2547,85,74.5,28.3,29,87,26,1,16,5,1.90,40,27,+13,+0.46,-0.47,Matches,de13cee5
77,Christian Biagetti,it ITA,DF,Fiorentina,19,2004,0,,,,,0,,0,0,,1,,,,,,,Matches,4cf7c393
78,Côme Bianay Balcot,fr FRA,DF,Torino,18,2005,0,,,,,0,,0,0,,3,,,,,,,Matches,fd45fb38
79,Soufiane Bidaoui,ma MAR,FWMF,Frosinone,33,1990,0,,,,,0,,0,0,,7,,,,,,,Matches,6d877dd6
80,Jaka Bijol,si SVN,DF,Udinese,24,1999,24,2084,87,60.9,23.2,23,90,23,1,14,0,1.00,18,29,-11,-0.48,-0.14,Matches,6fdac234
81,El Bilal Touré,ml MLI,FW,Atalanta,21,2001,11,394,36,11.5,4.4,3,75,2,8,21,8,2.18,6,3,+3,+0.69,-0.12,Matches,47c609d5
82,Cristiano Biraghi,it ITA,DF,Fiorentina,30,1992,29,2356,81,68.9,26.2,27,86,21,2,14,7,1.59,39,31,+8,+0.31,-0.29,Matches,9e1577aa
83,Davide Biraschi,it ITA,DF,Genoa,29,1994,1,90,90,2.6,1.0,1,90,1,0,,2,0.00,1,4,-3,-3.00,-3.08,Matches,64cd167d
84,Samuele Birindelli,it ITA,MFDF,Monza,24,1999,35,2013,58,58.9,22.4,22,76,8,13,25,2,1.20,25,33,-8,-0.36,-0.10,Matches,204ac005
85,Alexis Blin,fr FRA,MF,Lecce,26,1996,31,1642,53,48.0,18.2,16,81,9,15,23,4,1.16,19,25,-6,-0.33,+0.48,Matches,c69ef855
86,Jérôme Boateng,de GER,DF,Salernitana,34,1988,7,238,34,7.0,2.6,4,47,0,3,17,1,0.29,2,9,-7,-2.65,-1.46,Matches,2db2fd7b
87,Pietro Boer,it ITA,GK,Roma,21,2002,0,,,,,0,,0,0,,36,,,,,,,Matches,b4a98bb4
88,Emil Bohinen,no NOR,MF,Salernitana,24,1999,12,535,45,15.6,5.9,7,57,0,5,28,5,0.50,3,14,-11,-1.85,-0.67,Matches,c83c203f
89,Emil Bohinen,no NOR,MF,Genoa,24,1999,5,56,11,1.6,0.6,0,,0,5,11,12,2.60,0,0,0,0.00,0.00,Matches,c83c203f
90,Daniel Boloca,ro ROU,MF,Sassuolo,24,1998,30,2022,67,59.1,22.5,23,80,13,7,26,4,0.93,29,42,-13,-0.58,+0.64,Matches,85f7ed25
91,Giacomo Bonaventura,it ITA,MF,Fiorentina,33,1989,31,2277,73,66.6,25.3,27,80,11,4,28,4,1.35,35,29,+6,+0.24,-0.47,Matches,d995ed27
92,Federico Bonazzoli,it ITA,FW,Hellas Verona,26,1997,24,1016,42,29.7,11.3,10,62,0,14,28,14,0.88,13,12,+1,+0.09,+0.61,Matches,bf57eaab
93,Luca Boncori,it ITA,FW,Salernitana,17,2006,0,,,,,0,,0,0,,2,,,,,,,Matches,a15e6fb8
94,Warren Bondo,fr FRA,MF,Monza,19,2003,25,1475,59,43.1,16.4,14,79,8,11,34,11,1.28,20,27,-7,-0.43,-0.20,Matches,0def2376
95,Giovanni Bonfanti,it ITA,DF,Atalanta,20,2003,2,89,45,2.6,1.0,1,74,0,1,15,18,1.50,2,1,+1,+1.01,+0.23,Matches,938d8a55
96,Kevin Bonifazi,it ITA,DF,Frosinone,27,1996,6,309,52,9.0,3.4,3,90,3,3,13,3,1.33,1,10,-9,-2.62,-2.16,Matches,fb77bfef
97,Kevin Bonifazi,it ITA,DF,Bologna,27,1996,1,90,90,2.6,1.0,1,90,1,0,,13,1.00,1,1,0,0.00,-0.59,Matches,fb77bfef
98,Alexandru Borbei,ro ROU,GK,Lecce,20,2003,0,,,,,0,,0,0,,13,,,,,,,Matches,37b48a61
99,Gennaro Borrelli,it ITA,FW,Frosinone,23,2000,1,24,24,0.7,0.3,0,,0,1,24,1,0.00,0,1,-1,-3.75,-3.11,Matches,04c4edc1
100,Erik Botheim,no NOR,FWMF,Salernitana,23,2000,7,316,45,9.2,3.5,4,64,0,3,21,14,0.43,2,7,-5,-1.42,-0.15,Matches,3d13d9e4
101,Mehdi Bourabia,ma MAR,MF,Frosinone,31,1991,10,200,20,5.8,2.2,3,50,0,7,7,10,0.90,1,9,-8,-3.60,-3.12,Matches,0d077b88
102,Edoardo Bove,it ITA,MF,Roma,21,2002,31,1780,57,52.0,19.8,18,78,9,13,29,7,1.68,30,21,+9,+0.46,-0.09,Matches,ae94a6c5
103,Domagoj Bradarić,hr CRO,MFDF,Salernitana,23,1999,34,2749,81,80.4,30.5,30,87,25,4,38,0,0.44,24,65,-41,-1.34,-0.27,Matches,8bbe2df5
104,Federico Brancolini,it ITA,GK,Lecce,22,2001,0,,,,,0,,0,0,,34,,,,,,,Matches,d4890c25
105,Josip Brekalo,hr CRO,MF,Fiorentina,25,1998,11,652,59,19.1,7.2,8,72,2,3,27,9,1.82,13,11,+2,+0.28,-0.15,Matches,d4a2533d
106,Gleison Bremer,br BRA,DF,Juventus,26,1997,36,3233,90,94.5,35.9,36,90,35,0,,1,1.86,50,29,+21,+0.58,-0.38,Matches,5fd5ed86
107,Brenner,br BRA,MFFW,Udinese,23,2000,8,189,24,5.5,2.1,2,49,0,6,15,9,1.38,0,1,-1,-0.48,-0.06,Matches,279508bf
108,Marco Brescianini,it ITA,MF,Frosinone,23,2000,36,2321,64,67.9,25.8,24,83,11,12,28,1,0.94,29,49,-20,-0.78,-0.37,Matches,dfd56738
109,Matteo Brezzo,it ITA,GK,Torino,18,2005,0,,,,,0,,0,0,,4,,,,,,,Matches,a4d6d52c
110,Dylan Bronn,tn TUN,DF,Salernitana,28,1995,4,52,13,1.5,0.6,0,,0,4,13,13,1.00,0,4,-4,-6.92,-5.72,Matches,edd81e2a
111,Tajon Buchanan,ca CAN,DFMF,Inter,24,1999,10,161,16,4.7,1.8,0,,0,10,16,9,1.90,6,0,+6,+3.35,+1.67,Matches,3aca6420
112,Alessandro Buongiorno,it ITA,DF,Torino,24,1999,29,2527,87,73.9,28.1,29,87,26,0,,1,1.52,29,22,+7,+0.25,+0.95,Matches,4ae67f27
113,Rareș-Cătălin Burnete,ro ROU,FW,Lecce,19,2004,1,8,8,0.2,0.1,0,,0,1,8,17,3.00,2,0,+2,+22.50,+23.13,Matches,7c4b4e36
114,Jovane Cabral,cv CPV,MFFW,Salernitana,25,1998,12,678,57,19.8,7.5,8,78,3,4,14,3,0.33,2,14,-12,-1.59,-0.38,Matches,e34e086c
115,Liberato Cacace,nz NZL,DFMF,Empoli,22,2000,31,1912,62,55.9,21.2,18,84,11,13,31,6,1.10,22,30,-8,-0.38,+0.64,Matches,dd86e8e4
116,Jens Cajuste,se SWE,MF,Napoli,23,1999,26,1016,39,29.7,11.3,11,70,2,15,16,8,1.62,18,18,0,0.00,-0.26,Matches,928a4a61
117,Nicolò Calabrese,it ITA,DF,Hellas Verona,18,2004,0,,,,,0,,0,0,,3,,,,,,,Matches,8544fe2c
118,Davide Calabria,it ITA,DF,Milan,26,1996,29,2185,75,63.9,24.3,26,81,13,3,29,4,2.07,49,27,+22,+0.91,+0.54,Matches,2146785a
119,Riccardo Calafiori,it ITA,DF,Bologna,21,2002,30,2349,78,68.7,26.1,26,89,23,4,12,6,1.97,44,20,+24,+0.92,+1.09,Matches,aded8e6f
120,Mattia Caldara,it ITA,DF,Milan,29,1994,1,33,33,1.0,0.4,0,,0,1,33,5,1.00,1,3,-2,-5.45,-6.23,Matches,ac7e640b
121,Luca Caldirola,it ITA,DF,Monza,32,1991,29,2141,74,62.6,23.8,23,87,19,6,22,7,1.10,25,37,-12,-0.50,-0.50,Matches,226008f1
122,Hakan Çalhanoğlu,tr TUR,MF,Inter,29,1994,32,2556,80,74.7,28.4,32,80,12,0,,3,2.47,59,19,+40,+1.41,-1.40,Matches,cd0fa27b
123,Alessandro Calligaris,it ITA,GK,Inter,18,2005,0,,,,,0,,0,0,,2,,,,,,,Matches,2bd46514
124,Simone Calvani,it ITA,GK,Genoa,18,2005,0,,,,,0,,0,0,,2,,,,,,,Matches,9ce4c152
125,Etienne Camara,fr FRA,MF,Udinese,20,2003,0,,,,,0,,0,0,,22,,,,,,,Matches,ba02a571
126,Francesco Camarda,it ITA,FW,Milan,15,2008,2,14,7,0.4,0.2,0,,0,2,7,0,3.00,0,0,0,0.00,-0.71,Matches,1956a64b
127,Nicolò Cambiaghi,it ITA,FWMF,Empoli,22,2000,37,2553,69,74.6,28.4,29,82,11,8,24,0,0.97,20,42,-22,-0.78,-0.46,Matches,91ff775f
128,Andrea Cambiaso,it ITA,MF,Juventus,23,2000,34,2372,70,69.4,26.4,28,79,4,6,27,1,1.82,31,22,+9,+0.34,-0.86,Matches,247ed022
129,Matteo Cancellieri,it ITA,FWMF,Empoli,21,2002,36,1788,50,52.3,19.9,18,74,4,18,25,0,0.92,17,25,-8,-0.40,+0.53,Matches,b6a1cdf9
130,Antonio Candreva,it ITA,MF,Salernitana,36,1987,34,2750,81,80.4,30.6,32,83,22,2,40,0,0.47,23,60,-37,-1.21,+0.40,Matches,356c9002
131,Luigi Canotto,it ITA,FWMF,Frosinone,29,1994,1,16,16,0.5,0.2,0,,0,1,16,1,0.00,0,1,-1,-5.63,-4.99,Matches,911080b1
132,Elio Capradossi,ug UGA,DF,Cagliari,27,1996,0,,,,,0,,0,0,,2,,,,,,,Matches,174944a3
133,Gianluca Caprari,it ITA,MFFW,Monza,30,1993,6,285,48,8.3,3.2,4,64,1,2,15,3,0.83,4,5,-1,-0.32,0.00,Matches,54e53b7e
134,Elia Caprile,it ITA,GK,Empoli,21,2001,23,2070,90,60.5,23.0,23,90,23,0,,9,1.04,19,27,-8,-0.35,+0.79,Matches,97d7afbd
135,Francesco Caputo,it ITA,FW,Empoli,35,1987,20,1268,63,37.1,14.1,15,75,4,5,27,6,0.70,8,22,-14,-0.99,-0.53,Matches,5bd72174
136,Andrea Carboni,it ITA,DF,Monza,22,2001,21,1487,71,43.5,16.5,16,81,10,5,37,9,1.29,17,17,0,0.00,+0.56,Matches,f7e2af2c
137,Franco Carboni,it ITA,MF,Monza,20,2003,0,,,,,0,,0,0,,18,,,,,,,Matches,b033f803
138,Valentin Carboni,ar ARG,MF,Monza,18,2005,31,1169,38,34.2,13.0,10,70,2,21,22,6,1.16,14,20,-6,-0.46,-0.22,Matches,707b98f1
139,Marco Carnesecchi,it ITA,GK,Atalanta,23,2000,27,2425,90,70.9,26.9,27,90,26,0,,11,1.85,53,30,+23,+0.85,+0.22,Matches,8ec56e62
140,Nicolò Casale,it ITA,DF,Lazio,25,1998,20,1559,78,45.6,17.3,16,85,14,4,49,13,1.50,22,24,-2,-0.12,-0.70,Matches,3f5f38fb
141,Giuseppe Caso,it ITA,FW,Frosinone,24,1998,14,417,30,12.2,4.6,2,64,0,12,24,8,0.93,10,10,0,0.00,+0.75,Matches,099a2de5
142,Valentín Castellanos,ar ARG,FW,Lazio,24,1998,35,1682,48,49.2,18.7,16,76,5,19,24,2,1.60,25,15,+10,+0.54,+0.54,Matches,da76bab4
143,Samu Castillejo,es ESP,MFFW,Sassuolo,28,1995,17,536,32,15.7,6.0,6,60,0,11,16,8,0.71,8,12,-4,-0.67,+0.20,Matches,130a7a3f
144,Santiago Castro,ar ARG,FW,Bologna,18,2004,8,242,30,7.1,2.7,2,76,1,6,15,4,1.50,4,2,+2,+0.74,+0.18,Matches,ee5565ae
145,Gaetano Castrovilli,it ITA,MF,Fiorentina,26,1997,6,367,61,10.7,4.1,5,72,1,1,8,5,2.50,8,7,+1,+0.25,-0.17,Matches,0728bebe
146,Danilo Cataldi,it ITA,MF,Lazio,28,1994,28,1361,49,39.8,15.1,15,74,3,13,19,9,1.68,19,20,-1,-0.07,-0.55,Matches,ba3d3bea
147,Denis Cazzadori,it ITA,FW,Hellas Verona,19,2004,0,,,,,0,,0,0,,1,,,,,,,Matches,9c0d5c1c
148,Emil Ceide,no NOR,FWMF,Sassuolo,21,2001,11,176,16,5.1,2.0,0,,0,11,16,27,0.55,0,8,-8,-4.09,-3.43,Matches,98a84572
149,Zeki Çelik,tr TUR,DFMF,Roma,26,1997,17,671,39,19.6,7.5,6,78,3,11,19,21,1.59,12,11,+1,+0.13,-0.46,Matches,31a62dc7
150,Fabien Centonze,fr FRA,DF,Hellas Verona,27,1996,10,676,68,19.8,7.5,7,85,5,3,27,6,1.10,8,11,-3,-0.40,-0.07,Matches,3c6bbbab
151,Michele Cerofolini,it ITA,GK,Frosinone,24,1999,8,675,84,19.7,7.5,7,90,7,1,45,30,1.38,7,11,-4,-0.53,+0.16,Matches,efdeaff3
152,Alberto Cerri,it ITA,FW,Empoli,27,1996,12,545,45,15.9,6.1,10,52,0,2,13,3,1.58,6,6,0,0.00,+0.78,Matches,1079c685
153,Leonardo Cerri,it ITA,FW,Juventus,20,2003,1,7,7,0.2,0.1,0,,0,1,7,0,0.00,0,0,0,0.00,-0.61,Matches,58e08f40
154,Charlys,br BRA,MF,Hellas Verona,19,2004,2,25,13,0.7,0.3,0,,0,2,13,32,0.50,0,1,-1,-3.60,-3.28,Matches,eff9c9ea
155,Walid Cheddira,ma MAR,FW,Frosinone,25,1998,36,2120,59,62.0,23.6,24,80,5,12,18,1,0.89,23,44,-21,-0.89,-0.61,Matches,0545a08e
156,Luigi Cherubini,it ITA,MF,Roma,19,2004,0,,,,,0,,0,0,,3,,,,,,,Matches,5aa1a2a7
157,Federico Chiesa,it ITA,FW,Juventus,25,1997,33,2197,67,64.2,24.4,25,79,9,8,29,0,1.76,35,22,+13,+0.53,-0.20,Matches,b0f7e36c
158,Mattia Chiesa,it ITA,GK,Hellas Verona,23,2000,0,,,,,0,,0,0,,18,,,,,,,Matches,526f0d08
159,Oliver Christensen,dk DEN,GK,Fiorentina,24,1999,4,360,90,10.5,4.0,4,90,4,0,,24,1.00,8,9,-1,-0.25,-0.72,Matches,af104654
160,Samuel Chukwueze,ng NGA,MFFW,Milan,24,1999,24,1017,42,29.7,11.3,12,67,2,12,18,3,2.08,25,17,+8,+0.71,0.00,Matches,b8a642fc
161,Aaron Ciammaglichella,it ITA,MF,Torino,18,2005,0,,,,,0,,0,0,,7,,,,,,,Matches,20525799
162,Alphadjo Cissè,it ITA,MF,Hellas Verona,16,2006,1,8,8,0.2,0.1,0,,0,1,8,8,1.00,0,0,0,0.00,+0.34,Matches,d079becb
163,Faroukou Cissé,de GER,DF,Genoa,19,2004,0,,,,,0,,0,0,,2,,,,,,,Matches,6063d40c
164,Moustapha Cissé,gn GUI,FW,Atalanta,19,2003,0,,,,,0,,0,0,,3,,,,,,,Matches,ee3c4b3f
165,Giorgio Cittadini,it ITA,DF,Monza,21,2002,1,15,15,0.4,0.2,0,,0,1,15,15,1.00,0,0,0,0.00,+0.32,Matches,e4ba67f2
166,Giorgio Cittadini,it ITA,DF,Genoa,21,2002,5,106,21,3.1,1.2,1,76,0,4,8,10,1.80,3,0,+3,+2.55,+2.63,Matches,e4ba67f2
