--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
1,James Abankwah,ie IRL,DF,Udinese,19,2004,0,,,,,0,,0,0,,6,,,,,,,Matches,4b7a9fcc
2,Tammy Abraham,eng ENG,FW,Roma,25,1997,8,242,30,7.1,2.7,2,60,0,6,20,1,1.38,4,4,0,0.00,-0.54,Matches,f586779e
3,Salim Abubakar,ne NIG,MF,Sassuolo,20,2003,0,,,,,0,,0,0,,1,,,,,,,Matches,686ee768
4,Francesco Acerbi,it ITA,DF,Inter,35,1988,29,2388,82,69.8,26.5,26,89,25,3,25,2,2.41,55,19,+36,+1.36,-1.35,Matches,b96b595c
5,Marius Adamonis,lt LTU,GK,Lazio,26,1997,0,,,,,0,,0,0,,2,,,,,,,Matches,1226f0de
6,Yacine Adli,fr FRA,MF,Milan,23,2000,24,1407,59,41.1,15.6,17,74,6,7,21,14,1.88,25,22,+3,+0.19,-0.88,Matches,26777636
7,Michel Aebischer,ch SUI,MF,Bologna,26,1997,36,2230,62,65.2,24.8,26,79,13,10,17,1,1.81,29,20,+9,+0.36,-0.62,Matches,f9c927de
8,Lucien Agoume,fr FRA,MF,Inter,21,2002,1,5,5,0.1,0.1,0,,0,1,5,16,3.00,1,0,+1,+18.00,+16.26,Matches,8bc8829a
9,Junior Ajayi,ci CIV,FW,Hellas Verona,18,2004,0,,,,,0,,0,0,,2,,,,,,,Matches,cab600a8
10,Marley Aké,fr FRA,FWMF,Udinese,22,2001,1,10,10,0.3,0.1,0,,0,1,10,14,1.00,0,0,0,0.00,+0.42,Matches,414e1f69
11,Ebenezer Akinsanmiro,ng NGA,MF,Inter,18,2004,1,15,15,0.4,0.2,0,,0,1,15,4,3.00,0,0,0,0.00,-1.77,Matches,3ad34015
12,Jean-Daniel Akpa-Akpro,ci CIV,MFDF,Monza,30,1992,19,705,37,20.6,7.8,8,67,1,11,15,15,1.37,9,10,-1,-0.13,+0.24,Matches,fdf4b948
13,David Akpan Ankeye,ng NGA,FW,Genoa,21,2002,6,57,10,1.7,0.6,0,,0,6,10,6,1.33,0,0,0,0.00,0.00,Matches,8c4b95af
14,Luis Alberto,es ESP,MF,Lazio,30,1992,33,2311,70,67.6,25.7,29,77,13,4,18,1,1.55,32,26,+6,+0.23,-0.09,Matches,5294a83f
15,Carlos Alcaraz,ar ARG,MF,Juventus,20,2002,10,380,38,11.1,4.2,3,75,1,7,22,3,1.40,8,5,+3,+0.71,+0.12,Matches,4abac767
16,Filippo Alessio,it ITA,FW,Roma,18,2004,0,,,,,0,,0,0,,1,,,,,,,Matches,21c9da64
17,Pasquale Allocca,it ITA,GK,Salernitana,18,2005,0,,,,,0,,0,0,,12,,,,,,,Matches,6e9cd7ed
18,Pontus Almqvist,se SWE,FWMF,Lecce,24,1999,30,2107,70,61.6,23.4,25,79,12,5,24,1,0.97,20,32,-12,-0.51,+0.17,Matches,0917188a
19,Agustín Álvarez,uy URU,FW,Sassuolo,22,2001,0,,,,,0,,0,0,,3,,,,,,,Matches,ab472696
20,Lorenzo Amatucci,it ITA,MF,Fiorentina,19,2004,2,22,11,0.6,0.2,0,,0,2,11,15,1.50,0,0,0,0.00,-0.40,Matches,13b9e2fb
21,Bruno Amione,ar ARG,DF,Hellas Verona,21,2002,10,579,58,16.9,6.4,7,76,3,3,16,12,1.00,7,12,-5,-0.78,-0.52,Matches,2df7cc43
22,Sofyan Amrabat,ma MAR,DFMF,Fiorentina,26,1996,0,,,,,0,,0,0,,1,,,,,,,Matches,5a2cb25d
