--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
35,Samuele Perisan,it ITA,GK,Empoli,25,1997,1,1,90,1.0,2,2.00,5,3,60.0,0,0,1,0,0.0,0,0,0,0,,Matches,00a17eba
36,Carlo Pinsoglio,it ITA,GK,Juventus,33,1990,1,0,45,0.5,0,0.00,3,3,100.0,0,0,0,1,,0,0,0,0,,Matches,f6a06749
37,Ivan Provedel,it ITA,GK,Lazio,29,1994,30,30,2699,30.0,33,1.10,119,86,72.3,12,6,12,9,30.0,3,2,0,1,0.0,Matches,277da414
38,Boris Radunović,rs SRB,GK,Cagliari,27,1996,7,7,630,7.0,12,1.71,28,16,57.1,0,2,5,2,28.6,1,0,0,1,,Matches,0dfce079
39,Federico Ravaglia,it ITA,GK,Bologna,23,1999,6,6,535,5.9,3,0.50,16,13,81.3,4,1,1,4,66.7,1,0,1,0,100.0,Matches,6662d731
40,Francesco Rossi,it ITA,GK,Atalanta,32,1991,1,0,5,0.1,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,,Matches,7b5f516f
41,Simone Scuffet,it ITA,GK,Cagliari,27,1996,31,31,2789,31.0,55,1.77,134,79,59.0,8,10,13,3,9.7,3,3,0,0,0.0,Matches,41bd99ea
42,Marco Silvestri,it ITA,GK,Udinese,32,1991,17,17,1530,17.0,28,1.65,69,41,59.4,1,11,5,4,23.5,6,6,0,0,0.0,Matches,0d422df7
43,Łukasz Skorupski,pl POL,GK,Bologna,32,1991,32,32,2880,32.0,29,0.91,105,79,72.4,14,13,5,12,37.5,6,3,1,2,25.0,Matches,ab4449d6
44,Daniele Sommariva,it ITA,GK,Genoa,26,1997,1,0,5,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Matches,a8e7f7e9
45,Yann Sommer,ch SUI,GK,Inter,34,1988,34,34,3060,34.0,19,0.56,98,79,80.6,27,6,1,17,50.0,4,2,1,1,33.3,Matches,420c18a1
46,Alessandro Sorrentino,it ITA,GK,Monza,21,2002,7,5,548,6.1,16,2.63,32,16,50.0,0,1,4,0,0.0,4,4,0,0,0.0,Matches,8ef2452a
47,Marco Sportiello,it ITA,GK,Milan,31,1992,7,7,630,7.0,11,1.57,34,23,67.6,3,3,1,1,14.3,1,1,0,0,0.0,Matches,ac4003af
48,Mile Svilar,rs SRB,GK,Roma,23,1999,15,15,1350,15.0,19,1.27,77,59,75.3,7,4,4,5,33.3,2,1,1,0,50.0,Matches,bcf5058a
49,Wojciech Szczęsny,pl POL,GK,Juventus,33,1990,35,35,3150,35.0,30,0.86,111,81,73.0,17,13,5,14,40.0,3,2,1,0,33.3,Matches,01b8a2b2
50,Pietro Terracciano,it ITA,GK,Fiorentina,33,1990,33,33,2970,33.0,35,1.06,126,91,72.2,15,8,10,8,24.2,7,6,1,0,14.3,Matches,e1b0a70d
51,Stefano Turati,it ITA,GK,Frosinone,21,2001,31,31,2745,30.5,58,1.90,155,97,62.6,6,9,16,4,12.9,7,5,1,1,16.7,Matches,bf168004


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2023-2024/keepers/2023-2024-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_keeper">View Original Table</a><br>Generated 8/25/2026.
