--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,,,,,,,,,,,-additional
29,Milan Badelj,hr CRO,MF,Genoa,34,1989,28.2,1,21,5,23.8,0.75,0.18,0.05,0.20,0,0,Matches,e8c930bb
30,Jaime Báez,uy URU,MFFW,Frosinone,28,1995,5.6,1,9,2,22.2,1.62,0.36,0.11,0.50,0,0,Matches,dfd24c07
31,Nicola Bagnolini,it ITA,GK,Bologna,19,2004,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,ad263695
32,Nedim Bajrami,al ALB,MFFW,Sassuolo,24,1999,14.6,2,32,9,28.1,2.20,0.62,0.06,0.22,0,0,Matches,f42d6c13
33,Mitchel Bakker,nl NED,MF,Atalanta,23,2000,4.2,1,5,1,20.0,1.18,0.24,0.20,1.00,0,0,Matches,a8567629
34,Tommaso Baldanzi,it ITA,MFFW,Empoli,20,2003,8.3,2,14,6,42.9,1.69,0.72,0.14,0.33,0,0,Matches,102e2599
35,Tommaso Baldanzi,it ITA,MFFW,Roma,20,2003,5.8,0,15,3,20.0,2.61,0.52,0.00,0.00,0,0,Matches,102e2599
36,Lameck Banda,zm ZAM,FWMF,Lecce,22,2001,15.0,2,50,23,46.0,3.33,1.53,0.04,0.09,0,0,Matches,8a6de8c7
37,Daniel Bandeira,pt POR,MF,Hellas Verona,23,2000,5.0,0,3,0,0.0,0.61,0.00,0.00,,0,0,Matches,56fca564
38,Mattia Bani,it ITA,DF,Genoa,29,1993,25.6,2,9,5,55.6,0.35,0.20,0.22,0.40,0,0,Matches,0821331c
39,Antonín Barák,cz CZE,MFFW,Fiorentina,28,1994,9.0,2,20,8,40.0,2.23,0.89,0.10,0.25,0,0,Matches,01efac19
40,Nicolò Barella,it ITA,MF,Inter,26,1997,31.6,2,41,12,29.3,1.30,0.38,0.05,0.17,0,0,Matches,6928979a
41,Enzo Barrenechea,ar ARG,MF,Frosinone,22,2001,31.2,0,20,3,15.0,0.64,0.10,0.00,0.00,0,0,Matches,6caffe81
42,Davide Bartesaghi,it ITA,MF,Milan,17,2005,0.9,0,0,0,,0.00,0.00,,,0,0,Matches,7e0b6c50
43,Federico Baschirotto,it ITA,DF,Lecce,26,1996,36.6,0,18,6,33.3,0.49,0.16,0.00,0.00,0,0,Matches,5a08ee41
44,Toma Bašić,hr CRO,MF,Salernitana,26,1996,12.9,0,12,1,8.3,0.93,0.08,0.00,0.00,0,0,Matches,80556f08
45,Alessandro Bastoni,it ITA,DF,Inter,24,1999,25.2,1,15,6,40.0,0.60,0.24,0.07,0.17,0,0,Matches,75b86fb3
46,Simone Bastoni,it ITA,MFDF,Empoli,26,1996,8.3,1,7,1,14.3,0.85,0.12,0.14,1.00,0,0,Matches,1ac232b8
47,Reda Belahyane,ma MAR,MF,Hellas Verona,19,2004,1.0,0,1,1,100.0,1.00,1.00,0.00,0.00,0,0,Matches,705a1642
48,Raoul Bellanova,it ITA,MF,Torino,23,2000,33.8,1,32,3,9.4,0.95,0.09,0.03,0.33,0,0,Matches,e3756e72
49,Andrea Belotti,it ITA,FW,Fiorentina,29,1993,10.5,3,32,9,28.1,3.03,0.85,0.09,0.33,0,0,Matches,d705ba44
50,Andrea Belotti,it ITA,FW,Roma,29,1993,7.5,3,15,8,53.3,1.99,1.06,0.20,0.38,0,0,Matches,d705ba44
51,Lucas Beltrán,ar ARG,FWMF,Fiorentina,22,2001,18.8,6,32,9,28.1,1.70,0.48,0.19,0.67,1,1,Matches,482d2bc3
52,Ismaël Bennacer,dz ALG,MF,Milan,25,1997,12.8,2,12,2,16.7,0.94,0.16,0.17,1.00,1,1,Matches,db092d3b
53,Domenico Berardi,it ITA,MFFW,Sassuolo,28,1994,15.9,9,51,24,47.1,3.21,1.51,0.18,0.38,5,5,Matches,53a0e358
54,Bartosz Bereszyński,pl POL,DF,Empoli,31,1992,19.6,0,3,1,33.3,0.15,0.05,0.00,0.00,0,0,Matches,61b3978f
55,Etrit Berisha,al ALB,GK,Empoli,34,1989,14.0,0,0,0,,0.00,0.00,,,0,0,Matches,ee833569
56,Medon Berisha,al ALB,MF,Lecce,19,2003,2.3,0,2,0,0.0,0.88,0.00,0.00,,0,0,Matches,9d376bef
57,Victor Bernth Kristiansen,dk DEN,DF,Bologna,20,2002,25.6,0,6,2,33.3,0.23,0.08,0.00,0.00,0,0,Matches,505486d6
58,Beto,gw GNB,FW,Udinese,25,1998,0.8,0,0,0,,0.00,0.00,,,0,0,Matches,ed5c0319
59,Davide Bettella,it ITA,DF,Monza,23,2000,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,2edcd048
60,Sam Beukema,nl NED,DF,Bologna,24,1998,28.3,1,12,4,33.3,0.42,0.14,0.08,0.25,0,0,Matches,de13cee5
61,Jaka Bijol,si SVN,DF,Udinese,24,1999,23.2,0,15,2,13.3,0.65,0.09,0.00,0.00,0,0,Matches,6fdac234
62,El Bilal Touré,ml MLI,FW,Atalanta,21,2001,4.4,2,12,5,41.7,2.74,1.14,0.17,0.40,0,0,Matches,47c609d5
63,Cristiano Biraghi,it ITA,DF,Fiorentina,30,1992,26.2,2,17,6,35.3,0.65,0.23,0.12,0.33,0,1,Matches,9e1577aa
64,Davide Biraschi,it ITA,DF,Genoa,29,1994,1.0,1,1,1,100.0,1.00,1.00,1.00,1.00,0,0,Matches,64cd167d
65,Samuele Birindelli,it ITA,MFDF,Monza,24,1999,22.4,0,25,9,36.0,1.12,0.40,0.00,0.00,0,0,Matches,204ac005
66,Alexis Blin,fr FRA,MF,Lecce,26,1996,18.2,0,13,2,15.4,0.71,0.11,0.00,0.00,0,0,Matches,c69ef855
67,Jérôme Boateng,de GER,DF,Salernitana,34,1988,2.6,0,0,0,,0.00,0.00,,,0,0,Matches,2db2fd7b
68,Emil Bohinen,no NOR,MF,Salernitana,24,1999,5.9,0,4,0,0.0,0.67,0.00,0.00,,0,0,Matches,c83c203f
69,Emil Bohinen,no NOR,MF,Genoa,24,1999,0.6,0,0,0,,0.00,0.00,,,0,0,Matches,c83c203f
70,Daniel Boloca,ro ROU,MF,Sassuolo,24,1998,22.5,1,13,4,30.8,0.58,0.18,0.08,0.25,0,0,Matches,85f7ed25
71,Giacomo Bonaventura,it ITA,MF,Fiorentina,33,1989,25.3,8,52,16,30.8,2.06,0.63,0.15,0.50,0,1,Matches,d995ed27
72,Federico Bonazzoli,it ITA,FW,Hellas Verona,26,1997,11.3,3,27,13,48.1,2.39,1.15,0.11,0.23,0,0,Matches,bf57eaab
73,Warren Bondo,fr FRA,MF,Monza,19,2003,16.4,1,17,4,23.5,1.04,0.24,0.06,0.25,0,0,Matches,0def2376
74,Giovanni Bonfanti,it ITA,DF,Atalanta,20,2003,1.0,0,1,0,0.0,1.01,0.00,0.00,,0,0,Matches,938d8a55
75,Kevin Bonifazi,it ITA,DF,Frosinone,27,1996,3.4,0,0,0,,0.00,0.00,,,0,0,Matches,fb77bfef
76,Kevin Bonifazi,it ITA,DF,Bologna,27,1996,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,fb77bfef
77,Gennaro Borrelli,it ITA,FW,Frosinone,23,2000,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,04c4edc1
78,Erik Botheim,no NOR,FWMF,Salernitana,23,2000,3.5,0,1,0,0.0,0.28,0.00,0.00,,0,0,Matches,3d13d9e4
79,Mehdi Bourabia,ma MAR,MF,Frosinone,31,1991,2.2,0,2,0,0.0,0.90,0.00,0.00,,0,0,Matches,0d077b88
80,Edoardo Bove,it ITA,MF,Roma,21,2002,19.8,0,19,6,31.6,0.96,0.30,0.00,0.00,0,0,Matches,ae94a6c5
81,Domagoj Bradarić,hr CRO,MFDF,Salernitana,23,1999,30.5,0,19,4,21.1,0.62,0.13,0.00,0.00,0,0,Matches,8bbe2df5
82,Josip Brekalo,hr CRO,MF,Fiorentina,25,1998,7.2,1,9,4,44.4,1.24,0.55,0.11,0.25,0,0,Matches,d4a2533d
83,Gleison Bremer,br BRA,DF,Juventus,26,1997,35.9,3,18,4,22.2,0.50,0.11,0.17,0.75,0,0,Matches,5fd5ed86
84,Brenner,br BRA,MFFW,Udinese,23,2000,2.1,0,4,2,50.0,1.90,0.95,0.00,0.00,0,0,Matches,279508bf
85,Marco Brescianini,it ITA,MF,Frosinone,23,2000,25.8,4,31,11,35.5,1.20,0.43,0.13,0.36,0,0,Matches,dfd56738
86,Dylan Bronn,tn TUN,DF,Salernitana,28,1995,0.6,0,1,0,0.0,1.73,0.00,0.00,,0,0,Matches,edd81e2a
87,Tajon Buchanan,ca CAN,DFMF,Inter,24,1999,1.8,1,4,1,25.0,2.24,0.56,0.25,1.00,0,0,Matches,3aca6420
88,Alessandro Buongiorno,it ITA,DF,Torino,24,1999,28.1,3,13,6,46.2,0.46,0.21,0.23,0.50,0,0,Matches,4ae67f27
89,Rareș-Cătălin Burnete,ro ROU,FW,Lecce,19,2004,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,7c4b4e36
90,Jovane Cabral,cv CPV,MFFW,Salernitana,25,1998,7.5,1,25,9,36.0,3.32,1.19,0.04,0.11,0,0,Matches,e34e086c
91,Liberato Cacace,nz NZL,DFMF,Empoli,22,2000,21.2,0,13,2,15.4,0.61,0.09,0.00,0.00,0,0,Matches,dd86e8e4
92,Jens Cajuste,se SWE,MF,Napoli,23,1999,11.3,0,16,3,18.8,1.42,0.27,0.00,0.00,0,0,Matches,928a4a61
93,Davide Calabria,it ITA,DF,Milan,26,1996,24.3,1,21,8,38.1,0.86,0.33,0.05,0.13,0,0,Matches,2146785a
94,Riccardo Calafiori,it ITA,DF,Bologna,21,2002,26.1,2,17,6,35.3,0.65,0.23,0.12,0.33,0,0,Matches,aded8e6f
95,Mattia Caldara,it ITA,DF,Milan,29,1994,0.4,0,1,0,0.0,2.73,0.00,0.00,,0,0,Matches,ac7e640b
96,Luca Caldirola,it ITA,DF,Monza,32,1991,23.8,1,9,2,22.2,0.38,0.08,0.11,0.50,0,0,Matches,226008f1
97,Hakan Çalhanoğlu,tr TUR,MF,Inter,29,1994,28.4,13,62,23,37.1,2.18,0.81,0.21,0.57,10,10,Matches,cd0fa27b
98,Francesco Camarda,it ITA,FW,Milan,15,2008,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,1956a64b
99,Nicolò Cambiaghi,it ITA,FWMF,Empoli,22,2000,28.4,1,71,17,23.9,2.50,0.60,0.01,0.06,0,0,Matches,91ff775f
100,Andrea Cambiaso,it ITA,MF,Juventus,23,2000,26.4,2,29,8,27.6,1.10,0.30,0.07,0.25,0,0,Matches,247ed022
101,Matteo Cancellieri,it ITA,FWMF,Empoli,21,2002,19.9,4,40,13,32.5,2.01,0.65,0.10,0.31,0,0,Matches,b6a1cdf9
102,Antonio Candreva,it ITA,MF,Salernitana,36,1987,30.6,6,65,21,32.3,2.13,0.69,0.09,0.29,1,1,Matches,356c9002
103,Luigi Canotto,it ITA,FWMF,Frosinone,29,1994,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,911080b1
104,Gianluca Caprari,it ITA,MFFW,Monza,30,1993,3.2,0,8,0,0.0,2.53,0.00,0.00,,0,0,Matches,54e53b7e
105,Elia Caprile,it ITA,GK,Empoli,21,2001,23.0,0,0,0,,0.00,0.00,,,0,0,Matches,97d7afbd
106,Francesco Caputo,it ITA,FW,Empoli,35,1987,14.1,3,23,10,43.5,1.63,0.71,0.13,0.30,1,1,Matches,5bd72174
107,Andrea Carboni,it ITA,DF,Monza,22,2001,16.5,1,18,4,22.2,1.09,0.24,0.06,0.25,0,0,Matches,f7e2af2c
108,Valentin Carboni,ar ARG,MF,Monza,18,2005,13.0,2,23,7,30.4,1.77,0.54,0.09,0.29,0,0,Matches,707b98f1
109,Marco Carnesecchi,it ITA,GK,Atalanta,23,2000,26.9,0,0,0,,0.00,0.00,,,0,0,Matches,8ec56e62
110,Nicolò Casale,it ITA,DF,Lazio,25,1998,17.3,0,7,1,14.3,0.40,0.06,0.00,0.00,0,0,Matches,3f5f38fb
111,Giuseppe Caso,it ITA,FW,Frosinone,24,1998,4.6,0,7,4,57.1,1.51,0.86,0.00,0.00,0,0,Matches,099a2de5
112,Valentín Castellanos,ar ARG,FW,Lazio,24,1998,18.7,4,54,20,37.0,2.89,1.07,0.07,0.20,0,0,Matches,da76bab4
113,Samu Castillejo,es ESP,MFFW,Sassuolo,28,1995,6.0,0,6,2,33.3,1.01,0.34,0.00,0.00,0,0,Matches,130a7a3f
114,Santiago Castro,ar ARG,FW,Bologna,18,2004,2.7,1,7,3,42.9,2.60,1.12,0.14,0.33,0,0,Matches,ee5565ae
115,Gaetano Castrovilli,it ITA,MF,Fiorentina,26,1997,4.1,1,5,2,40.0,1.23,0.49,0.20,0.50,0,0,Matches,0728bebe
116,Danilo Cataldi,it ITA,MF,Lazio,28,1994,15.1,1,12,2,16.7,0.79,0.13,0.08,0.50,0,0,Matches,ba3d3bea
117,Emil Ceide,no NOR,FWMF,Sassuolo,21,2001,2.0,0,2,0,0.0,1.02,0.00,0.00,,0,0,Matches,98a84572
118,Zeki Çelik,tr TUR,DFMF,Roma,26,1997,7.5,0,2,1,50.0,0.27,0.13,0.00,0.00,0,0,Matches,31a62dc7
119,Fabien Centonze,fr FRA,DF,Hellas Verona,27,1996,7.5,0,1,0,0.0,0.13,0.00,0.00,,0,0,Matches,3c6bbbab
120,Michele Cerofolini,it ITA,GK,Frosinone,24,1999,7.5,0,0,0,,0.00,0.00,,,0,0,Matches,efdeaff3
121,Alberto Cerri,it ITA,FW,Empoli,27,1996,6.1,1,10,3,30.0,1.65,0.50,0.10,0.33,0,0,Matches,1079c685
122,Leonardo Cerri,it ITA,FW,Juventus,20,2003,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,58e08f40
123,Charlys,br BRA,MF,Hellas Verona,19,2004,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,eff9c9ea
124,Walid Cheddira,ma MAR,FW,Frosinone,25,1998,23.6,7,60,28,46.7,2.55,1.19,0.12,0.25,1,1,Matches,0545a08e
125,Federico Chiesa,it ITA,FW,Juventus,25,1997,24.4,9,74,27,36.5,3.03,1.11,0.12,0.33,1,1,Matches,b0f7e36c
126,Oliver Christensen,dk DEN,GK,Fiorentina,24,1999,4.0,0,0,0,,0.00,0.00,,,0,0,Matches,af104654
127,Samuel Chukwueze,ng NGA,MFFW,Milan,24,1999,11.3,1,28,8,28.6,2.48,0.71,0.04,0.13,0,0,Matches,b8a642fc
128,Alphadjo Cissè,it ITA,MF,Hellas Verona,16,2006,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,d079becb
129,Giorgio Cittadini,it ITA,DF,Monza,21,2002,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,e4ba67f2
130,Giorgio Cittadini,it ITA,DF,Genoa,21,2002,1.2,0,0,0,,0.00,0.00,,,0,0,Matches,e4ba67f2
131,Patrick Ciurria,it ITA,MF,Monza,28,1995,17.8,0,28,7,25.0,1.58,0.39,0.00,0.00,0,0,Matches,5de3866c
132,Lorenzo Colombo,it ITA,FW,Monza,21,2002,15.1,4,37,10,27.0,2.45,0.66,0.11,0.40,0,0,Matches,04df29a5
133,Andrea Colpani,it ITA,MF,Monza,24,1999,29.5,8,65,19,29.2,2.20,0.64,0.12,0.42,0,0,Matches,6499048c
134,Pietro Comuzzo,it ITA,DF,Fiorentina,18,2005,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,5e3ecc35
135,Andrea Consigli,it ITA,GK,Sassuolo,36,1987,35.0,0,0,0,,0.00,0.00,,,0,0,Matches,8cabdc1e
136,Nikita Contini,it ITA,GK,Napoli,27,1996,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,e95069bb
137,Diego Coppola,it ITA,DF,Hellas Verona,19,2003,18.2,2,13,3,23.1,0.72,0.17,0.15,0.67,0,0,Matches,22ae86f9
138,Tommaso Corazza,it ITA,DF,Bologna,19,2004,2.2,0,1,0,0.0,0.46,0.00,0.00,,0,0,Matches,c1b9b13c
139,Jeppe Corfitzen,dk DEN,FW,Lecce,18,2004,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,3f7e5a98
140,Giacomo Corona,it ITA,FW,Empoli,19,2004,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,d9f83409
141,João Costa,br BRA,MF,Roma,18,2005,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,26952edc
142,Benoît Costil,fr FRA,GK,Salernitana,36,1987,13.0,0,0,0,,0.00,0.00,,,0,0,Matches,2434f24a
143,Lassana Coulibaly,ml MLI,MF,Salernitana,27,1996,23.1,0,13,3,23.1,0.56,0.13,0.00,0.00,0,0,Matches,85a44ecc
144,Mamadou Coulibaly,sn SEN,MF,Salernitana,24,1999,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,c976160c
145,Alessio Cragno,it ITA,GK,Sassuolo,29,1994,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,f554e29b
146,Bryan Cristante,it ITA,MF,Roma,28,1995,36.5,3,54,9,16.7,1.48,0.25,0.06,0.33,0,0,Matches,16657b95
147,Juan Cruz,ar ARG,FW,Hellas Verona,24,1999,1.2,0,1,0,0.0,0.83,0.00,0.00,,0,0,Matches,72f5b81f
148,Juan Cuadrado,co COL,DFFW,Inter,35,1988,3.0,0,5,0,0.0,1.69,0.00,0.00,,0,0,Matches,0ab1f153
149,Marvin Cuni,al ALB,FW,Frosinone,22,2001,5.9,1,10,2,20.0,1.69,0.34,0.10,0.50,0,0,Matches,1d45fd81
150,Danilo D'Ambrosio,it ITA,DF,Monza,34,1988,17.1,0,14,4,28.6,0.82,0.23,0.00,0.00,0,0,Matches,44eb9093
151,Flavius Daniliuc,at AUT,DF,Salernitana,22,2001,8.3,0,2,0,0.0,0.24,0.00,0.00,,0,0,Matches,7ef972c3
152,Danilo,br BRA,DF,Juventus,32,1991,27.2,1,17,2,11.8,0.62,0.07,0.06,0.50,0,0,Matches,94b2001f
153,Matteo Darmian,it ITA,MFDF,Inter,33,1989,26.7,2,10,6,60.0,0.37,0.22,0.20,0.33,0,0,Matches,96e0490d
154,Juan David Cabal,co COL,DF,Hellas Verona,22,2001,16.6,0,12,3,25.0,0.72,0.18,0.00,0.00,0,0,Matches,ef6eef89
155,Keinan Davis,eng ENG,FW,Udinese,25,1998,2.1,1,6,3,50.0,2.90,1.45,0.17,0.33,0,0,Matches,9deaf2c8
156,Paweł Dawidowicz,pl POL,DF,Hellas Verona,28,1995,23.8,0,9,1,11.1,0.38,0.04,0.00,0.00,0,0,Matches,16bb656a
157,Charles De Ketelaere,be BEL,FWMF,Atalanta,22,2001,22.5,10,45,25,55.6,2.00,1.11,0.22,0.40,1,1,Matches,2ef7c612
158,Mattia De Sciglio,it ITA,DF,Juventus,30,1992,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,ae4e2852
159,Lorenzo De Silvestri,it ITA,DF,Bologna,35,1988,7.5,2,4,2,50.0,0.53,0.27,0.50,1.00,0,0,Matches,e74f0e59
160,Koni De Winter,be BEL,DF,Genoa,21,2002,26.4,0,11,2,18.2,0.42,0.08,0.00,0.00,0,0,Matches,f4797849
161,Grégoire Defrel,mq MTQ,MFFW,Sassuolo,32,1991,8.4,1,12,3,25.0,1.43,0.36,0.08,0.33,0,0,Matches,854ee61a
162,Alessandro Deiola,it ITA,MF,Cagliari,27,1995,17.9,1,25,6,24.0,1.40,0.34,0.04,0.17,0,0,Matches,7f267d66
163,Alessandro Dellavalle,it ITA,DF,Torino,19,2004,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,227f25be
164,Diego Demme,de GER,MF,Napoli,31,1991,0.8,0,0,0,,0.00,0.00,,,0,0,Matches,dc3fa3b5
165,Leander Dendoncker,be BEL,DFMF,Napoli,28,1995,0.3,0,1,0,0.0,3.75,0.00,0.00,,0,0,Matches,5a7301ae
166,Mattia Destro,it ITA,FW,Empoli,32,1991,4.1,0,11,4,36.4,2.70,0.98,0.00,0.00,0,0,Matches,d7d32194
167,Federico Di Francesco,it ITA,FWMF,Lecce,29,1994,0.2,1,2,1,50.0,12.00,6.00,0.50,1.00,0,0,Matches,1fca9171
168,Raffaele Di Gennaro,it ITA,GK,Inter,29,1993,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,7a4050d5
169,Michele Di Gregorio,it ITA,GK,Monza,26,1997,31.9,0,0,0,,0.00,0.00,,,0,0,Matches,4e0c8d66
170,Giovanni Di Lorenzo,it ITA,DF,Napoli,29,1993,35.9,1,38,7,18.4,1.06,0.19,0.03,0.14,0,0,Matches,230a2fac
171,Alessandro Di Pardo,it ITA,MFDF,Cagliari,24,1999,4.0,0,3,0,0.0,0.75,0.00,0.00,,0,0,Matches,e0ce7038
172,Boulaye Dia,sn SEN,FWMF,Salernitana,26,1996,12.7,4,29,10,34.5,2.28,0.79,0.14,0.40,1,1,Matches,244bc2c8
173,Federico Dimarco,it ITA,MF,Inter,25,1997,23.1,5,50,19,38.0,2.17,0.82,0.10,0.26,0,0,Matches,970b8574
174,Tiago Djaló,pt POR,DF,Juventus,23,2000,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,b2336681
175,Koffi Djidji,ci CIV,DF,Torino,30,1992,8.4,0,2,0,0.0,0.24,0.00,0.00,,0,0,Matches,933d3b51
176,Berat Djimsiti,al ALB,DF,Atalanta,30,1993,31.5,0,13,0,0.0,0.41,0.00,0.00,,0,0,Matches,6eee05f1
177,Dodô,br BRA,DF,Fiorentina,24,1998,5.8,0,2,1,50.0,0.34,0.17,0.00,0.00,0,0,Matches,b5f7d10b
178,Josh Doig,sct SCO,MFDF,Hellas Verona,21,2002,9.2,0,5,1,20.0,0.54,0.11,0.00,0.00,0,0,Matches,2f69d881
179,Josh Doig,sct SCO,DFMF,Sassuolo,21,2002,14.9,0,8,2,25.0,0.54,0.13,0.00,0.00,0,0,Matches,2f69d881
180,Nicolás Domínguez,ar ARG,MF,Bologna,25,1998,1.1,0,0,0,,0.00,0.00,,,0,0,Matches,20b3a502
181,Giulio Donati,it ITA,DF,Monza,33,1990,0.4,0,1,1,100.0,2.50,2.50,0.00,0.00,0,0,Matches,22051fbe
182,Patrick Dorgu,dk DEN,MFDF,Lecce,18,2004,17.4,2,19,9,47.4,1.09,0.52,0.11,0.22,0,0,Matches,e6536124
183,Alberto Dossena,it ITA,DF,Cagliari,24,1998,33.1,2,24,6,25.0,0.73,0.18,0.08,0.33,0,0,Matches,61efb926
184,Radu Drăgușin,ro ROU,DF,Genoa,21,2002,19.0,2,17,4,23.5,0.89,0.21,0.12,0.50,0,0,Matches,620922ed
185,Ondrej Duda,sk SVK,MF,Hellas Verona,28,1994,27.3,1,24,7,29.2,0.88,0.26,0.04,0.14,0,1,Matches,79ca3e23
186,Denzel Dumfries,nl NED,MF,Inter,27,1996,18.2,4,24,6,25.0,1.32,0.33,0.17,0.67,0,0,Matches,481c9ece
187,Alfred Duncan,gh GHA,MF,Fiorentina,30,1993,21.0,2,23,6,26.1,1.10,0.29,0.09,0.33,0,0,Matches,528492ea
188,Paulo Dybala,ar ARG,FWMF,Roma,29,1993,21.8,13,59,23,39.0,2.71,1.06,0.22,0.57,7,7,Matches,e0921a4f
189,Festy Ebosele,ie IRL,MF,Udinese,20,2002,18.9,0,16,5,31.3,0.85,0.26,0.00,0.00,0,0,Matches,dbfa4f16
