--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Performance,,,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
1,Tammy Abraham,eng ENG,FW,Roma,25,1997,2.7,1,0,0,6,5,2,2,0,1,,,0,Matches,f586779e
2,Francesco Acerbi,it ITA,DF,Inter,35,1988,26.5,1,0,0,19,24,3,9,32,14,,,0,Matches,b96b595c
3,Yacine Adli,fr FRA,MF,Milan,23,2000,15.6,3,0,0,26,9,1,50,18,17,,,0,Matches,26777636
4,Michel Aebischer,ch SUI,MF,Bologna,26,1997,24.8,8,0,0,36,30,0,12,11,20,,,0,Matches,f9c927de
5,Lucien Agoume,fr FRA,MF,Inter,21,2002,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,8bc8829a
6,Marley Aké,fr FRA,FWMF,Udinese,22,2001,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,414e1f69
7,Ebenezer Akinsanmiro,ng NGA,MF,Inter,18,2004,0.2,0,0,0,0,3,0,0,0,0,,,0,Matches,3ad34015
8,Jean-Daniel Akpa-Akpro,ci CIV,MFDF,Monza,30,1992,7.8,5,0,0,15,5,0,1,9,13,,,0,Matches,fdf4b948
9,David Akpan Ankeye,ng NGA,FW,Genoa,21,2002,0.6,0,0,0,2,1,0,1,0,0,,,0,Matches,8c4b95af
10,Luis Alberto,es ESP,MF,Lazio,30,1992,25.7,7,0,0,16,23,6,149,6,21,,,0,Matches,5294a83f
11,Carlos Alcaraz,ar ARG,MF,Juventus,20,2002,4.2,0,0,0,5,5,0,1,5,6,,,0,Matches,4abac767
12,Pontus Almqvist,se SWE,FWMF,Lecce,24,1999,23.4,5,0,0,29,35,1,22,14,28,,,0,Matches,0917188a
13,Lorenzo Amatucci,it ITA,MF,Fiorentina,19,2004,0.2,0,0,0,1,0,0,0,0,0,,,0,Matches,13b9e2fb
14,Bruno Amione,ar ARG,DF,Hellas Verona,21,2002,6.4,2,0,0,10,6,0,1,9,7,,,0,Matches,2df7cc43
15,Felipe Anderson,br BRA,FWMF,Lazio,30,1993,30.8,3,0,0,30,36,4,57,27,44,,,0,Matches,9f1893b9
16,Angeliño,es ESP,DFMF,Roma,26,1997,12.7,2,0,0,13,10,1,53,12,11,,,1,Matches,30941e96
17,Frank Anguissa,cm CMR,MF,Napoli,27,1995,31.0,2,0,0,41,38,4,21,28,35,,,0,Matches,6bb2c084
18,Houssem Aouar,dz ALG,MFFW,Roma,25,1998,8.4,3,0,0,10,11,3,10,4,11,,,0,Matches,a5db0bec
19,Simone Aresti,it ITA,GK,Cagliari,37,1986,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,a9eaccda
20,Marko Arnautović,at AUT,FW,Inter,34,1989,8.9,0,0,0,11,15,8,7,5,3,,,0,Matches,00459419
21,Kristjan Asllani,al ALB,MF,Inter,21,2002,8.7,1,0,0,4,19,0,35,11,2,,,0,Matches,0fdcef0e
22,Emil Audero,id IDN,GK,Inter,26,1997,3.7,0,0,0,0,0,0,0,0,0,,,0,Matches,649b01d8
23,Tommaso Augello,it ITA,DFMF,Cagliari,28,1994,26.9,5,0,0,15,15,1,152,13,20,,,0,Matches,3cd3b384
24,Carlos Augusto,br BRA,MFDF,Inter,24,1999,19.2,1,0,0,17,6,1,39,14,22,,,0,Matches,8d3cd59d
25,Yann Aurel Bisseck,de GER,DF,Inter,22,2000,10.0,0,0,0,6,11,2,5,6,6,,,0,Matches,3963c25b
26,Sardar Azmoun,ir IRN,FWMF,Roma,28,1995,6.5,4,0,0,8,11,2,2,3,5,,,0,Matches,10549b49
27,Paulo Azzi,br BRA,MFDF,Cagliari,29,1994,10.6,1,0,0,5,4,4,49,17,11,,,0,Matches,967ac202
28,Oussama El Azzouzi,ma MAR,MF,Bologna,22,2001,6.1,4,0,0,14,7,1,2,5,8,,,0,Matches,85f476cc
29,Milan Badelj,hr CRO,MF,Genoa,34,1989,28.2,6,0,0,23,14,0,13,49,28,,,0,Matches,e8c930bb
30,Jaime Báez,uy URU,MFFW,Frosinone,28,1995,5.6,1,0,0,6,15,5,24,4,1,,,0,Matches,dfd24c07
31,Nicola Bagnolini,it ITA,GK,Bologna,19,2004,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,ad263695
32,Nedim Bajrami,al ALB,MFFW,Sassuolo,24,1999,14.6,0,0,0,12,6,4,77,5,6,,,0,Matches,f42d6c13
33,Mitchel Bakker,nl NED,MF,Atalanta,23,2000,4.2,1,0,0,4,4,1,13,3,4,,,0,Matches,a8567629
34,Tommaso Baldanzi,it ITA,MFFW,Empoli,20,2003,8.3,1,0,0,4,16,2,16,2,3,,,0,Matches,102e2599
35,Tommaso Baldanzi,it ITA,MFFW,Roma,20,2003,5.8,2,0,0,7,14,1,5,0,5,,,0,Matches,102e2599
36,Lameck Banda,zm ZAM,FWMF,Lecce,22,2001,15.0,5,1,0,33,30,9,51,3,23,,,0,Matches,8a6de8c7
37,Daniel Bandeira,pt POR,MF,Hellas Verona,23,2000,5.0,2,0,0,5,3,0,6,4,5,,,0,Matches,56fca564
38,Mattia Bani,it ITA,DF,Genoa,29,1993,25.6,9,0,0,21,28,2,2,21,10,,,0,Matches,0821331c
39,Antonín Barák,cz CZE,MFFW,Fiorentina,28,1994,9.0,2,0,0,8,7,1,4,2,2,,,0,Matches,01efac19
40,Nicolò Barella,it ITA,MF,Inter,26,1997,31.6,7,0,0,28,27,3,50,8,28,,,0,Matches,6928979a
41,Enzo Barrenechea,ar ARG,MF,Frosinone,22,2001,31.2,10,0,0,32,52,0,1,28,42,,,0,Matches,6caffe81
