--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Performance,,,,,,,,,,,,,-additional
42,Davide Bartesaghi,it ITA,MF,Milan,17,2005,0.9,0,0,0,1,1,0,1,0,1,,,0,Matches,7e0b6c50
43,Federico Baschirotto,it ITA,DF,Lecce,26,1996,36.6,3,1,0,29,4,0,3,22,11,,,0,Matches,5a08ee41
44,Toma Bašić,hr CRO,MF,Salernitana,26,1996,12.9,5,0,0,14,16,0,25,14,13,,,0,Matches,80556f08
45,Alessandro Bastoni,it ITA,DF,Inter,24,1999,25.2,5,0,0,31,31,0,75,25,32,,,0,Matches,75b86fb3
46,Simone Bastoni,it ITA,MFDF,Empoli,26,1996,8.3,3,0,0,17,13,0,35,11,12,,,0,Matches,1ac232b8
47,Reda Belahyane,ma MAR,MF,Hellas Verona,19,2004,1.0,0,0,0,1,1,0,0,1,1,,,0,Matches,705a1642
48,Raoul Bellanova,it ITA,MF,Torino,23,2000,33.8,5,0,0,14,53,2,178,15,26,,,0,Matches,e3756e72
49,Andrea Belotti,it ITA,FW,Fiorentina,29,1993,10.5,0,0,0,15,22,7,4,3,3,,,0,Matches,d705ba44
50,Andrea Belotti,it ITA,FW,Roma,29,1993,7.5,1,0,0,14,25,8,4,1,4,,,0,Matches,d705ba44
51,Lucas Beltrán,ar ARG,FWMF,Fiorentina,22,2001,18.8,6,0,0,24,28,4,7,2,14,,,0,Matches,482d2bc3
52,Ismaël Bennacer,dz ALG,MF,Milan,25,1997,12.8,2,0,0,18,26,1,32,11,21,,,0,Matches,db092d3b
53,Domenico Berardi,it ITA,MFFW,Sassuolo,28,1994,15.9,6,0,0,28,28,4,73,13,6,,,0,Matches,53a0e358
54,Bartosz Bereszyński,pl POL,DF,Empoli,31,1992,19.6,3,0,0,23,15,0,16,21,26,,,0,Matches,61b3978f
55,Etrit Berisha,al ALB,GK,Empoli,34,1989,14.0,0,0,0,0,2,0,0,0,0,,,0,Matches,ee833569
56,Medon Berisha,al ALB,MF,Lecce,19,2003,2.3,0,0,0,7,5,0,3,1,0,,,0,Matches,9d376bef
57,Victor Bernth Kristiansen,dk DEN,DF,Bologna,20,2002,25.6,4,0,0,30,7,1,36,12,33,,,0,Matches,505486d6
58,Beto,gw GNB,FW,Udinese,25,1998,0.8,0,0,0,0,0,3,0,0,0,,,0,Matches,ed5c0319
59,Davide Bettella,it ITA,DF,Monza,23,2000,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,2edcd048
60,Sam Beukema,nl NED,DF,Bologna,24,1998,28.3,6,1,1,27,11,1,2,17,12,,,0,Matches,de13cee5
61,Jaka Bijol,si SVN,DF,Udinese,24,1999,23.2,4,0,0,28,7,0,1,23,28,,,0,Matches,6fdac234
62,El Bilal Touré,ml MLI,FW,Atalanta,21,2001,4.4,2,0,0,13,8,3,2,1,1,,,0,Matches,47c609d5
63,Cristiano Biraghi,it ITA,DF,Fiorentina,30,1992,26.2,8,0,0,44,14,1,225,15,30,,,0,Matches,9e1577aa
64,Davide Biraschi,it ITA,DF,Genoa,29,1994,1.0,0,0,0,0,2,0,0,3,3,,,0,Matches,64cd167d
65,Samuele Birindelli,it ITA,MFDF,Monza,24,1999,22.4,7,0,0,30,32,1,55,16,20,,,0,Matches,204ac005
66,Alexis Blin,fr FRA,MF,Lecce,26,1996,18.2,4,0,0,25,22,0,11,21,21,,,0,Matches,c69ef855
67,Jérôme Boateng,de GER,DF,Salernitana,34,1988,2.6,0,0,0,2,0,1,1,4,0,,,0,Matches,2db2fd7b
68,Emil Bohinen,no NOR,MF,Salernitana,24,1999,5.9,1,0,0,5,6,0,2,14,6,,,0,Matches,c83c203f
69,Emil Bohinen,no NOR,MF,Genoa,24,1999,0.6,0,0,0,0,0,0,2,0,1,,,0,Matches,c83c203f
70,Daniel Boloca,ro ROU,MF,Sassuolo,24,1998,22.5,6,1,0,25,7,0,8,15,33,,,0,Matches,85f7ed25
71,Giacomo Bonaventura,it ITA,MF,Fiorentina,33,1989,25.3,6,0,0,20,35,1,55,12,13,,,0,Matches,d995ed27
72,Federico Bonazzoli,it ITA,FW,Hellas Verona,26,1997,11.3,2,0,0,10,20,9,6,3,1,,,0,Matches,bf57eaab
73,Warren Bondo,fr FRA,MF,Monza,19,2003,16.4,9,0,0,31,19,0,2,6,23,,,0,Matches,0def2376
74,Giovanni Bonfanti,it ITA,DF,Atalanta,20,2003,1.0,0,0,0,2,1,0,2,1,2,,,0,Matches,938d8a55
75,Kevin Bonifazi,it ITA,DF,Frosinone,27,1996,3.4,0,0,0,4,1,0,0,3,3,,,0,Matches,fb77bfef
76,Kevin Bonifazi,it ITA,DF,Bologna,27,1996,1.0,0,0,0,1,1,0,0,0,0,,,0,Matches,fb77bfef
77,Gennaro Borrelli,it ITA,FW,Frosinone,23,2000,0.3,0,0,0,0,0,2,1,0,0,,,0,Matches,04c4edc1
78,Erik Botheim,no NOR,FWMF,Salernitana,23,2000,3.5,1,0,0,2,11,0,1,0,0,,,0,Matches,3d13d9e4
79,Mehdi Bourabia,ma MAR,MF,Frosinone,31,1991,2.2,1,0,0,5,1,1,3,1,4,,,0,Matches,0d077b88
80,Edoardo Bove,it ITA,MF,Roma,21,2002,19.8,2,0,0,31,37,1,8,10,31,,,0,Matches,ae94a6c5
81,Domagoj Bradarić,hr CRO,MFDF,Salernitana,23,1999,30.5,5,0,0,14,34,0,81,31,21,,,0,Matches,8bbe2df5
82,Josip Brekalo,hr CRO,MF,Fiorentina,25,1998,7.2,0,0,0,13,6,1,22,1,6,,,0,Matches,d4a2533d
83,Gleison Bremer,br BRA,DF,Juventus,26,1997,35.9,9,0,0,60,17,2,1,36,44,,,0,Matches,5fd5ed86
84,Brenner,br BRA,MFFW,Udinese,23,2000,2.1,0,0,0,0,3,1,1,0,6,,,0,Matches,279508bf
85,Marco Brescianini,it ITA,MF,Frosinone,23,2000,25.8,1,0,0,35,24,5,20,9,12,,,0,Matches,dfd56738
86,Dylan Bronn,tn TUN,DF,Salernitana,28,1995,0.6,0,0,0,0,2,0,0,0,0,,,0,Matches,edd81e2a
87,Tajon Buchanan,ca CAN,DFMF,Inter,24,1999,1.8,0,0,0,1,6,1,11,0,1,,,0,Matches,3aca6420
88,Alessandro Buongiorno,it ITA,DF,Torino,24,1999,28.1,7,0,0,69,39,1,3,72,39,,,0,Matches,4ae67f27
89,Rareș-Cătălin Burnete,ro ROU,FW,Lecce,19,2004,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,7c4b4e36
90,Jovane Cabral,cv CPV,MFFW,Salernitana,25,1998,7.5,1,0,0,19,13,6,14,1,9,,,0,Matches,e34e086c
91,Liberato Cacace,nz NZL,DFMF,Empoli,22,2000,21.2,6,0,0,30,18,1,66,19,23,,,0,Matches,dd86e8e4
92,Jens Cajuste,se SWE,MF,Napoli,23,1999,11.3,7,0,0,29,11,1,6,3,22,,,0,Matches,928a4a61
93,Davide Calabria,it ITA,DF,Milan,26,1996,24.3,5,2,1,25,19,0,35,21,40,,,0,Matches,2146785a
94,Riccardo Calafiori,it ITA,DF,Bologna,21,2002,26.1,4,0,0,35,27,2,9,51,31,,,1,Matches,aded8e6f
95,Mattia Caldara,it ITA,DF,Milan,29,1994,0.4,0,0,0,0,0,0,0,1,1,,,0,Matches,ac7e640b
96,Luca Caldirola,it ITA,DF,Monza,32,1991,23.8,7,1,1,24,17,1,4,25,14,,,0,Matches,226008f1
97,Hakan Çalhanoğlu,tr TUR,MF,Inter,29,1994,28.4,5,0,0,42,23,0,152,22,37,,,0,Matches,cd0fa27b
98,Francesco Camarda,it ITA,FW,Milan,15,2008,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches,1956a64b
99,Nicolò Cambiaghi,it ITA,FWMF,Empoli,22,2000,28.4,3,0,0,48,76,3,133,14,40,,,0,Matches,91ff775f
100,Andrea Cambiaso,it ITA,MF,Juventus,23,2000,26.4,10,0,0,35,20,4,82,11,30,,,0,Matches,247ed022
101,Matteo Cancellieri,it ITA,FWMF,Empoli,21,2002,19.9,7,0,0,35,52,13,42,5,24,,,0,Matches,b6a1cdf9
102,Antonio Candreva,it ITA,MF,Salernitana,36,1987,30.6,5,0,0,11,43,21,219,7,13,,,0,Matches,356c9002
103,Luigi Canotto,it ITA,FWMF,Frosinone,29,1994,0.2,0,0,0,0,1,0,0,0,0,,,0,Matches,911080b1
104,Gianluca Caprari,it ITA,MFFW,Monza,30,1993,3.2,0,0,0,3,5,2,8,2,1,,,0,Matches,54e53b7e
105,Elia Caprile,it ITA,GK,Empoli,21,2001,23.0,0,0,0,1,7,0,0,0,0,,,0,Matches,97d7afbd
106,Francesco Caputo,it ITA,FW,Empoli,35,1987,14.1,0,0,0,10,14,20,1,0,0,,,0,Matches,5bd72174
107,Andrea Carboni,it ITA,DF,Monza,22,2001,16.5,1,0,0,12,5,1,21,17,22,,,0,Matches,f7e2af2c
108,Valentin Carboni,ar ARG,MF,Monza,18,2005,13.0,2,0,0,21,20,3,14,7,13,,,0,Matches,707b98f1
109,Marco Carnesecchi,it ITA,GK,Atalanta,23,2000,26.9,0,0,0,1,2,0,0,0,0,,,0,Matches,8ec56e62
110,Nicolò Casale,it ITA,DF,Lazio,25,1998,17.3,5,0,0,24,6,0,0,11,10,,,0,Matches,3f5f38fb
111,Giuseppe Caso,it ITA,FW,Frosinone,24,1998,4.6,2,0,0,5,14,1,2,0,3,,,0,Matches,099a2de5
112,Valentín Castellanos,ar ARG,FW,Lazio,24,1998,18.7,2,0,0,33,31,20,16,3,11,,,0,Matches,da76bab4
113,Samu Castillejo,es ESP,MFFW,Sassuolo,28,1995,6.0,2,0,0,11,18,1,34,1,10,,,0,Matches,130a7a3f
114,Santiago Castro,ar ARG,FW,Bologna,18,2004,2.7,1,0,0,7,7,0,1,0,1,,,0,Matches,ee5565ae
115,Gaetano Castrovilli,it ITA,MF,Fiorentina,26,1997,4.1,0,0,0,4,5,1,9,2,2,,,0,Matches,0728bebe
116,Danilo Cataldi,it ITA,MF,Lazio,28,1994,15.1,8,0,0,17,8,0,31,18,11,,,0,Matches,ba3d3bea
117,Emil Ceide,no NOR,FWMF,Sassuolo,21,2001,2.0,0,0,0,2,1,0,5,0,1,,,0,Matches,98a84572
118,Zeki Çelik,tr TUR,DFMF,Roma,26,1997,7.5,1,0,0,14,3,0,20,8,15,,,0,Matches,31a62dc7
119,Fabien Centonze,fr FRA,DF,Hellas Verona,27,1996,7.5,2,0,0,13,7,1,28,9,8,,,0,Matches,3c6bbbab
120,Michele Cerofolini,it ITA,GK,Frosinone,24,1999,7.5,1,0,0,1,0,0,0,0,0,,,1,Matches,efdeaff3
121,Alberto Cerri,it ITA,FW,Empoli,27,1996,6.1,2,0,0,15,9,6,1,3,3,,,0,Matches,1079c685
122,Leonardo Cerri,it ITA,FW,Juventus,20,2003,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,58e08f40
123,Charlys,br BRA,MF,Hellas Verona,19,2004,0.3,0,0,0,0,0,0,0,1,0,,,0,Matches,eff9c9ea
124,Walid Cheddira,ma MAR,FW,Frosinone,25,1998,23.6,0,0,0,27,43,16,3,4,7,,,0,Matches,0545a08e
125,Federico Chiesa,it ITA,FW,Juventus,25,1997,24.4,1,0,0,14,40,7,117,6,11,,,0,Matches,b0f7e36c
126,Oliver Christensen,dk DEN,GK,Fiorentina,24,1999,4.0,0,0,0,2,1,0,0,0,0,,,0,Matches,af104654
127,Samuel Chukwueze,ng NGA,MFFW,Milan,24,1999,11.3,1,0,0,7,12,7,21,6,7,,,0,Matches,b8a642fc
128,Alphadjo Cissè,it ITA,MF,Hellas Verona,16,2006,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches,d079becb
129,Giorgio Cittadini,it ITA,DF,Monza,21,2002,0.2,1,0,0,1,1,0,0,0,1,,,0,Matches,e4ba67f2
130,Giorgio Cittadini,it ITA,DF,Genoa,21,2002,1.2,0,0,0,2,4,0,0,3,5,,,0,Matches,e4ba67f2
131,Patrick Ciurria,it ITA,MF,Monza,28,1995,17.8,2,0,0,29,14,4,53,9,20,,,0,Matches,5de3866c
132,Lorenzo Colombo,it ITA,FW,Monza,21,2002,15.1,3,0,0,25,24,6,2,0,11,,,0,Matches,04df29a5
133,Andrea Colpani,it ITA,MF,Monza,24,1999,29.5,1,0,0,24,45,2,109,12,15,,,0,Matches,6499048c
134,Pietro Comuzzo,it ITA,DF,Fiorentina,18,2005,0.5,1,0,0,1,0,0,0,1,1,,,0,Matches,5e3ecc35
135,Andrea Consigli,it ITA,GK,Sassuolo,36,1987,35.0,1,0,0,0,3,0,0,0,0,,,0,Matches,8cabdc1e
136,Nikita Contini,it ITA,GK,Napoli,27,1996,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches,e95069bb
137,Diego Coppola,it ITA,DF,Hellas Verona,19,2003,18.2,9,0,0,32,4,0,0,28,22,,,0,Matches,22ae86f9
138,Tommaso Corazza,it ITA,DF,Bologna,19,2004,2.2,1,0,0,1,3,0,8,5,4,,,0,Matches,c1b9b13c
139,Jeppe Corfitzen,dk DEN,FW,Lecce,18,2004,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,3f7e5a98
140,Giacomo Corona,it ITA,FW,Empoli,19,2004,0.1,0,0,0,1,1,0,0,0,0,,,0,Matches,d9f83409
141,João Costa,br BRA,MF,Roma,18,2005,0.2,1,0,0,2,0,0,1,0,0,,,0,Matches,26952edc
142,Benoît Costil,fr FRA,GK,Salernitana,36,1987,13.0,0,0,0,0,1,0,1,0,1,,,0,Matches,2434f24a
143,Lassana Coulibaly,ml MLI,MF,Salernitana,27,1996,23.1,5,0,0,33,36,1,9,17,33,,,0,Matches,85a44ecc
144,Mamadou Coulibaly,sn SEN,MF,Salernitana,24,1999,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,c976160c
145,Alessio Cragno,it ITA,GK,Sassuolo,29,1994,3.0,0,0,0,0,0,0,0,0,0,,,0,Matches,f554e29b
146,Bryan Cristante,it ITA,MF,Roma,28,1995,36.5,8,0,0,77,16,4,28,23,41,,,0,Matches,16657b95
147,Juan Cruz,ar ARG,FW,Hellas Verona,24,1999,1.2,0,0,0,1,0,0,1,1,2,,,0,Matches,72f5b81f
148,Juan Cuadrado,co COL,DFFW,Inter,35,1988,3.0,1,0,0,4,6,1,18,1,3,,,0,Matches,0ab1f153
149,Marvin Cuni,al ALB,FW,Frosinone,22,2001,5.9,0,0,0,13,12,3,4,1,3,,,0,Matches,1d45fd81
150,Danilo D'Ambrosio,it ITA,DF,Monza,34,1988,17.1,5,1,1,18,13,1,7,15,34,,,0,Matches,44eb9093
151,Flavius Daniliuc,at AUT,DF,Salernitana,22,2001,8.3,2,0,0,14,4,0,1,8,11,,,0,Matches,7ef972c3
152,Danilo,br BRA,DF,Juventus,32,1991,27.2,7,0,0,26,14,1,18,36,35,,,0,Matches,94b2001f
153,Matteo Darmian,it ITA,MFDF,Inter,33,1989,26.7,2,0,0,27,10,1,22,15,24,,,0,Matches,96e0490d
154,Juan David Cabal,co COL,DF,Hellas Verona,22,2001,16.6,6,0,0,27,16,1,33,28,29,,,0,Matches,ef6eef89
155,Keinan Davis,eng ENG,FW,Udinese,25,1998,2.1,2,0,0,5,3,3,0,0,0,,,0,Matches,9deaf2c8
156,Paweł Dawidowicz,pl POL,DF,Hellas Verona,28,1995,23.8,5,0,0,33,9,0,2,22,30,,,1,Matches,16bb656a
157,Charles De Ketelaere,be BEL,FWMF,Atalanta,22,2001,22.5,1,0,0,17,47,6,47,6,21,,,1,Matches,2ef7c612
158,Mattia De Sciglio,it ITA,DF,Juventus,30,1992,0.5,0,0,0,0,1,0,0,1,0,,,0,Matches,ae4e2852
159,Lorenzo De Silvestri,it ITA,DF,Bologna,35,1988,7.5,0,0,0,3,6,0,9,6,9,,,0,Matches,e74f0e59
160,Koni De Winter,be BEL,DF,Genoa,21,2002,26.4,8,1,1,38,11,0,5,23,25,,,0,Matches,f4797849
161,Grégoire Defrel,mq MTQ,MFFW,Sassuolo,32,1991,8.4,0,0,0,9,8,1,2,4,7,,,0,Matches,854ee61a
162,Alessandro Deiola,it ITA,MF,Cagliari,27,1995,17.9,7,0,0,24,17,0,15,10,21,,,1,Matches,7f267d66
163,Alessandro Dellavalle,it ITA,DF,Torino,19,2004,0.2,0,0,0,0,1,0,0,1,0,,,0,Matches,227f25be
164,Diego Demme,de GER,MF,Napoli,31,1991,0.8,1,0,0,1,2,0,3,0,1,,,0,Matches,dc3fa3b5
165,Leander Dendoncker,be BEL,DFMF,Napoli,28,1995,0.3,0,0,0,0,1,0,0,0,0,,,0,Matches,5a7301ae
166,Mattia Destro,it ITA,FW,Empoli,32,1991,4.1,2,0,0,6,8,4,0,3,1,,,0,Matches,d7d32194
167,Federico Di Francesco,it ITA,FWMF,Lecce,29,1994,0.2,0,0,0,0,0,0,1,0,0,,,0,Matches,1fca9171
168,Raffaele Di Gennaro,it ITA,GK,Inter,29,1993,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches,7a4050d5
169,Michele Di Gregorio,it ITA,GK,Monza,26,1997,31.9,0,0,0,0,4,0,0,2,0,,,0,Matches,4e0c8d66
170,Giovanni Di Lorenzo,it ITA,DF,Napoli,29,1993,35.9,6,0,0,28,37,5,125,22,36,,,0,Matches,230a2fac
171,Alessandro Di Pardo,it ITA,MFDF,Cagliari,24,1999,4.0,0,0,0,3,2,1,18,5,1,,,0,Matches,e0ce7038
172,Boulaye Dia,sn SEN,FWMF,Salernitana,26,1996,12.7,1,0,0,11,24,3,1,3,2,,,0,Matches,244bc2c8
173,Federico Dimarco,it ITA,MF,Inter,25,1997,23.1,0,0,0,12,21,5,197,7,26,,,0,Matches,970b8574
174,Tiago Djaló,pt POR,DF,Juventus,23,2000,0.2,0,0,0,0,1,0,0,0,0,,,0,Matches,b2336681
175,Koffi Djidji,ci CIV,DF,Torino,30,1992,8.4,2,0,0,11,1,0,2,10,8,,,0,Matches,933d3b51
176,Berat Djimsiti,al ALB,DF,Atalanta,30,1993,31.5,5,0,0,17,11,0,6,59,24,,,0,Matches,6eee05f1
177,Dodô,br BRA,DF,Fiorentina,24,1998,5.8,0,0,0,7,8,0,19,5,3,,,0,Matches,b5f7d10b
178,Josh Doig,sct SCO,MFDF,Hellas Verona,21,2002,9.2,2,0,0,7,4,1,30,4,10,,,0,Matches,2f69d881
179,Josh Doig,sct SCO,DFMF,Sassuolo,21,2002,14.9,5,0,0,16,11,0,46,15,17,,,0,Matches,2f69d881
180,Nicolás Domínguez,ar ARG,MF,Bologna,25,1998,1.1,0,0,0,3,0,0,0,0,0,,,0,Matches,20b3a502
181,Giulio Donati,it ITA,DF,Monza,33,1990,0.4,2,0,0,1,0,0,4,0,0,,,0,Matches,22051fbe
182,Patrick Dorgu,dk DEN,MFDF,Lecce,18,2004,17.4,6,0,0,25,44,2,39,9,22,,,0,Matches,e6536124
183,Alberto Dossena,it ITA,DF,Cagliari,24,1998,33.1,5,0,0,38,42,0,1,46,35,,,2,Matches,61efb926
184,Radu Drăgușin,ro ROU,DF,Genoa,21,2002,19.0,1,0,0,14,14,0,1,21,12,,,0,Matches,620922ed
185,Ondrej Duda,sk SVK,MF,Hellas Verona,28,1994,27.3,14,2,2,55,51,0,94,26,36,,,0,Matches,79ca3e23
186,Denzel Dumfries,nl NED,MF,Inter,27,1996,18.2,2,1,0,25,18,5,47,12,11,,,0,Matches,481c9ece
187,Alfred Duncan,gh GHA,MF,Fiorentina,30,1993,21.0,2,0,0,26,15,3,67,10,24,,,0,Matches,528492ea
188,Paulo Dybala,ar ARG,FWMF,Roma,29,1993,21.8,3,0,0,12,50,5,88,3,13,,,0,Matches,e0921a4f
189,Festy Ebosele,ie IRL,MF,Udinese,20,2002,18.9,6,1,1,29,45,1,44,11,20,,,0,Matches,dbfa4f16
190,Enzo Ebosse,cm CMR,DF,Udinese,24,1999,0.1,0,0,0,0,0,0,0,1,1,,,0,Matches,9ba7b4fa
191,Tyronne Ebuehi,ng NGA,DF,Empoli,27,1995,12.2,0,0,0,7,9,3,23,6,10,,,0,Matches,6af30900
192,Kingsley Ehizibue,nl NED,MF,Udinese,28,1995,10.6,4,0,0,12,21,5,16,9,14,,,0,Matches,76b2817e
193,Emmanuel Ekong,se SWE,FW,Empoli,21,2002,0.1,0,0,0,0,1,0,0,0,0,,,0,Matches,c20892ee
194,Caleb Ekuban,gh GHA,FW,Genoa,29,1994,12.6,0,0,0,17,27,3,4,1,4,,,0,Matches,7afbd2c3
195,Elif Elmas,mk MKD,MFFW,Napoli,23,1999,3.8,2,0,0,7,6,1,6,1,3,,,0,Matches,cf007308
196,Martin Erlić,hr CRO,DF,Sassuolo,25,1998,29.1,5,0,0,30,26,0,5,27,22,,,0,Matches,0fee6bda
197,Giovanni Fabbian,it ITA,MF,Bologna,20,2003,11.7,4,0,0,16,18,2,5,7,9,,,0,Matches,f97f9188
198,Nicolò Fagioli,it ITA,MF,Juventus,22,2001,4.9,1,0,0,3,5,1,19,4,3,,,0,Matches,366be751
199,Wladimiro Falcone,it ITA,GK,Lecce,28,1995,38.0,0,0,0,0,5,0,0,1,0,,,0,Matches,9f5a610b
200,Davide Faraoni,it ITA,MF,Hellas Verona,31,1991,6.7,5,0,0,11,9,0,19,6,10,,,0,Matches,aae9d04a
201,Davide Faraoni,it ITA,DF,Fiorentina,31,1991,4.4,0,0,0,3,6,0,17,5,5,,,0,Matches,aae9d04a
202,Federico Fazio,ar ARG,DF,Salernitana,36,1987,15.1,3,1,0,8,9,0,0,17,11,,,0,Matches,4e358a2d
203,Jacopo Fazzini,it ITA,MF,Empoli,20,2003,13.7,6,0,0,23,27,1,54,11,25,,,0,Matches,06b08c45
204,Lewis Ferguson,sct SCO,MF,Bologna,23,1999,30.1,8,0,0,51,72,4,11,15,22,,,0,Matches,ee64a822
205,Andrea Ferraris,it ITA,FW,Monza,20,2003,0.1,0,0,0,0,0,0,0,0,1,,,0,Matches,da69a0ef
