--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Performance,,,,,,,,,,,,,-additional
30,Emil Audero,id IDN,GK,Sampdoria,25,1997,25.0,1,0,0,0,2,0,0,0,0,,,1,Matches,649b01d8
31,Tommaso Augello,it ITA,MFDF,Sampdoria,27,1994,34.0,3,0,0,13,26,1,170,15,14,,,0,Matches,3cd3b384
32,Carlos Augusto,br BRA,MF,Monza,23,1999,34.3,4,0,0,41,20,6,53,24,38,,,0,Matches,8d3cd59d
33,Kaan Ayhan,tr TUR,DF,Sassuolo,27,1994,6.1,1,0,0,4,8,0,0,5,5,,,0,Matches,2200181e
34,Jaime Báez,uy URU,MF,Cremonese,27,1995,1.1,0,0,0,1,1,1,9,0,2,,,0,Matches,dfd24c07
35,Nedim Bajrami,al ALB,MFFW,Empoli,23,1999,10.4,1,0,0,6,6,3,35,7,4,,,0,Matches,f42d6c13
36,Nedim Bajrami,al ALB,FW,Sassuolo,23,1999,9.1,0,0,0,6,9,6,57,7,7,,,0,Matches,f42d6c13
37,Tiemoué Bakayoko,fr FRA,MF,Milan,27,1994,0.5,0,0,0,3,1,0,0,0,5,,,0,Matches,59bf127b
38,Tommaso Baldanzi,it ITA,MF,Empoli,19,2003,19.7,2,0,0,13,37,1,22,2,11,,,0,Matches,102e2599
39,Fodé Ballo-Touré,sn SEN,DFMF,Milan,25,1997,5.8,0,0,0,5,13,0,17,3,9,,,0,Matches,f449640d
40,Lameck Banda,zm ZAM,FWMF,Lecce,21,2001,18.2,6,0,0,31,37,11,51,8,20,,,0,Matches,8a6de8c7
41,Filippo Bandinelli,it ITA,MF,Empoli,27,1995,25.1,10,0,0,52,37,0,91,18,33,,,0,Matches,d44360be
42,Antonín Barák,cz CZE,MF,Hellas Verona,27,1994,0.3,0,0,0,0,0,0,1,0,0,,,0,Matches,01efac19
43,Antonín Barák,cz CZE,MF,Fiorentina,27,1994,20.0,4,0,0,13,17,3,14,3,11,,,0,Matches,01efac19
44,Andrea Barberis,it ITA,MF,Monza,28,1993,3.8,0,0,0,1,2,0,4,8,3,,,0,Matches,32ebfe1e
45,Tommaso Barbieri,it ITA,MF,Juventus,19,2002,1.2,0,0,0,5,4,0,7,0,3,,,0,Matches,6f1d7aa8
46,Francesco Bardi,it ITA,GK,Bologna,30,1992,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches,0acda699
47,Nicolò Barella,it ITA,MF,Inter,25,1997,29.0,6,0,0,33,45,8,86,13,25,,,0,Matches,6928979a
48,Enzo Barrenechea,ar ARG,MF,Juventus,21,2001,1.8,0,0,0,3,1,0,0,2,3,,,0,Matches,6caffe81
49,Musa Barrow,gm GAM,MFFW,Bologna,23,1998,21.8,3,0,0,20,19,5,103,1,7,,,0,Matches,e5bf73f3
50,Federico Baschirotto,it ITA,DF,Lecce,25,1996,37.0,6,0,0,37,11,0,14,35,30,,,0,Matches,5a08ee41
51,Toma Bašić,hr CRO,MF,Lazio,25,1996,5.7,2,0,0,12,17,1,20,6,6,,,0,Matches,80556f08
52,Alberto Basso,it ITA,FW,Cremonese,18,2004,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches,2ce215f2
53,Alessandro Bastoni,it ITA,DF,Inter,23,1999,24.0,3,0,0,19,15,1,49,24,21,,,0,Matches,75b86fb3
54,Simone Bastoni,it ITA,MFDF,Spezia,25,1996,13.2,7,0,0,29,12,2,103,9,24,,,0,Matches,1ac232b8
55,Brian Bayeye,cd COD,MF,Torino,22,2000,0.7,0,0,0,1,1,0,2,1,0,,,0,Matches,78e6bf2c
56,Rodrigo Becão,br BRA,DF,Udinese,26,1996,27.6,11,1,0,38,32,6,19,23,40,,,1,Matches,19e4eab9
57,Julius Beck,dk DEN,MF,Spezia,17,2005,0.1,0,0,0,1,0,0,0,0,1,,,0,Matches,e892c325
58,Raoul Bellanova,it ITA,MF,Inter,22,2000,5.5,0,0,0,4,9,2,33,7,8,,,0,Matches,e3756e72
59,Andrea Belotti,it ITA,FW,Roma,28,1993,12.7,0,0,0,21,35,7,6,3,5,,,0,Matches,d705ba44
60,Marco Benassi,it ITA,MF,Cremonese,27,1994,11.1,1,0,0,10,6,0,24,11,16,,,0,Matches,0000acda
61,Marco Benassi,it ITA,DF,Fiorentina,27,1994,1.0,0,0,0,1,1,0,7,1,3,,,0,Matches,0000acda
62,Ismaël Bennacer,dz ALG,MF,Milan,24,1997,22.3,5,0,0,36,25,1,78,26,31,,,0,Matches,db092d3b
63,Domenico Berardi,it ITA,FWMF,Sassuolo,27,1994,20.7,7,0,0,33,49,8,84,18,14,,,0,Matches,53a0e358
64,Bartosz Bereszyński,pl POL,DFMF,Sampdoria,30,1992,13.3,1,0,0,13,10,0,31,20,18,,,0,Matches,61b3978f
65,Bartosz Bereszyński,pl POL,DF,Napoli,30,1992,1.8,1,0,0,3,2,0,0,3,2,,,0,Matches,61b3978f
66,Marco Bertini,it ITA,MF,Lazio,19,2002,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,4b520f96
67,Beto,gw GNB,FW,Udinese,24,1998,23.7,2,0,0,36,26,9,9,6,8,,,0,Matches,ed5c0319
68,Matteo Bianchetti,it ITA,DF,Cremonese,29,1993,23.7,5,0,0,18,10,0,3,20,17,,,0,Matches,b3a20f18
69,Alessandro Bianco,it ITA,MF,Fiorentina,19,2002,1.7,1,0,0,7,4,0,1,0,2,,,0,Matches,d65cf468
70,Jaka Bijol,si SVN,DF,Udinese,23,1999,30.3,10,0,0,29,7,0,1,30,22,,,0,Matches,6fdac234
71,Cristiano Biraghi,it ITA,DF,Fiorentina,29,1992,28.3,1,0,0,29,38,1,303,14,41,,,1,Matches,9e1577aa
72,Samuele Birindelli,it ITA,MF,Monza,23,1999,15.6,8,0,0,15,14,2,70,16,20,,,0,Matches,204ac005
73,Kristijan Bistrović,hr CRO,MF,Lecce,24,1998,5.1,0,0,0,2,4,1,21,0,1,,,0,Matches,79370f8c
74,Alexis Blin,fr FRA,MF,Lecce,25,1996,26.4,8,0,0,47,31,1,29,36,38,,,0,Matches,c69ef855
75,Jeremie Boga,ci CIV,MFFW,Atalanta,25,1997,8.7,0,0,0,4,17,1,54,1,4,,,0,Matches,fe012aca
76,Emil Bohinen,no NOR,MF,Salernitana,23,1999,9.2,0,0,0,15,13,1,3,21,14,,,0,Matches,c83c203f
77,Giacomo Bonaventura,it ITA,MF,Fiorentina,32,1989,21.2,4,1,0,24,40,2,47,15,22,,,0,Matches,d995ed27
78,Federico Bonazzoli,it ITA,FW,Salernitana,25,1997,12.4,1,0,0,18,32,6,4,3,3,,,0,Matches,bf57eaab
79,Warren Bondo,fr FRA,MF,Monza,18,2003,0.7,1,0,0,2,3,0,0,0,0,,,0,Matches,0def2376
80,Kevin Bonifazi,it ITA,DF,Bologna,26,1996,10.0,2,0,0,6,1,1,2,12,8,,,0,Matches,fb77bfef
81,Leonardo Bonucci,it ITA,DF,Juventus,35,1987,9.8,2,0,0,11,5,1,0,15,3,,,0,Matches,52ec54d0
82,Erik Botheim,no NOR,MFFW,Salernitana,22,2000,9.6,2,0,0,12,11,3,5,0,7,,,0,Matches,3d13d9e4
83,Mehdi Bourabia,ma MAR,MF,Spezia,30,1991,30.8,3,0,0,33,18,1,64,31,22,,,0,Matches,0d077b88
84,Edoardo Bove,it ITA,MFDF,Roma,20,2002,11.0,2,0,0,24,23,1,9,8,19,,,0,Matches,ae94a6c5
85,Jayden Braaf,nl NED,MF,Hellas Verona,19,2002,3.2,1,0,0,8,1,3,5,2,3,,,0,Matches,c609e90e
86,Domagoj Bradarić,hr CRO,MFDF,Salernitana,22,1999,25.0,5,0,0,17,20,4,68,20,20,,,0,Matches,8bbe2df5
87,Josip Brekalo,hr CRO,MF,Fiorentina,24,1998,2.5,1,0,0,3,5,0,9,1,1,,,0,Matches,d4a2533d
88,Gleison Bremer,br BRA,DF,Juventus,25,1997,29.3,6,0,0,29,11,1,0,39,21,,,0,Matches,5fd5ed86
89,Dylan Bronn,tn TUN,DF,Salernitana,27,1995,18.7,5,1,0,28,10,0,7,20,18,,,0,Matches,edd81e2a
90,Marcelo Brozović,hr CRO,MF,Inter,29,1992,19.7,8,0,0,24,13,0,44,22,21,,,0,Matches,33b8d077
91,Cristian Buonaiuto,it ITA,MFFW,Cremonese,29,1992,10.9,3,0,0,17,22,2,69,13,16,,,0,Matches,f3a9fa26
92,Alessandro Buongiorno,it ITA,DF,Torino,23,1999,30.2,8,0,0,63,38,0,8,65,25,,,0,Matches,4ae67f27
93,Leonardo Buta,pt POR,DF,Udinese,20,2002,0.2,0,0,0,0,0,0,2,0,1,,,0,Matches,dee3d535
94,Arthur Cabral,br BRA,FW,Fiorentina,24,1998,15.9,4,0,0,26,19,2,4,1,3,,,0,Matches,a820e429
95,Liberato Cacace,nz NZL,DF,Empoli,21,2000,6.5,1,0,0,9,4,0,28,3,12,,,0,Matches,dd86e8e4
96,Davide Calabria,it ITA,DF,Milan,25,1996,18.8,6,0,0,16,15,1,40,25,44,,,0,Matches,2146785a
97,Mattia Caldara,it ITA,DF,Spezia,28,1994,13.9,6,0,0,16,10,1,1,17,15,,,1,Matches,ac7e640b
98,Luca Caldirola,it ITA,DF,Monza,31,1991,26.1,6,0,0,31,26,0,5,28,14,,,0,Matches,226008f1
99,Hakan Çalhanoğlu,tr TUR,MF,Inter,28,1994,26.3,3,0,0,47,26,2,168,24,27,,,0,Matches,cd0fa27b
100,Mohamed Camara,gn GUI,MF,Roma,25,1997,7.7,3,0,0,15,7,0,6,10,10,,,0,Matches,13ea2544
101,Nicolò Cambiaghi,it ITA,FWMF,Empoli,21,2000,14.3,5,1,1,26,60,1,42,9,22,,,0,Matches,91ff775f
102,Andrea Cambiaso,it ITA,DFMF,Bologna,22,2000,24.1,2,0,0,26,30,5,56,28,35,,,0,Matches,247ed022
103,Matteo Cancellieri,it ITA,FW,Lazio,20,2002,2.8,4,0,0,14,10,5,7,1,4,,,0,Matches,b6a1cdf9
104,Antonio Candreva,it ITA,MF,Salernitana,35,1987,30.3,3,1,1,7,36,10,221,18,8,,,0,Matches,356c9002
105,Gianluca Caprari,it ITA,MFFW,Monza,29,1993,27.1,7,0,0,34,50,9,77,8,7,,,0,Matches,54e53b7e
106,Francesco Caputo,it ITA,FW,Sampdoria,34,1987,12.2,0,0,0,5,24,11,3,1,1,,,0,Matches,5bd72174
107,Francesco Caputo,it ITA,FW,Empoli,34,1987,19.0,1,0,0,13,22,23,6,2,2,,,0,Matches,5bd72174
108,Andrea Carboni,it ITA,DF,Monza,21,2001,1.9,0,0,0,1,1,0,5,3,2,,,0,Matches,f7e2af2c
109,Franco Carboni,it ITA,MF,Monza,19,2003,0.7,0,0,0,2,0,0,9,1,1,,,0,Matches,b033f803
110,Valentin Carboni,ar ARG,MF,Inter,17,2005,0.3,0,0,0,0,3,0,1,0,1,,,0,Matches,707b98f1
111,Marco Carnesecchi,it ITA,GK,Cremonese,22,2000,27.0,1,0,0,0,5,0,0,0,1,,,0,Matches,8ec56e62
112,Nicolò Casale,it ITA,DF,Lazio,24,1998,27.1,6,0,0,22,7,0,0,17,23,,,0,Matches,3f5f38fb
113,Tommaso Cassandro,it ITA,DFMF,Lecce,22,2000,0.1,0,0,0,1,0,0,0,0,1,,,0,Matches,6c4307ee
114,Michele Castagnetti,it ITA,MF,Cremonese,32,1989,15.7,2,0,0,16,12,0,38,15,24,,,0,Matches,ad92526f
115,Gaetano Castrovilli,it ITA,MF,Fiorentina,25,1997,8.0,3,0,0,12,12,1,12,6,8,,,0,Matches,0728bebe
116,Danilo Cataldi,it ITA,MF,Lazio,27,1994,21.3,5,0,0,12,20,0,44,25,16,,,0,Matches,ba3d3bea
117,Pietro Ceccaroni,it ITA,DF,Lecce,26,1995,0.5,0,0,0,0,0,0,0,3,0,,,0,Matches,4d1efb48
118,Federico Ceccherini,it ITA,DF,Hellas Verona,30,1992,15.7,9,1,0,31,19,0,4,17,19,,,0,Matches,d9624b51
119,Assan Ceesay,gm GAM,FW,Lecce,28,1994,20.1,2,0,0,36,27,22,16,2,18,,,0,Matches,07f8bcc8
120,Emil Ceide,no NOR,FW,Sassuolo,20,2001,5.7,0,0,0,4,7,1,6,1,2,,,0,Matches,98a84572
121,Zeki Çelik,tr TUR,MFDF,Roma,25,1997,16.7,7,1,1,26,6,2,42,16,21,,,0,Matches,31a62dc7
122,Michele Cerofolini,it ITA,GK,Fiorentina,23,1999,5.0,0,0,0,0,0,0,0,1,0,,,0,Matches,efdeaff3
123,Federico Chiesa,it ITA,MFFW,Juventus,24,1997,9.5,2,0,0,13,11,2,42,0,10,,,0,Matches,b0f7e36c
124,Vlad Chiricheș,ro ROU,DF,Cremonese,32,1989,10.9,2,0,0,16,8,0,0,22,20,,,1,Matches,c316607a
125,Daniel Ciofani,it ITA,FW,Cremonese,37,1985,11.8,1,0,0,9,15,6,3,2,3,,,0,Matches,b09a3ecc
126,Tio Cipot,si SVN,MF,Spezia,19,2003,1.5,0,0,0,1,2,0,7,0,6,,,0,Matches,039a4fb6
127,Patrick Ciurria,it ITA,MF,Monza,27,1995,30.6,4,0,0,32,41,8,97,5,18,,,0,Matches,5de3866c
128,Nicolò Cocetta,it ITA,DF,Udinese,18,2003,0.4,0,0,0,0,0,0,0,1,0,,,0,Matches,1faa06d5
129,Omar Colley,gm GAM,DF,Sampdoria,29,1992,15.4,5,0,0,15,18,0,0,23,10,,,0,Matches,8b95acda
130,Lorenzo Colombo,it ITA,FW,Lecce,20,2002,16.8,4,0,0,37,16,8,10,1,8,,,0,Matches,04df29a5
131,Andrea Colpani,it ITA,MF,Monza,23,1999,10.5,1,0,0,22,26,0,33,3,8,,,0,Matches,6499048c
132,Andrea Consigli,it ITA,GK,Sassuolo,35,1987,35.0,0,0,0,0,4,0,0,0,0,,,0,Matches,8cabdc1e
133,Andrea Conti,it ITA,DFMF,Sampdoria,28,1994,0.3,0,0,0,0,1,1,0,0,0,,,0,Matches,8fef5412
134,Diego Coppola,it ITA,DF,Hellas Verona,18,2003,13.1,5,0,0,10,0,0,3,14,17,,,0,Matches,22ae86f9
135,Alex Cordaz,it ITA,GK,Inter,39,1983,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches,e66ebabb
136,Joaquín Correa,ar ARG,FW,Inter,27,1994,10.6,1,0,0,12,18,2,2,3,8,,,0,Matches,45b9b619
137,Alessandro Cortinovis,it ITA,MF,Hellas Verona,21,2001,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,bfc359ed
138,Lassana Coulibaly,ml MLI,MF,Salernitana,26,1996,32.1,12,0,0,53,49,1,10,25,53,,,0,Matches,85a44ecc
139,Alessio Cragno,it ITA,GK,Monza,28,1994,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches,f554e29b
140,Bryan Cristante,it ITA,MF,Roma,27,1995,32.6,8,1,0,51,19,2,10,17,64,,,0,Matches,16657b95
141,Domen Črnigoj,si SVN,MF,Salernitana,26,1995,3.3,1,0,0,6,2,0,0,10,3,,,0,Matches,22cd43d2
142,Juan Cuadrado,co COL,MFDF,Juventus,34,1988,23.1,6,1,0,33,44,2,83,25,33,,,0,Matches,0ab1f153
143,Mickaël Cuisance,fr FRA,MF,Sampdoria,22,1999,6.9,1,0,0,8,5,1,19,4,12,,,0,Matches,5722eced
144,Marco D'Alessandro,it ITA,MF,Monza,31,1991,3.2,2,0,0,6,9,1,13,1,5,,,0,Matches,060606ec
145,Danilo D'Ambrosio,it ITA,DF,Inter,33,1988,8.1,3,1,0,16,11,0,9,10,19,,,0,Matches,44eb9093
146,Luca D'Andrea,it ITA,FW,Sassuolo,17,2004,3.5,0,0,0,4,9,1,7,1,0,,,0,Matches,f778fe3f
147,Flavius Daniliuc,at AUT,DF,Salernitana,21,2001,24.4,9,0,0,33,4,0,0,28,29,,,0,Matches,7ef972c3
148,Danilo,br BRA,DF,Juventus,31,1991,35.4,5,0,0,33,17,0,18,46,64,,,0,Matches,94b2001f
149,Matteo Darmian,it ITA,MFDF,Inter,32,1989,22.5,3,0,0,21,20,3,28,21,31,,,0,Matches,96e0490d
150,Juan David Cabal,co COL,DF,Hellas Verona,21,2001,4.9,3,0,0,7,2,1,7,13,6,,,0,Matches,ef6eef89
151,Paweł Dawidowicz,pl POL,DF,Hellas Verona,27,1995,18.1,6,1,0,37,13,1,13,23,30,,,0,Matches,16bb656a
152,Charles De Ketelaere,be BEL,MF,Milan,21,2001,12.4,2,0,0,19,15,2,10,4,12,,,0,Matches,2ef7c612
153,Manuel De Luca,it ITA,FW,Sampdoria,24,1998,0.5,0,0,0,3,2,0,0,0,0,,,0,Matches,60e3603d
154,Tommaso De Nipoti,it ITA,FW,Atalanta,19,2003,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,7f9d956a
155,Mattia De Sciglio,it ITA,MFDF,Juventus,29,1992,11.6,0,0,0,4,11,0,26,3,8,,,0,Matches,ae4e2852
156,Lorenzo De Silvestri,it ITA,DFMF,Bologna,34,1988,7.5,1,0,0,6,6,2,6,3,2,,,1,Matches,e74f0e59
157,Koni De Winter,be BEL,DF,Empoli,20,2002,11.4,3,0,0,13,2,0,0,6,10,,,0,Matches,f4797849
158,Grégoire Defrel,mq MTQ,FW,Sassuolo,31,1991,13.0,3,0,0,14,13,6,1,2,7,,,0,Matches,854ee61a
159,Duccio Degl'Innocenti,it ITA,MF,Empoli,19,2003,0.0,0,0,0,0,0,0,0,1,0,,,0,Matches,0e0d6c53
160,Merih Demiral,tr TUR,DF,Atalanta,24,1998,17.1,5,0,0,13,13,1,2,23,29,,,0,Matches,e3cceee6
161,Diego Demme,de GER,MF,Napoli,30,1991,1.6,0,0,0,2,3,0,0,1,0,,,0,Matches,dc3fa3b5
162,Fabio Depaoli,it ITA,MF,Hellas Verona,25,1997,24.1,7,0,0,42,31,4,60,19,30,,,0,Matches,d97f2e8d
163,Fabio Depaoli,it ITA,DF,Sampdoria,25,1997,1.5,1,0,0,1,7,0,8,1,3,,,0,Matches,d97f2e8d
164,Kastriot Dermaku,al ALB,DF,Lecce,30,1992,0.4,0,0,0,0,0,0,0,0,0,,,0,Matches,2990c466
165,Cyriel Dessers,ng NGA,FW,Cremonese,27,1994,17.6,3,0,0,34,14,23,8,2,4,,,0,Matches,dcb38abe
166,Sergiño Dest,us USA,DF,Milan,21,2000,3.7,0,0,0,6,4,0,4,3,5,,,0,Matches,5976f83e
167,Mattia Destro,it ITA,FW,Empoli,31,1991,6.4,3,0,0,12,5,7,2,1,1,,,0,Matches,d7d32194
168,Gerard Deulofeu,es ESP,FW,Udinese,28,1994,13.5,1,0,0,8,11,8,59,2,5,,,0,Matches,39583cfd
169,Samuel Di Carmine,it ITA,FW,Cremonese,33,1988,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches,ef94dc2f
170,Federico Di Francesco,it ITA,FWMF,Lecce,28,1994,22.6,5,0,0,42,32,13,46,9,16,,,0,Matches,1fca9171
171,Michele Di Gregorio,it ITA,GK,Monza,25,1997,37.0,0,0,0,0,3,0,0,4,0,,,0,Matches,4e0c8d66
172,Giovanni Di Lorenzo,it ITA,DF,Napoli,28,1993,36.2,2,0,0,32,36,4,88,29,29,,,0,Matches,230a2fac
173,Ángel Di María,ar ARG,FWMF,Juventus,34,1988,15.1,1,1,0,6,24,4,96,7,5,,,0,Matches,19cda00b
174,Boulaye Dia,sn SEN,FWMF,Salernitana,25,1996,28.0,4,0,0,28,43,13,6,8,5,,,0,Matches,244bc2c8
175,Brahim Díaz,ma MAR,MF,Milan,22,1999,21.4,3,0,0,29,50,2,20,7,15,,,0,Matches,407feb71
176,Federico Dimarco,it ITA,MFDF,Inter,24,1997,23.0,0,0,0,12,30,5,208,18,25,,,0,Matches,970b8574
177,Koffi Djidji,ci CIV,DF,Torino,29,1992,26.9,3,0,0,27,3,1,13,33,26,,,0,Matches,933d3b51
178,Berat Djimsiti,al ALB,DF,Atalanta,29,1993,20.0,3,0,0,15,8,0,0,39,20,,,0,Matches,6eee05f1
179,Dodô,br BRA,DF,Fiorentina,23,1998,25.9,5,1,1,28,39,0,61,24,22,,,0,Matches,b5f7d10b
180,Josh Doig,sct SCO,MF,Hellas Verona,20,2002,15.0,1,0,0,14,7,2,46,11,8,,,0,Matches,2f69d881
181,Nicolás Domínguez,ar ARG,MF,Bologna,24,1998,25.6,10,0,0,43,32,2,19,22,48,,,0,Matches,20b3a502
182,Giulio Donati,it ITA,DFMF,Monza,32,1990,4.7,4,2,1,7,5,0,9,5,2,,,0,Matches,22051fbe
183,Bartłomiej Drągowski,pl POL,GK,Spezia,24,1997,32.7,1,0,0,0,6,0,0,1,0,,,0,Matches,085e71a7
184,Ondrej Duda,sk SVK,MF,Hellas Verona,27,1994,11.8,4,0,0,17,26,0,14,12,14,,,0,Matches,79ca3e23
185,Denzel Dumfries,nl NED,MF,Inter,26,1996,24.6,4,0,0,30,39,2,82,12,20,,,1,Matches,481c9ece
186,Alfred Duncan,gh GHA,MF,Fiorentina,29,1993,12.3,3,0,0,26,12,1,26,8,10,,,0,Matches,528492ea
187,Paulo Dybala,ar ARG,MFFW,Roma,28,1993,19.3,5,0,0,10,56,5,84,7,4,,,0,Matches,e0921a4f
188,Edin Džeko,ba BIH,FW,Inter,36,1986,19.2,3,0,0,27,24,10,23,4,3,,,0,Matches,3bb7f478
189,Festy Ebosele,ie IRL,MF,Udinese,19,2002,4.6,4,0,0,11,7,0,18,2,10,,,0,Matches,dbfa4f16
190,Enzo Ebosse,cm CMR,DFMF,Udinese,23,1999,10.3,3,0,0,9,4,1,15,12,9,,,0,Matches,9ba7b4fa
191,Tyronne Ebuehi,ng NGA,DF,Empoli,26,1995,21.4,0,0,0,12,17,3,28,12,13,,,0,Matches,6af30900
192,Kingsley Ehizibue,nl NED,MF,Udinese,27,1995,17.1,7,0,0,32,20,1,36,10,31,,,0,Matches,76b2817e
193,Albin Ekdal,se SWE,MF,Spezia,33,1989,19.3,6,1,1,32,29,0,4,27,24,,,0,Matches,f503ea63
194,Emmanuel Ekong,se SWE,FW,Empoli,20,2002,0.2,0,0,0,0,0,1,0,0,0,,,0,Matches,c20892ee
195,Mikael Ellertsson,is ISL,MF,Spezia,20,2002,1.9,3,0,0,6,3,0,3,2,2,,,0,Matches,c55967eb
196,Elif Elmas,mk MKD,MFFW,Napoli,22,1999,18.1,5,0,0,22,14,4,31,8,17,,,0,Matches,cf007308
197,Martin Erlić,hr CRO,DF,Sassuolo,24,1998,25.9,2,0,0,22,12,0,2,28,17,,,1,Matches,0fee6bda
198,Gonzalo Escalante,ar ARG,MF,Cremonese,29,1993,6.2,0,1,0,6,5,0,1,10,8,,,0,Matches,3f79a1c8
199,Salvatore Esposito,it ITA,MF,Spezia,21,2000,10.8,5,1,1,11,25,2,53,12,12,,,0,Matches,5cf5c9ad
200,Nicolò Fagioli,it ITA,MF,Juventus,21,2001,16.9,3,0,0,20,23,1,23,8,18,,,0,Matches,366be751
201,Wladimiro Falcone,it ITA,GK,Lecce,27,1995,38.0,2,0,0,1,5,0,0,2,0,,,0,Matches,9f5a610b
202,Davide Faraoni,it ITA,MFDF,Hellas Verona,30,1991,16.5,7,0,0,21,11,4,38,14,23,,,0,Matches,aae9d04a
203,Federico Fazio,ar ARG,DF,Salernitana,35,1987,11.9,2,1,0,11,6,0,4,28,12,,,0,Matches,4e358a2d
204,Jacopo Fazzini,it ITA,MF,Empoli,19,2003,9.2,4,0,0,20,13,0,12,7,17,,,0,Matches,06b08c45
205,Lewis Ferguson,sct SCO,MF,Bologna,22,1999,25.7,4,0,0,50,41,6,13,16,26,,,0,Matches,ee64a822
