--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Performance,,,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
1,James Abankwah,ie IRL,DF,Udinese,18,2004,0.7,0,0,0,2,1,0,0,0,1,,,0,Matches,4b7a9fcc
2,Oliver Abildgaard,dk DEN,MF,Hellas Verona,26,1996,6.6,2,0,0,13,7,0,5,5,6,,,0,Matches,8f5cdf66
3,Tammy Abraham,eng ENG,FW,Roma,24,1997,24.3,2,0,0,34,48,11,11,3,10,,,0,Matches,f586779e
4,Christian Acella,it ITA,MF,Cremonese,20,2002,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches,771a2cfe
5,Francesco Acerbi,it ITA,DF,Inter,34,1988,26.9,4,0,0,16,13,2,22,41,20,,,0,Matches,b96b595c
6,Yacine Adli,fr FRA,MF,Milan,22,2000,1.6,1,0,0,4,1,1,6,1,3,,,0,Matches,26777636
7,Michel Aebischer,ch SUI,MFFW,Bologna,25,1997,17.1,4,0,0,22,22,7,21,7,6,,,0,Matches,f9c927de
8,Felix Afena-Gyan,gh GHA,FWMF,Cremonese,19,2003,9.1,4,0,0,18,11,6,4,1,3,,,0,Matches,0154d290
9,Kevin Agudelo,co COL,MFFW,Spezia,23,1998,23.7,5,0,0,34,35,2,34,9,37,,,0,Matches,46fa7204
10,Ola Aina,ng NGA,MF,Torino,25,1996,9.7,5,0,0,16,16,1,36,11,13,,,0,Matches,246d153b
11,Emanuel Aiwum,at AUT,DF,Cremonese,21,2000,18.4,3,0,0,21,15,0,3,25,36,,,0,Matches,d810c13b
12,Jean-Daniel Akpa-Akpro,ci CIV,MF,Empoli,29,1992,15.1,9,2,1,31,18,0,12,13,40,,,0,Matches,fdf4b948
13,Luis Alberto,es ESP,MF,Lazio,29,1992,27.1,4,0,0,15,14,2,146,8,29,,,0,Matches,5294a83f
14,Agustín Álvarez,uy URU,FW,Sassuolo,21,2001,4.1,1,0,0,8,4,2,4,2,3,,,0,Matches,ab472696
15,Kelvin Amian,fr FRA,DFMF,Spezia,24,1998,26.4,7,1,1,37,5,1,40,21,32,,,0,Matches,bcc81786
16,Bruno Amione,ar ARG,DF,Hellas Verona,20,2002,0.6,1,0,0,3,0,0,0,0,1,,,0,Matches,2df7cc43
17,Bruno Amione,ar ARG,DF,Sampdoria,20,2002,23.2,10,1,1,24,17,0,5,24,34,,,0,Matches,2df7cc43
18,Ethan Ampadu,wls WAL,DFMF,Spezia,21,2000,29.3,10,1,1,44,20,1,12,37,39,,,0,Matches,10b9fa99
19,Sofyan Amrabat,ma MAR,MF,Fiorentina,25,1996,22.2,11,0,0,54,28,0,28,21,26,,,0,Matches,5a2cb25d
20,Felipe Anderson,br BRA,FW,Lazio,29,1993,32.9,3,0,0,40,33,7,50,27,51,,,0,Matches,9f1893b9
21,Frank Anguissa,cm CMR,MF,Napoli,26,1995,33.9,3,0,0,44,47,2,24,49,31,,,0,Matches,6bb2c084
22,Janis Antiste,fr FRA,FWMF,Sassuolo,19,2002,0.6,0,0,0,4,0,0,0,0,0,,,0,Matches,38d9ce53
23,Marcos Antônio,br BRA,MF,Lazio,22,2000,6.6,2,0,0,9,15,0,0,12,5,,,0,Matches,108fe016
24,Valentin Antov,bg BUL,DF,Monza,21,2000,3.4,2,0,0,4,2,0,2,5,5,,,0,Matches,8f68aa41
25,Marko Arnautović,at AUT,FW,Bologna,33,1989,17.0,5,0,0,22,20,11,9,2,6,,,0,Matches,00459419
26,Tolgay Arslan,de GER,MF,Udinese,31,1990,13.5,3,0,0,15,35,0,28,12,17,,,0,Matches,963a328b
27,Santiago Ascacíbar,ar ARG,MF,Cremonese,25,1997,8.1,1,0,0,11,9,0,5,12,14,,,0,Matches,e26fcca3
28,Kristoffer Askildsen,no NOR,MF,Lecce,21,2001,8.1,3,0,0,20,7,1,19,10,3,,,0,Matches,a69cc629
29,Kristjan Asllani,al ALB,MF,Inter,20,2002,6.6,2,0,0,5,7,0,20,5,5,,,0,Matches,0fdcef0e
