--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
1,James Abankwah,ie IRL,DF,Udinese,18,2004,0.7,0,0,0,,0.00,0.00,,,0,0,Matches,4b7a9fcc
2,Oliver Abildgaard,dk DEN,MF,Hellas Verona,26,1996,6.6,0,3,2,66.7,0.46,0.30,0.00,0.00,0,0,Matches,8f5cdf66
3,Tammy Abraham,eng ENG,FW,Roma,24,1997,24.3,8,62,30,48.4,2.55,1.23,0.13,0.27,0,0,Matches,f586779e
4,Christian Acella,it ITA,MF,Cremonese,20,2002,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,771a2cfe
5,Francesco Acerbi,it ITA,DF,Inter,34,1988,26.9,0,18,2,11.1,0.67,0.07,0.00,0.00,0,0,Matches,b96b595c
6,Yacine Adli,fr FRA,MF,Milan,22,2000,1.6,0,2,2,100.0,1.25,1.25,0.00,0.00,0,0,Matches,26777636
7,Michel Aebischer,ch SUI,MFFW,Bologna,25,1997,17.1,1,15,2,13.3,0.88,0.12,0.07,0.50,0,0,Matches,f9c927de
8,Felix Afena-Gyan,gh GHA,FWMF,Cremonese,19,2003,9.1,0,21,2,9.5,2.31,0.22,0.00,0.00,0,0,Matches,0154d290
9,Kevin Agudelo,co COL,MFFW,Spezia,23,1998,23.7,0,28,7,25.0,1.18,0.30,0.00,0.00,0,0,Matches,46fa7204
10,Ola Aina,ng NGA,MF,Torino,25,1996,9.7,1,8,3,37.5,0.82,0.31,0.13,0.33,0,0,Matches,246d153b
11,Emanuel Aiwum,at AUT,DF,Cremonese,21,2000,18.4,0,3,1,33.3,0.16,0.05,0.00,0.00,0,0,Matches,d810c13b
12,Jean-Daniel Akpa-Akpro,ci CIV,MF,Empoli,29,1992,15.1,1,14,5,35.7,0.93,0.33,0.07,0.20,0,0,Matches,fdf4b948
13,Luis Alberto,es ESP,MF,Lazio,29,1992,27.1,6,47,19,40.4,1.73,0.70,0.13,0.32,1,2,Matches,5294a83f
14,Agustín Álvarez,uy URU,FW,Sassuolo,21,2001,4.1,1,14,4,28.6,3.42,0.98,0.07,0.25,0,0,Matches,ab472696
15,Kelvin Amian,fr FRA,DFMF,Spezia,24,1998,26.4,0,26,7,26.9,0.99,0.27,0.00,0.00,0,0,Matches,bcc81786
16,Bruno Amione,ar ARG,DF,Hellas Verona,20,2002,0.6,0,0,0,,0.00,0.00,,,0,0,Matches,2df7cc43
17,Bruno Amione,ar ARG,DF,Sampdoria,20,2002,23.2,1,12,2,16.7,0.52,0.09,0.08,0.50,0,0,Matches,2df7cc43
