--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Performance,,,,,,,,,,,,,-additional
43,Samuel Bastien,cd COD,MF,Chievo,20,1996,15.1,4,1,1,15,15,3,12,22,16,0,0,0,Matches,ec30b9c8
44,Alessandro Bastoni,it ITA,DF,Atalanta,18,1999,1.0,0,0,0,2,5,0,0,1,2,0,0,0,Matches,75b86fb3
45,Bastos,ao ANG,DF,Lazio,26,1991,15.6,4,0,0,12,5,0,1,24,27,0,2,0,Matches,c01c66d9
46,Enrico Bearzotti,it ITA,DFFW,Hellas Verona,20,1996,4.6,0,0,0,2,2,0,14,4,2,0,1,0,Matches,c67836b8
47,Valon Behrami,ch SUI,MF,Udinese,32,1985,15.5,5,0,0,46,23,0,1,26,48,0,0,0,Matches,d3d758d8
48,Vid Belec,si SVN,GK,Benevento,27,1990,12.4,1,1,0,2,3,0,0,1,0,0,1,0,Matches,4f8ce0e1
49,Vid Belec,si SVN,GK,Sampdoria,27,1990,2.0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4f8ce0e1
50,Andrea Belotti,it ITA,FW,Torino,23,1993,29.8,2,0,0,56,94,22,10,7,25,1,0,0,Matches,d705ba44
51,Ahmad Benali,ly LBY,MF,Crotone,25,1992,9.0,2,0,0,8,15,0,11,7,11,0,0,0,Matches,a128b07e
52,Marco Benassi,it ITA,MF,Fiorentina,22,1994,30.9,6,0,0,33,23,4,68,32,40,0,0,0,Matches,0000acda
53,Medhi Benatia,ma MAR,DF,Juventus,30,1987,19.5,8,0,0,27,13,3,0,43,22,0,0,0,Matches,3b15ef2d
54,Rodrigo Bentancur,uy URU,MF,Juventus,20,1997,6.5,0,0,0,13,12,0,2,3,13,0,0,0,Matches,3b8674e6
55,Domenico Berardi,it ITA,FW,Sassuolo,22,1994,25.5,8,1,0,43,48,21,122,16,20,0,0,0,Matches,53a0e358
56,Álex Berenguer,es ESP,FWMF,Torino,22,1995,11.6,1,0,0,22,20,3,44,12,16,0,0,0,Matches,dc1c2fce
57,Bartosz Bereszyński,pl POL,DF,Sampdoria,25,1992,27.6,5,0,0,24,27,0,61,37,44,0,1,0,Matches,61b3978f
58,Etrit Berisha,al ALB,GK,Atalanta,28,1989,31.0,0,0,0,1,3,0,0,2,2,0,0,0,Matches,ee833569
59,Federico Bernardeschi,it ITA,MFFW,Juventus,23,1994,9.4,4,0,0,13,25,1,24,12,5,1,0,0,Matches,ee93c1a9
60,Andrea Bertolacci,it ITA,MF,Genoa,26,1991,32.2,7,1,0,68,86,0,31,55,56,1,0,0,Matches,c75b6a02
61,Daniel Bessa,it ITA,MF,Genoa,24,1993,4.9,0,0,0,9,4,0,9,6,6,0,0,0,Matches,88895312
62,Daniel Bessa,it ITA,MFFW,Hellas Verona,24,1993,15.4,5,0,0,28,13,5,23,15,17,1,0,0,Matches,88895312
63,Matteo Bianchetti,it ITA,DF,Hellas Verona,24,1993,1.4,1,0,0,2,1,0,4,1,1,0,0,0,Matches,b3a20f18
64,Lucas Biglia,ar ARG,MF,Milan,31,1986,22.7,5,0,0,35,41,0,8,30,39,0,0,0,Matches,5710a281
65,Jean-Claude Billong,cm CMR,DF,Benevento,23,1993,3.3,0,0,0,3,1,0,1,6,5,0,0,0,Matches,a3e1d20d
66,Davide Biondini,it ITA,MF,Sassuolo,34,1983,2.3,1,0,0,6,2,0,4,2,4,0,0,0,Matches,b4c3070a
67,Cristiano Biraghi,it ITA,DFMF,Fiorentina,24,1992,33.1,7,0,0,38,35,0,244,50,49,1,0,0,Matches,9e1577aa
68,Davide Biraschi,it ITA,DFMF,Genoa,23,1994,20.0,2,0,0,24,22,0,36,38,21,0,0,0,Matches,64cd167d
69,Valter Birsa,si SVN,MFFW,Chievo,30,1986,27.8,3,0,0,24,32,1,223,24,17,0,0,0,Matches,455a2b79
70,Albano Bizzarri,ar ARG,GK,Udinese,39,1977,32.0,0,1,0,2,3,0,1,2,2,0,0,0,Matches,32b9b5fa
71,Deian Boldor,ro ROU,DF,Hellas Verona,22,1995,1.0,1,0,0,1,0,0,0,3,2,0,0,0,Matches,9b7533de
72,Giacomo Bonaventura,it ITA,MF,Milan,27,1989,28.2,3,0,0,23,48,2,79,33,22,0,0,0,Matches,d995ed27
73,Federico Bonazzoli,it ITA,FW,SPAL,20,1997,2.0,0,0,0,4,7,0,1,0,0,0,0,0,Matches,bf57eaab
74,Federico Bonazzoli,it ITA,FW,Sampdoria,20,1997,0.3,0,0,0,1,0,1,0,0,0,0,0,0,Matches,bf57eaab
75,Kevin Bonifazi,it ITA,DFMF,Torino,21,1996,4.5,0,0,0,3,4,0,1,12,7,0,0,0,Matches,fb77bfef
76,Leonardo Bonucci,it ITA,DF,Milan,30,1987,34.3,5,1,0,25,27,9,15,47,23,0,0,0,Matches,52ec54d0
77,Fabio Borini,it ITA,FWMF,Milan,26,1991,17.9,5,0,0,19,43,1,58,17,24,0,0,0,Matches,ef5b337e
78,Marco Borriello,it ITA,FW,SPAL,35,1982,8.6,6,0,0,14,10,11,3,3,3,0,0,0,Matches,a889ffc7
79,Lucas Boyé,ar ARG,FW,Torino,21,1996,1.7,0,0,0,6,2,1,6,2,10,0,0,0,Matches,d49f3e6b
80,Enrico Brignola,it ITA,MFFW,Benevento,18,1999,15.0,5,0,0,32,13,8,16,6,19,0,0,0,Matches,d0643f8f
81,Alberto Brignoli,it ITA,GK,Benevento,25,1991,12.5,2,0,0,3,1,0,0,0,0,0,1,0,Matches,6989550f
82,Petar Brlek,hr CRO,MF,Genoa,23,1994,2.6,1,0,0,3,1,0,2,2,7,0,0,0,Matches,4590c6e7
83,Marcelo Brozović,hr CRO,MF,Inter,24,1992,21.4,9,0,0,34,16,0,98,19,41,0,0,0,Matches,33b8d077
84,Marcel Büchel,li LIE,MF,Hellas Verona,26,1991,18.8,9,0,0,44,19,0,16,48,21,0,0,0,Matches,2edeb221
85,Ante Budimir,hr CRO,FW,Crotone,26,1991,17.6,8,0,0,41,45,20,3,6,18,0,0,0,Matches,8f3565b3
86,Gianluigi Buffon,it ITA,GK,Juventus,39,1978,20.7,1,0,0,2,4,0,0,1,0,0,1,0,Matches,e40d028b
87,Alessandro Buongiorno,it ITA,DF,Torino,18,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4ae67f27
88,Nicolás Burdisso,ar ARG,DF,Torino,36,1981,23.0,6,0,0,17,8,0,2,30,13,0,0,0,Matches,9417f322
89,Leandro Cabrera,uy URU,DF,Crotone,26,1991,4.1,0,0,0,7,3,0,0,9,5,0,0,0,Matches,69cbc8b6
90,Fabrizio Cacciatore,it ITA,DF,Chievo,30,1986,31.9,5,1,0,15,21,3,130,44,31,0,0,0,Matches,00b0bb87
91,Martín Cáceres,uy URU,DF,Lazio,30,1987,4.9,0,0,0,3,1,0,8,4,8,0,0,0,Matches,e94d79e3
92,Martín Cáceres,uy URU,DF,Hellas Verona,30,1987,12.9,3,0,0,8,14,0,19,22,15,0,0,0,Matches,e94d79e3
93,Felipe Caicedo,ec ECU,FW,Lazio,28,1988,8.0,1,0,0,18,9,8,1,1,9,0,1,0,Matches,93b891d1
94,Davide Calabria,it ITA,DFMF,Milan,20,1996,17.4,2,1,1,22,13,2,81,31,51,0,0,0,Matches,2146785a
95,Mattia Caldara,it ITA,DF,Atalanta,23,1994,24.0,5,0,0,30,33,3,1,44,27,2,1,0,Matches,ac7e640b
96,Hakan Çalhanoğlu,tr TUR,FWMF,Milan,23,1994,24.1,7,1,1,29,25,7,158,25,28,0,0,0,Matches,cd0fa27b
97,Fabrizio Caligara,it ITA,MF,Cagliari,17,2000,0.2,1,0,0,1,0,0,0,1,0,0,0,0,Matches,22ca11f1
98,José Callejón,es ESP,FW,Napoli,30,1987,36.0,3,0,0,22,47,18,203,19,27,1,0,0,Matches,78841da9
99,Simone Calvano,it ITA,MF,Hellas Verona,24,1993,7.2,1,0,0,18,7,0,7,16,12,0,0,0,Matches,9dabfcf5
100,João Cancelo,pt POR,DFMF,Inter,23,1994,20.6,4,0,0,30,25,3,191,32,28,0,0,0,Matches,bd6351cd
101,Antonio Candreva,it ITA,MF,Inter,30,1987,28.2,4,0,0,18,29,17,285,24,8,0,0,0,Matches,356c9002
102,Paolo Cannavaro,it ITA,DF,Sassuolo,36,1981,16.0,3,0,0,15,12,1,3,28,10,0,1,0,Matches,46ed55b6
103,Leonardo Capezzi,it ITA,MF,Sampdoria,22,1995,2.4,0,0,0,5,0,0,16,2,5,0,0,0,Matches,07ea0ef2
104,Elio Capradossi,ug UGA,DF,Roma,21,1996,0.9,0,0,0,1,0,0,0,2,0,0,0,0,Matches,174944a3
105,Gianluca Caprari,it ITA,FWMF,Sampdoria,24,1993,20.1,6,1,1,20,40,5,59,8,14,0,1,0,Matches,54e53b7e
106,Marco Capuano,it ITA,DF,Cagliari,25,1991,7.7,2,0,0,8,2,0,9,7,9,0,0,0,Matches,616aea37
107,Marco Capuano,it ITA,DF,Crotone,25,1991,15.6,5,1,1,16,7,0,1,29,13,0,0,0,Matches,616aea37
108,Antonio Caracciolo,it ITA,DF,Hellas Verona,27,1990,31.7,6,0,0,51,4,2,7,47,36,0,2,0,Matches,99d8fc35
109,Francesco Cassata,it ITA,MF,Sassuolo,20,1997,5.1,3,1,0,15,11,0,13,5,8,0,0,0,Matches,96960855
110,Timothy Castagne,be BEL,MF,Atalanta,21,1995,16.7,4,0,0,21,16,0,33,22,39,0,0,0,Matches,197640fd
111,Leandro Castán,br BRA,DF,Cagliari,30,1986,12.7,5,0,0,16,13,0,2,22,17,0,1,0,Matches,019f4d0d
112,Lucas Castro,ar ARG,MF,Chievo,28,1989,22.1,3,0,0,37,39,2,57,41,42,0,0,0,Matches,56b2957b
113,Danilo Cataldi,it ITA,MF,Benevento,22,1994,25.4,11,1,1,37,27,0,62,42,28,0,0,0,Matches,ba3d3bea
114,Federico Ceccherini,it ITA,DF,Crotone,25,1992,35.9,4,1,0,40,37,5,5,90,28,0,3,0,Matches,d9624b51
115,Ricardo Centurión,ar ARG,MF,Genoa,24,1993,0.6,0,0,0,1,0,1,1,0,0,0,0,0,Matches,fac896b0
116,Luca Ceppitelli,it ITA,DF,Cagliari,27,1989,24.7,7,0,0,31,18,0,1,50,34,0,3,1,Matches,7d50454d
117,Fabio Ceravolo,it ITA,FW,Benevento,30,1987,0.6,0,0,0,1,1,2,0,0,1,0,0,0,Matches,4cc93246
118,Alessio Cerci,it ITA,FWMF,Hellas Verona,30,1987,18.2,1,0,0,20,25,26,65,5,9,2,0,0,Matches,5370cba7
119,Boštjan Cesar,si SVN,DF,Chievo,35,1982,6.1,1,0,0,5,8,0,0,4,2,0,0,2,Matches,c1d18f10
120,Damir Ceter,co COL,FW,Cagliari,19,1997,2.2,0,0,0,3,4,1,2,1,1,0,0,0,Matches,eade5337
121,Raman Chibsah,gh GHA,MF,Benevento,24,1993,11.6,4,0,0,21,10,0,3,10,13,0,1,0,Matches,aa5a409a
122,Giorgio Chiellini,it ITA,DF,Juventus,32,1984,24.0,2,0,0,28,27,1,8,49,17,0,1,0,Matches,e85fb9b8
123,Federico Chiesa,it ITA,MFFW,Fiorentina,19,1997,33.5,7,0,0,49,59,13,113,19,45,3,0,0,Matches,b0f7e36c
124,Vlad Chiricheș,ro ROU,DF,Napoli,27,1989,6.5,1,0,0,5,6,0,1,15,4,0,1,0,Matches,c316607a
125,Amato Ciciretti,it ITA,MFFW,Benevento,23,1993,9.0,0,0,0,8,17,1,46,5,9,0,0,0,Matches,1ab0b878
126,Luca Cigarini,it ITA,MF,Cagliari,31,1986,22.5,14,1,1,47,26,1,117,40,30,0,0,0,Matches,ae64d449
127,Thiago Cionek,pl POL,DF,SPAL,31,1986,15.0,5,0,0,20,27,0,4,38,22,0,0,0,Matches,46f5c54d
128,Karamoko Cissé,gn GUI,FW,Benevento,28,1988,0.2,0,0,0,0,0,1,1,0,1,0,0,0,Matches,b39569c0
129,Massimo Coda,it ITA,FW,Benevento,28,1988,15.7,1,0,0,16,9,22,11,6,10,1,0,0,Matches,4c7940d6
130,Isaac Cofie,gh GHA,MF,Genoa,25,1991,6.6,1,0,0,11,7,0,0,10,10,0,0,0,Matches,c6dda86e
131,Andrea Consigli,it ITA,GK,Sassuolo,30,1987,36.8,2,0,0,1,11,0,0,0,0,0,0,0,Matches,8cabdc1e
132,Andrea Conti,it ITA,DF,Milan,23,1994,1.7,0,0,0,4,2,1,3,1,2,0,0,0,Matches,8fef5412
133,Duje Čop,hr CRO,FW,Cagliari,27,1990,1.1,0,0,0,1,3,0,0,0,2,1,0,0,Matches,8b0b02c9
134,Alex Cordaz,it ITA,GK,Crotone,34,1983,38.0,2,0,0,2,2,0,0,0,0,0,1,0,Matches,e66ebabb
135,Andreas Cornelius,dk DEN,FW,Atalanta,24,1993,10.4,0,0,0,19,20,10,11,0,5,0,0,0,Matches,c693347d
136,Andrea Cossu,it ITA,MF,Cagliari,37,1980,2.7,0,0,0,5,6,0,27,4,0,0,0,0,Matches,70fd593e
137,Andrea Costa,it ITA,DF,Benevento,31,1986,15.3,5,0,0,20,12,0,5,36,15,1,1,0,Matches,f5e9a8bd
138,Douglas Costa,br BRA,FWMF,Juventus,26,1990,19.9,1,0,0,22,19,3,99,12,14,1,0,0,Matches,4fa7cb9b
139,Filippo Costa,it ITA,MF,SPAL,22,1995,16.4,4,0,0,15,26,0,104,23,13,0,1,0,Matches,00528660
140,Angelo da Costa Júnior,br BRA,GK,Bologna,33,1983,4.0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,18736214
141,Alessio Cragno,it ITA,GK,Cagliari,23,1994,28.2,0,0,0,1,3,0,0,0,1,0,1,0,Matches,f554e29b
142,Michele Cremonesi,it ITA,DF,SPAL,29,1988,4.3,2,0,0,5,2,0,1,9,3,0,0,1,Matches,53636fce
143,Lorenzo Crisetig,it ITA,MF,Bologna,24,1993,6.2,4,0,0,11,6,0,2,12,14,1,0,0,Matches,f54dfca8
144,Bryan Cristante,it ITA,MF,Atalanta,22,1995,31.4,4,0,0,56,16,5,31,22,47,1,0,0,Matches,16657b95
145,Sebastián Cristóforo,uy URU,MF,Fiorentina,23,1993,3.0,1,0,0,7,8,0,3,5,13,0,0,0,Matches,3c05c659
146,Giovanni Crociata,it ITA,FW,Crotone,19,1997,3.2,0,0,0,4,7,0,3,3,5,0,0,0,Matches,8c964914
147,Luca Crosta,it ITA,GK,Cagliari,19,1998,1.0,0,0,0,0,0,0,0,0,0,0,1,0,Matches,a4ec7d09
148,Juan Cuadrado,co COL,MFFW,Juventus,29,1988,15.0,5,0,0,18,52,3,61,19,18,0,0,0,Matches,0ab1f153
149,Patrick Cutrone,it ITA,FW,Milan,19,1998,16.7,3,0,0,26,18,23,14,4,10,1,0,0,Matches,a4fe8cda
150,Marco D'Alessandro,it ITA,MFFW,Benevento,26,1991,11.6,1,0,0,9,26,0,28,9,22,0,0,0,Matches,060606ec
151,Danilo D'Ambrosio,it ITA,DF,Inter,28,1988,33.1,6,0,0,56,39,6,62,51,64,1,0,0,Matches,44eb9093
152,Bryan Dabo,bf BFA,MF,Fiorentina,25,1992,6.6,3,1,1,13,9,0,4,13,10,0,0,0,Matches,c53083ad
153,Dario Dainelli,it ITA,DF,Chievo,38,1979,16.7,4,0,0,17,10,0,1,48,18,0,0,0,Matches,3858e611
154,Felipe dal Belo,br BRA,DF,SPAL,33,1984,28.6,6,1,0,44,17,1,12,53,34,1,1,0,Matches,8cea6319
155,Andrea Danzi,it ITA,MF,Hellas Verona,18,1999,4.4,1,0,0,6,1,0,0,5,7,0,0,0,Matches,263b855a
156,Sebastien De Maio,fr FRA,DF,Bologna,30,1987,22.8,7,0,0,32,5,3,2,32,23,0,0,1,Matches,952a03fe
157,Rodrigo De Paul,ar ARG,FWMF,Udinese,23,1994,25.8,4,0,0,29,62,4,166,12,20,0,0,0,Matches,162efffd
158,Daniele De Rossi,it ITA,MF,Roma,34,1983,20.3,6,1,0,20,23,0,5,41,14,0,1,0,Matches,532d2690
159,Mattia De Sciglio,it ITA,DF,Juventus,24,1992,10.8,1,0,0,6,3,1,23,15,18,0,0,0,Matches,ae4e2852
160,Lorenzo De Silvestri,it ITA,DFMF,Torino,29,1988,32.8,3,2,1,41,22,3,82,28,26,0,2,0,Matches,e74f0e59
161,Grégoire Defrel,mq MTQ,FW,Roma,26,1991,5.4,1,0,0,4,6,2,1,4,3,0,0,0,Matches,854ee61a
162,Alessandro Deiola,it ITA,MF,Cagliari,21,1995,5.0,3,0,0,6,3,1,4,4,8,0,0,0,Matches,7f267d66
163,Lorenzo Del Pinto,it ITA,MF,Benevento,27,1990,8.4,6,0,0,22,15,0,1,17,17,0,1,0,Matches,081b6080
164,Cristian Dell'Orco,it ITA,DF,Sassuolo,23,1994,4.7,0,0,0,4,5,0,0,12,3,0,0,0,Matches,b0243215
165,Fabio Depaoli,it ITA,MFDF,Chievo,20,1997,13.2,4,0,0,25,15,1,27,14,24,0,1,0,Matches,d97f2e8d
166,Gregory van der Wiel,nl NED,MFDF,Cagliari,29,1988,3.2,0,0,0,0,1,0,8,10,3,0,0,0,Matches,2fb3ad46
167,Daniele Dessena,it ITA,MF,Cagliari,30,1987,6.4,1,0,0,10,16,0,10,8,10,0,0,0,Matches,02b2937c
168,Mattia Destro,it ITA,FW,Bologna,26,1991,18.0,3,0,0,35,32,12,4,4,14,0,0,0,Matches,d7d32194
169,Gianluca Di Chiara,it ITA,DF,Benevento,23,1993,11.2,3,0,0,10,5,1,40,8,17,0,1,0,Matches,68852c0a
170,Federico Di Francesco,it ITA,FWMF,Bologna,23,1994,17.7,4,0,0,25,29,4,39,14,18,0,0,0,Matches,1fca9171
171,Davide Di Gennaro,it ITA,FWMF,Lazio,29,1988,0.1,0,0,0,0,0,0,0,0,1,0,0,0,Matches,951a4ee4
172,Cheick Diabaté,ml MLI,FW,Benevento,29,1988,7.4,2,1,1,14,9,6,1,0,1,0,0,0,Matches,95cfe655
173,Moussa Diaby,fr FRA,FW,Crotone,18,1999,0.8,0,0,0,1,0,0,4,1,0,0,0,0,Matches,aeed5c06
174,Amadou Diawara,gn GUI,MF,Napoli,20,1997,7.3,1,0,0,10,6,0,4,11,10,0,0,0,Matches,bf309d24
175,Berat Djimsiti,al ALB,DF,Benevento,24,1993,30.0,2,0,0,21,21,0,1,62,21,0,3,0,Matches,6eee05f1
176,Gianluigi Donnarumma,it ITA,GK,Milan,18,1999,38.0,2,0,0,0,3,0,0,2,2,0,0,1,Matches,08f5afaa
177,Godfred Donsah,gh GHA,MF,Bologna,21,1996,19.9,3,0,0,17,12,3,7,20,22,0,0,0,Matches,384dd218
178,Bartłomiej Drągowski,pl POL,GK,Fiorentina,19,1997,2.4,0,0,0,3,2,0,0,0,0,0,0,0,Matches,085e71a7
179,Boukary Dramé,sn SEN,MF,SPAL,32,1985,1.1,0,0,0,0,1,0,2,2,1,0,0,0,Matches,a5cd894b
180,Alfred Duncan,gh GHA,MF,Sassuolo,24,1993,21.6,4,0,0,38,18,4,71,26,29,0,0,0,Matches,528492ea
181,Noë Dussenne,be BEL,DF,Crotone,25,1992,0.9,1,0,0,4,1,0,0,3,0,0,0,0,Matches,8b9b8e43
182,Paulo Dybala,ar ARG,MFFW,Juventus,23,1993,26.1,0,0,0,16,73,2,93,12,11,2,0,0,Matches,e0921a4f
183,Edin Džeko,ba BIH,FW,Roma,31,1986,33.5,6,0,0,34,31,19,19,4,12,1,0,0,Matches,3bb7f478
184,Blerim Džemaili,ch SUI,MF,Bologna,31,1986,13.3,4,0,0,12,18,1,9,17,21,0,0,0,Matches,756959aa
185,Éder,it ITA,FW,Inter,30,1986,8.9,4,0,0,25,15,8,17,7,7,1,0,0,Matches,5a325298
186,Simone Edera,it ITA,MFFW,Torino,20,1997,3.6,0,0,0,10,6,1,4,1,2,0,0,0,Matches,8697c095
187,Valentin Eysseric,fr FRA,MFFW,Fiorentina,25,1992,7.8,2,0,0,13,14,1,37,4,16,0,0,0,Matches,ae82fa48
188,Diego Falcinelli,it ITA,FW,Fiorentina,26,1991,4.9,0,0,0,10,18,1,6,1,1,0,0,0,Matches,a39b9ef6
189,Diego Falcinelli,it ITA,FW,Sassuolo,26,1991,14.6,2,0,0,30,53,10,9,3,3,1,0,0,Matches,a39b9ef6
190,Cesar Falletti,uy URU,FW,Bologna,24,1992,3.6,1,0,0,4,10,0,10,0,6,0,0,0,Matches,00823e9a
191,Iago Falque,es ESP,FWMF,Torino,27,1990,31.3,2,0,0,28,36,10,124,19,35,0,0,0,Matches,440c84ed
192,Paolo Faragò,it ITA,MFDF,Cagliari,24,1993,27.3,2,0,0,43,58,4,126,26,61,1,2,0,Matches,9085dd7c
193,Davide Faraoni,it ITA,DFMF,Crotone,25,1991,19.5,3,0,0,24,26,0,56,60,37,0,1,0,Matches,aae9d04a
194,Mohamed Fares,dz ALG,DFFW,Hellas Verona,21,1996,28.9,12,0,0,62,21,0,84,55,36,0,1,1,Matches,b7a5bc86
195,Diego Farias,br BRA,FW,Cagliari,27,1990,17.9,4,0,0,26,25,17,38,9,18,0,0,0,Matches,157d29b6
196,Federico Fazio,ar ARG,DF,Roma,30,1987,32.5,6,0,0,24,20,0,6,49,41,0,0,0,Matches,4e358a2d
197,Luiz Felipe,it ITA,DF,Lazio,20,1997,13.0,6,0,0,15,9,0,2,22,28,0,2,0,Matches,15d0c248
198,Alex Ferrari,it ITA,DF,Hellas Verona,23,1994,23.7,5,0,0,16,26,0,20,51,52,1,0,0,Matches,d0dbca9f
199,Gian Filippo Felicioli,it ITA,MFDF,Hellas Verona,19,1997,3.1,1,0,0,5,6,2,8,5,8,0,0,0,Matches,ff219f73
