--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Performance,,,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
1,Rolando Aarons,eng ENG,MFFW,Hellas Verona,21,1995,5.7,0,0,0,8,11,0,11,1,7,0,0,0,Matches,c5942695
2,Ignazio Abate,it ITA,DFMF,Milan,30,1986,11.7,3,0,0,11,8,3,32,9,18,0,0,0,Matches,1c529186
3,Francesco Acerbi,it ITA,DF,Sassuolo,29,1988,38.0,4,0,0,29,31,0,11,91,35,0,1,1,Matches,b96b595c
4,Afriyie Acquah,gh GHA,MF,Torino,25,1992,10.6,5,1,1,13,14,0,12,19,7,0,0,0,Matches,d7403bd5
5,Claud Adjapong,it ITA,MF,Sassuolo,19,1998,13.6,5,1,0,22,19,2,30,25,23,0,0,0,Matches,ce5b170a
6,Ali Adnan Kadhim,iq IRQ,MFDF,Udinese,23,1993,18.6,4,0,0,20,22,1,86,42,33,0,0,1,Matches,06050480
7,Arlind Ajeti,al ALB,DFMF,Crotone,23,1993,14.1,7,0,0,19,6,0,2,32,22,0,1,0,Matches,f9714604
8,Luis Alberto,es ESP,FWMF,Lazio,24,1992,29.7,5,0,0,20,36,3,220,18,27,1,0,0,Matches,5294a83f
9,Raúl Albiol,es ESP,DF,Napoli,31,1985,30.5,7,0,0,30,19,2,4,36,21,0,0,0,Matches,4bd414c1
10,Alisson,br BRA,GK,Roma,24,1992,37.0,1,0,0,0,3,0,0,2,1,0,0,0,Matches,7a2e46a8
11,Allan,br BRA,MF,Napoli,26,1991,31.7,2,0,0,38,48,0,30,31,70,0,0,0,Matches,cc700722
12,Ricky Álvarez,ar ARG,MF,Sampdoria,29,1988,3.0,0,0,0,4,5,0,21,3,2,0,0,0,Matches,92a5ac34
13,Joachim Andersen,dk DEN,DF,Sampdoria,21,1996,6.1,0,0,0,3,4,0,0,10,6,0,0,0,Matches,e34fc66d
14,Felipe Anderson,br BRA,FWMF,Lazio,24,1993,12.9,0,0,0,7,15,0,74,12,19,0,0,0,Matches,9f1893b9
15,Nícolas Andrade,br BRA,GK,Hellas Verona,29,1988,36.0,2,1,0,0,12,0,0,3,3,0,1,0,Matches,326d09ef
16,Marco Andreolli,it ITA,DF,Cagliari,31,1986,20.3,5,0,0,25,9,0,4,31,21,0,0,0,Matches,13d820de
17,Gabriele Angella,it ITA,DF,Udinese,28,1989,9.9,3,0,0,17,4,0,2,22,11,0,3,0,Matches,0c971997
18,Cristian Ansaldi,ar ARG,DFMF,Torino,30,1986,20.8,7,1,1,24,35,0,77,24,32,1,1,0,Matches,bbafc0c4
19,Luca Antei,it ITA,DF,Benevento,25,1992,6.6,1,1,0,9,7,0,1,33,13,0,0,0,Matches,97c9bce3
20,Mirco Antenucci,it ITA,FW,SPAL,32,1984,28.6,1,0,0,36,71,33,37,13,15,1,0,0,Matches,43a2e16c
21,Luca Antonelli,it ITA,DF,Milan,30,1987,1.6,1,0,0,2,4,1,0,1,2,0,0,0,Matches,40f0ed6c
22,Mirko Antonucci,it ITA,FWMF,Roma,18,1999,0.3,0,0,0,0,1,0,5,1,0,0,0,0,Matches,91976866
23,Samuel Armenteros,se SWE,FW,Benevento,27,1990,4.8,1,0,0,9,3,8,1,1,2,0,0,0,Matches,9c8f641a
24,Kwadwo Asamoah,gh GHA,DFMF,Juventus,28,1988,17.4,4,0,0,11,30,1,31,18,23,1,0,0,Matches,089550f5
25,Davide Astori,it ITA,DF,Fiorentina,30,1987,25.0,5,0,0,22,22,1,17,49,28,0,1,0,Matches,1522dab2
26,Felipe Avenatti,uy URU,FW,Bologna,24,1993,5.2,1,0,0,6,4,0,6,2,5,0,0,0,Matches,23f9e9d3
27,Khouma Babacar,sn SEN,FW,Fiorentina,24,1993,5.0,1,0,0,8,12,8,5,2,4,1,0,0,Matches,422ec08a
28,Khouma Babacar,sn SEN,FW,Sassuolo,24,1993,8.3,0,0,0,14,16,5,2,6,7,0,0,0,Matches,422ec08a
29,Milan Badelj,hr CRO,MF,Fiorentina,28,1989,26.1,10,1,1,47,26,0,16,71,43,0,1,0,Matches,e8c930bb
30,Riad Bajić,ba BIH,FW,Udinese,23,1994,0.9,0,0,0,1,0,1,0,0,0,0,0,0,Matches,49d399d5
31,Andrija Balić,hr CRO,MF,Udinese,19,1997,12.0,2,0,0,15,10,1,37,18,11,0,0,0,Matches,9be4ee80
32,Mattia Bani,it ITA,DF,Chievo,23,1993,14.6,5,1,0,16,12,1,5,26,21,0,0,0,Matches,0821331c
33,Antonín Barák,cz CZE,MF,Udinese,22,1994,30.1,5,0,0,46,28,0,34,21,39,0,0,0,Matches,01efac19
34,Andrea Barberis,it ITA,MF,Crotone,23,1993,33.7,1,0,0,29,23,1,91,57,48,0,0,0,Matches,32ebfe1e
35,Nicolò Barella,it ITA,MF,Cagliari,20,1997,32.8,15,1,1,76,64,1,106,39,68,0,1,0,Matches,6928979a
36,Antonio Barreca,it ITA,DF,Torino,22,1995,5.2,0,1,0,4,2,2,12,3,8,0,1,0,Matches,6a189491
37,Édgar Barreto,py PAR,MF,Sampdoria,33,1984,21.8,6,1,1,26,24,0,34,21,44,0,1,0,Matches,43a1bea5
38,Musa Barrow,gm GAM,FW,Atalanta,18,1998,4.9,0,0,0,2,3,3,8,0,2,0,0,0,Matches,e5bf73f3
39,Andrea Barzagli,it ITA,DF,Juventus,36,1981,16.1,2,0,0,10,12,0,4,14,17,0,0,1,Matches,7c0000fd
40,Daniele Baselli,it ITA,MF,Torino,25,1992,28.0,13,2,1,52,52,3,26,57,33,0,0,0,Matches,ea06dd97
41,Dušan Basta,rs SRB,MF,Lazio,32,1984,8.6,0,0,0,7,4,3,29,14,6,0,1,0,Matches,3b57f7f8
42,Gil Bastião Dias,pt POR,FWMF,Fiorentina,20,1996,13.2,1,0,0,14,15,4,19,22,38,0,0,0,Matches,e61bdd69
