--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
1,Rolando Aarons,eng ENG,MFFW,Hellas Verona,21,1995,11,517,47,15.1,5.7,6,,1,5,,4,0.55,2,12,-10,-1.74,-0.56,Matches,c5942695
2,Ignazio Abate,it ITA,DFMF,Milan,30,1986,17,1057,62,30.9,11.7,11,,7,6,,15,1.71,17,10,+7,+0.60,+0.33,Matches,1c529186
3,Nura Abdullahi,ng NGA,DF,Roma,19,1997,0,,,,,0,,0,0,,5,,,,,,,Matches,d24769d8
4,Francesco Acerbi,it ITA,DF,Sassuolo,29,1988,38,3420,90,100.0,38.0,38,,38,0,,0,1.13,29,59,-30,-0.79,,Matches,b96b595c
5,Afriyie Acquah,gh GHA,MF,Torino,25,1992,22,951,43,27.8,10.6,9,,3,13,,11,1.64,13,17,-4,-0.38,-0.82,Matches,d7403bd5
6,Claud Adjapong,it ITA,MF,Sassuolo,19,1998,16,1220,76,35.7,13.6,14,,12,2,,8,1.31,13,22,-9,-0.66,+0.20,Matches,ce5b170a
7,Ali Adnan Kadhim,iq IRQ,MFDF,Udinese,23,1993,23,1674,73,48.9,18.6,18,,14,5,,7,1.17,28,29,-1,-0.05,+0.67,Matches,06050480
8,Arlind Ajeti,al ALB,DFMF,Crotone,23,1993,21,1271,61,37.2,14.1,15,,11,6,,15,0.95,12,28,-16,-1.13,-0.71,Matches,f9714604
9,Luis Alberto,es ESP,FWMF,Lazio,24,1992,34,2669,79,78.0,29.7,32,,19,2,,1,1.91,73,41,+32,+1.08,+0.12,Matches,5294a83f
10,Raúl Albiol,es ESP,DF,Napoli,31,1985,31,2742,88,80.2,30.5,30,,29,1,,5,2.26,58,21,+37,+1.21,-0.25,Matches,4bd414c1
11,Alisson,br BRA,GK,Roma,24,1992,37,3330,90,97.4,37.0,37,,37,0,,0,2.00,60,28,+32,+0.86,-0.14,Matches,7a2e46a8
12,Allan,br BRA,MF,Napoli,26,1991,38,2850,75,83.3,31.7,32,,19,6,,0,2.39,62,21,+41,+1.29,+0.19,Matches,cc700722
13,Ricky Álvarez,ar ARG,MF,Sampdoria,29,1988,12,267,22,7.8,3.0,2,,0,10,,21,1.83,4,5,-1,-0.34,-0.25,Matches,92a5ac34
14,Joachim Andersen,dk DEN,DF,Sampdoria,21,1996,7,546,78,16.0,6.1,6,,6,1,,25,1.29,7,13,-6,-0.99,-1.05,Matches,e34fc66d
15,Felipe Anderson,br BRA,FWMF,Lazio,24,1993,21,1162,55,34.0,12.9,9,,6,12,,2,1.62,33,16,+17,+1.32,+0.40,Matches,9f1893b9
16,Nícolas Andrade,br BRA,GK,Hellas Verona,29,1988,36,3240,90,94.7,36.0,36,,35,0,,1,0.69,29,71,-42,-1.17,+1.83,Matches,326d09ef
17,Marco Andreolli,it ITA,DF,Cagliari,31,1986,23,1829,80,53.5,20.3,20,,19,3,,14,0.91,16,33,-17,-0.84,-0.21,Matches,13d820de
18,Gabriele Angella,it ITA,DF,Udinese,28,1989,12,893,74,26.1,9.9,9,,7,3,,7,0.75,15,16,-1,-0.10,+0.40,Matches,0c971997
19,Cristian Ansaldi,ar ARG,DFMF,Torino,30,1986,25,1872,75,54.7,20.8,20,,17,5,,3,1.48,26,27,-1,-0.05,-0.57,Matches,bbafc0c4
20,Cristian Ansaldi,ar ARG,DFMF,Inter,30,1986,0,,,,,0,,0,0,,2,,,,,,,Matches,bbafc0c4
21,Luca Antei,it ITA,DF,Benevento,25,1992,8,592,74,17.3,6.6,8,,5,0,,2,0.00,4,18,-14,-2.13,-0.95,Matches,97c9bce3
22,Mirco Antenucci,it ITA,FW,SPAL,32,1984,33,2571,78,75.2,28.6,28,,21,5,,2,1.09,33,40,-7,-0.25,+1.13,Matches,43a2e16c
23,Luca Antonelli,it ITA,DF,Milan,30,1987,6,144,24,4.2,1.6,1,,0,5,,24,2.17,2,3,-1,-0.62,-1.04,Matches,40f0ed6c
24,Mirko Antonucci,it ITA,FWMF,Roma,18,1999,2,31,16,0.9,0.3,0,,0,2,,14,0.50,1,1,0,0.00,-0.88,Matches,91976866
25,Mattia Aramu,it ITA,FWMF,Torino,22,1995,0,,,,,0,,0,0,,1,,,,,,,Matches,0847b5a5
26,Samuel Armenteros,se SWE,FW,Benevento,27,1990,9,429,48,12.5,4.8,5,,1,4,,8,0.00,3,11,-8,-1.68,-0.38,Matches,9c8f641a
27,Kwadwo Asamoah,gh GHA,DFMF,Juventus,28,1988,19,1568,83,45.8,17.4,18,,15,1,,18,2.21,28,10,+18,+1.03,-1.11,Matches,089550f5
28,Davide Astori,it ITA,DF,Fiorentina,30,1987,25,2250,90,65.8,25.0,25,,25,0,,0,1.40,34,29,+5,+0.20,-0.03,Matches,1522dab2
29,Felipe Avenatti,uy URU,FW,Bologna,24,1993,11,468,43,13.7,5.2,4,,1,7,,5,0.27,3,5,-2,-0.38,-0.08,Matches,23f9e9d3
30,Khouma Babacar,sn SEN,FW,Fiorentina,24,1993,16,448,28,13.1,5.0,1,,0,15,,6,1.25,8,5,+3,+0.60,+0.45,Matches,422ec08a
31,Khouma Babacar,sn SEN,FW,Sassuolo,24,1993,13,750,58,21.9,8.3,8,,4,5,,3,1.23,7,16,-9,-1.08,-0.37,Matches,422ec08a
32,Milan Badelj,hr CRO,MF,Fiorentina,28,1989,27,2351,87,68.7,26.1,27,,22,0,,2,1.56,38,28,+10,+0.38,+0.55,Matches,e8c930bb
33,Riad Bajić,ba BIH,FW,Udinese,23,1994,5,80,16,2.3,0.9,0,,0,5,,14,0.00,1,2,-1,-1.13,-0.75,Matches,49d399d5
34,Andrija Balić,hr CRO,MF,Udinese,19,1997,21,1083,52,31.7,12.0,11,,7,10,,16,0.71,11,25,-14,-1.16,-1.12,Matches,9be4ee80
35,Mattia Bani,it ITA,DF,Chievo,23,1993,16,1317,82,38.5,14.6,15,,13,1,,17,0.75,12,25,-13,-0.89,-0.46,Matches,0821331c
36,Antonín Barák,cz CZE,MF,Udinese,22,1994,34,2713,80,79.3,30.1,31,,25,3,,3,1.09,37,44,-7,-0.23,+0.79,Matches,01efac19
37,Andrea Barberis,it ITA,MF,Crotone,23,1993,38,3029,80,88.6,33.7,34,,22,4,,0,0.92,32,60,-28,-0.83,-1.29,Matches,32ebfe1e
38,Gabriel Barbosa,br BRA,FW,SPAL,18,1999,0,,,,,0,,0,0,,1,,,,,,,Matches,16280959
39,Gabriel Barbosa,br BRA,FWMF,Inter,20,1996,0,,,,,0,,0,0,,2,,,,,,,Matches,72d0e1b6
40,Nicolò Barella,it ITA,MF,Cagliari,20,1997,34,2955,87,86.4,32.8,34,,23,0,,0,1.00,28,49,-21,-0.64,+0.72,Matches,6928979a
41,Antonio Barreca,it ITA,DF,Torino,22,1995,9,468,52,13.7,5.2,3,,2,6,,17,1.00,8,11,-3,-0.58,-0.91,Matches,6a189491
42,Édgar Barreto,py PAR,MF,Sampdoria,33,1984,28,1965,70,57.5,21.8,24,,13,4,,5,1.32,30,42,-12,-0.55,-1.04,Matches,43a1bea5
43,Musa Barrow,gm GAM,FW,Atalanta,18,1998,12,443,37,13.0,4.9,5,,0,7,,5,1.67,11,4,+7,+1.42,+1.09,Matches,e5bf73f3
44,Andrea Barzagli,it ITA,DF,Juventus,36,1981,25,1447,58,42.3,16.1,14,,14,11,,12,2.64,34,9,+25,+1.55,-0.13,Matches,7c0000fd
45,Daniele Baselli,it ITA,MF,Torino,25,1992,32,2521,79,73.7,28.0,30,,18,2,,0,1.50,43,32,+11,+0.39,+0.69,Matches,ea06dd97
46,Dušan Basta,rs SRB,MF,Lazio,32,1984,11,775,70,22.7,8.6,9,,5,2,,20,1.73,19,16,+3,+0.35,-0.91,Matches,3b57f7f8
47,Gil Bastião Dias,pt POR,FWMF,Fiorentina,20,1996,27,1190,44,34.8,13.2,9,,2,18,,9,1.07,17,20,-3,-0.23,-0.67,Matches,e61bdd69
48,Samuel Bastien,cd COD,MF,Chievo,20,1996,21,1355,65,39.6,15.1,15,,9,6,,13,1.05,9,24,-15,-1.00,-0.65,Matches,ec30b9c8
49,Alessandro Bastoni,it ITA,DF,Atalanta,18,1999,4,91,23,2.7,1.0,0,,0,4,,18,2.25,0,1,-1,-0.99,-1.50,Matches,75b86fb3
50,Bastos,ao ANG,DF,Lazio,26,1991,21,1407,67,41.1,15.6,16,,11,5,,15,1.71,32,21,+11,+0.70,-0.59,Matches,c01c66d9
51,Enrico Bearzotti,it ITA,DFFW,Hellas Verona,20,1996,6,410,68,12.0,4.6,4,,3,2,,31,0.17,3,11,-8,-1.76,-0.56,Matches,c67836b8
52,Valon Behrami,ch SUI,MF,Udinese,32,1985,20,1398,70,40.9,15.5,18,,6,2,,4,1.45,20,22,-2,-0.13,+0.45,Matches,d3d758d8
53,Vid Belec,si SVN,GK,Benevento,27,1990,13,1113,86,32.5,12.4,13,,12,0,,8,0.46,7,27,-20,-1.62,-0.41,Matches,4f8ce0e1
54,Vid Belec,si SVN,GK,Sampdoria,27,1990,2,180,90,5.3,2.0,2,,2,0,,11,0.00,1,5,-4,-2.00,-2.00,Matches,4f8ce0e1
55,Raoul Bellanova,it ITA,MF,Milan,17,2000,0,,,,,0,,0,0,,3,,,,,,,Matches,e3756e72
56,Alessandro Bellemo,it ITA,MF,SPAL,21,1995,0,,,,,0,,0,0,,19,,,,,,,Matches,fb8b8534
57,Andrea Belotti,it ITA,FW,Torino,23,1993,32,2683,84,78.5,29.8,29,,27,3,,0,1.50,43,35,+8,+0.27,+0.27,Matches,d705ba44
58,Ahmad Benali,ly LBY,MF,Crotone,25,1992,10,811,81,23.7,9.0,10,,8,0,,0,0.90,14,15,-1,-0.11,+0.75,Matches,a128b07e
59,Marco Benassi,it ITA,MF,Fiorentina,22,1994,35,2782,79,81.3,30.9,35,,20,0,,2,1.51,41,35,+6,+0.19,-0.09,Matches,0000acda
60,Medhi Benatia,ma MAR,DF,Juventus,30,1987,20,1755,88,51.3,19.5,19,,19,1,,13,2.55,40,8,+32,+1.64,+0.02,Matches,3b15ef2d
61,Rodrigo Bentancur,uy URU,MF,Juventus,20,1997,20,581,29,17.0,6.5,5,,3,15,,17,2.35,17,7,+10,+1.55,-0.10,Matches,3b8674e6
62,Domenico Berardi,it ITA,FW,Sassuolo,22,1994,31,2296,74,67.1,25.5,29,,12,2,,0,1.13,17,37,-20,-0.78,+0.02,Matches,53a0e358
63,Álex Berenguer,es ESP,FWMF,Torino,22,1995,22,1043,47,30.5,11.6,11,,6,11,,13,1.64,18,13,+5,+0.43,+0.32,Matches,dc1c2fce
64,Bartosz Bereszyński,pl POL,DF,Sampdoria,25,1992,31,2480,80,72.5,27.6,28,,24,3,,4,1.45,37,39,-2,-0.07,+0.12,Matches,61b3978f
65,Etrit Berisha,al ALB,GK,Atalanta,28,1989,31,2790,90,81.6,31.0,31,,31,0,,7,1.58,46,34,+12,+0.39,-0.47,Matches,ee833569
66,Federico Bernardeschi,it ITA,MFFW,Juventus,23,1994,22,847,39,24.8,9.4,7,,1,15,,7,2.45,23,5,+18,+1.91,+0.37,Matches,ee93c1a9
67,Tommaso Berni,it ITA,GK,Inter,34,1983,0,,,,,0,,0,0,,34,,,,,,,Matches,7b8f85c7
68,Andrea Bertolacci,it ITA,MF,Genoa,26,1991,33,2895,88,84.6,32.2,33,,29,0,,2,1.15,28,35,-7,-0.22,+0.30,Matches,c75b6a02
69,Daniel Bessa,it ITA,MF,Genoa,24,1993,11,438,40,12.8,4.9,6,,0,5,,4,1.64,9,9,0,0.00,+0.30,Matches,88895312
70,Daniel Bessa,it ITA,MFFW,Hellas Verona,24,1993,17,1389,82,40.6,15.4,15,,11,2,,0,0.76,13,31,-18,-1.17,+0.16,Matches,88895312
71,Matteo Bianchetti,it ITA,DF,Hellas Verona,24,1993,2,124,62,3.6,1.4,1,,1,1,,3,1.50,1,0,+1,+0.73,+2.06,Matches,b3a20f18
72,Lucas Biglia,ar ARG,MF,Milan,31,1986,28,2039,73,59.6,22.7,24,,16,4,,3,1.54,32,23,+9,+0.40,+0.07,Matches,5710a281
73,Jean-Claude Billong,cm CMR,DF,Benevento,23,1993,5,294,59,8.6,3.3,3,,2,2,,11,0.60,3,11,-8,-2.45,-1.21,Matches,a3e1d20d
74,Davide Biondini,it ITA,MF,Sassuolo,34,1983,7,206,29,6.0,2.3,2,,0,5,,25,0.86,1,5,-4,-1.75,-1.02,Matches,b4c3070a
75,Cristiano Biraghi,it ITA,DFMF,Fiorentina,24,1992,34,2980,88,87.1,33.1,34,,31,0,,3,1.56,51,40,+11,+0.33,+0.95,Matches,9e1577aa
