--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Rolando Aarons,eng ENG,MFFW,Hellas Verona,21,1995,11,6,517,5.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c5942695
2,Ignazio Abate,it ITA,DFMF,Milan,30,1986,17,11,1057,11.7,1,0,1,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09,Matches,1c529186
3,Francesco Acerbi,it ITA,DF,Sassuolo,29,1988,38,38,3420,38.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,b96b595c
4,Afriyie Acquah,gh GHA,MF,Torino,25,1992,22,9,951,10.6,1,0,1,1,0,0,5,1,0.09,0.00,0.09,0.09,0.09,Matches,d7403bd5
5,Claud Adjapong,it ITA,MF,Sassuolo,19,1998,16,14,1220,13.6,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,ce5b170a
6,Ali Adnan Kadhim,iq IRQ,MFDF,Udinese,23,1993,23,18,1674,18.6,0,1,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,Matches,06050480
7,Arlind Ajeti,al ALB,DFMF,Crotone,23,1993,21,15,1271,14.1,0,1,1,0,0,0,7,0,0.00,0.07,0.07,0.00,0.07,Matches,f9714604
8,Luis Alberto,es ESP,FWMF,Lazio,24,1992,34,32,2669,29.7,11,14,25,10,1,2,5,0,0.37,0.47,0.84,0.34,0.81,Matches,5294a83f
9,Raúl Albiol,es ESP,DF,Napoli,31,1985,31,30,2742,30.5,3,1,4,3,0,0,7,0,0.10,0.03,0.13,0.10,0.13,Matches,4bd414c1
10,Alisson,br BRA,GK,Roma,24,1992,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7a2e46a8
11,Allan,br BRA,MF,Napoli,26,1991,38,32,2850,31.7,4,5,9,4,0,0,2,0,0.13,0.16,0.28,0.13,0.28,Matches,cc700722
12,Ricky Álvarez,ar ARG,MF,Sampdoria,29,1988,12,2,267,3.0,1,1,2,1,0,0,0,0,0.34,0.34,0.67,0.34,0.67,Matches,92a5ac34
13,Joachim Andersen,dk DEN,DF,Sampdoria,21,1996,7,6,546,6.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e34fc66d
14,Felipe Anderson,br BRA,FWMF,Lazio,24,1993,21,9,1162,12.9,4,6,10,4,0,0,0,0,0.31,0.46,0.77,0.31,0.77,Matches,9f1893b9
15,Nícolas Andrade,br BRA,GK,Hellas Verona,29,1988,36,36,3240,36.0,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,326d09ef
16,Marco Andreolli,it ITA,DF,Cagliari,31,1986,23,20,1829,20.3,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,13d820de
17,Gabriele Angella,it ITA,DF,Udinese,28,1989,12,9,893,9.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0c971997
18,Cristian Ansaldi,ar ARG,DFMF,Torino,30,1986,25,20,1872,20.8,1,3,4,1,0,0,7,1,0.05,0.14,0.19,0.05,0.19,Matches,bbafc0c4
19,Luca Antei,it ITA,DF,Benevento,25,1992,8,8,592,6.6,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,97c9bce3
20,Mirco Antenucci,it ITA,FW,SPAL,32,1984,33,28,2571,28.6,11,4,15,6,5,5,1,0,0.39,0.14,0.53,0.21,0.35,Matches,43a2e16c
21,Luca Antonelli,it ITA,DF,Milan,30,1987,6,1,144,1.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,40f0ed6c
22,Mirko Antonucci,it ITA,FWMF,Roma,18,1999,2,0,31,0.3,0,1,1,0,0,0,0,0,0.00,2.90,2.90,0.00,2.90,Matches,91976866
23,Samuel Armenteros,se SWE,FW,Benevento,27,1990,9,5,429,4.8,1,0,1,1,0,0,1,0,0.21,0.00,0.21,0.21,0.21,Matches,9c8f641a
24,Kwadwo Asamoah,gh GHA,DFMF,Juventus,28,1988,19,18,1568,17.4,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,089550f5
25,Davide Astori,it ITA,DF,Fiorentina,30,1987,25,25,2250,25.0,1,1,2,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,Matches,1522dab2
26,Felipe Avenatti,uy URU,FW,Bologna,24,1993,11,4,468,5.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,23f9e9d3
27,Khouma Babacar,sn SEN,FW,Fiorentina,24,1993,16,1,448,5.0,4,1,5,2,2,2,1,0,0.80,0.20,1.00,0.40,0.60,Matches,422ec08a
28,Khouma Babacar,sn SEN,FW,Sassuolo,24,1993,13,8,750,8.3,2,1,3,1,1,1,0,0,0.24,0.12,0.36,0.12,0.24,Matches,422ec08a
29,Milan Badelj,hr CRO,MF,Fiorentina,28,1989,27,27,2351,26.1,2,1,3,2,0,0,10,1,0.08,0.04,0.11,0.08,0.11,Matches,e8c930bb
30,Riad Bajić,ba BIH,FW,Udinese,23,1994,5,0,80,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,49d399d5
31,Andrija Balić,hr CRO,MF,Udinese,19,1997,21,11,1083,12.0,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches,9be4ee80
32,Mattia Bani,it ITA,DF,Chievo,23,1993,16,15,1317,14.6,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,0821331c
33,Antonín Barák,cz CZE,MF,Udinese,22,1994,34,31,2713,30.1,7,3,10,7,0,0,5,0,0.23,0.10,0.33,0.23,0.33,Matches,01efac19
34,Andrea Barberis,it ITA,MF,Crotone,23,1993,38,34,3029,33.7,2,1,3,2,0,0,1,0,0.06,0.03,0.09,0.06,0.09,Matches,32ebfe1e
35,Nicolò Barella,it ITA,MF,Cagliari,20,1997,34,34,2955,32.8,6,2,8,3,3,3,15,1,0.18,0.06,0.24,0.09,0.15,Matches,6928979a
36,Antonio Barreca,it ITA,DF,Torino,22,1995,9,3,468,5.2,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,6a189491
37,Édgar Barreto,py PAR,MF,Sampdoria,33,1984,28,24,1965,21.8,1,2,3,1,0,0,6,1,0.05,0.09,0.14,0.05,0.14,Matches,43a1bea5
38,Musa Barrow,gm GAM,FW,Atalanta,18,1998,12,5,443,4.9,3,1,4,3,0,0,0,0,0.61,0.20,0.81,0.61,0.81,Matches,e5bf73f3
39,Andrea Barzagli,it ITA,DF,Juventus,36,1981,25,14,1447,16.1,0,1,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches,7c0000fd
40,Daniele Baselli,it ITA,MF,Torino,25,1992,32,30,2521,28.0,4,0,4,4,0,0,13,2,0.14,0.00,0.14,0.14,0.14,Matches,ea06dd97
41,Dušan Basta,rs SRB,MF,Lazio,32,1984,11,9,775,8.6,0,1,1,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12,Matches,3b57f7f8
42,Gil Bastião Dias,pt POR,FWMF,Fiorentina,20,1996,27,9,1190,13.2,2,3,5,2,0,0,1,0,0.15,0.23,0.38,0.15,0.38,Matches,e61bdd69
43,Samuel Bastien,cd COD,MF,Chievo,20,1996,21,15,1355,15.1,1,0,1,1,0,0,4,1,0.07,0.00,0.07,0.07,0.07,Matches,ec30b9c8
44,Alessandro Bastoni,it ITA,DF,Atalanta,18,1999,4,0,91,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,75b86fb3
45,Bastos,ao ANG,DF,Lazio,26,1991,21,16,1407,15.6,4,0,4,4,0,0,4,0,0.26,0.00,0.26,0.26,0.26,Matches,c01c66d9
46,Enrico Bearzotti,it ITA,DFFW,Hellas Verona,20,1996,6,4,410,4.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c67836b8
47,Valon Behrami,ch SUI,MF,Udinese,32,1985,20,18,1398,15.5,1,0,1,1,0,0,5,0,0.06,0.00,0.06,0.06,0.06,Matches,d3d758d8
48,Vid Belec,si SVN,GK,Benevento,27,1990,13,13,1113,12.4,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,4f8ce0e1
49,Vid Belec,si SVN,GK,Sampdoria,27,1990,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4f8ce0e1
50,Andrea Belotti,it ITA,FW,Torino,23,1993,32,29,2683,29.8,10,5,15,10,0,2,2,0,0.34,0.17,0.50,0.34,0.50,Matches,d705ba44
51,Ahmad Benali,ly LBY,MF,Crotone,25,1992,10,10,811,9.0,1,1,2,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,Matches,a128b07e
52,Marco Benassi,it ITA,MF,Fiorentina,22,1994,35,35,2782,30.9,5,3,8,5,0,0,6,0,0.16,0.10,0.26,0.16,0.26,Matches,0000acda
53,Medhi Benatia,ma MAR,DF,Juventus,30,1987,20,19,1755,19.5,2,0,2,2,0,0,8,0,0.10,0.00,0.10,0.10,0.10,Matches,3b15ef2d
54,Rodrigo Bentancur,uy URU,MF,Juventus,20,1997,20,5,581,6.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3b8674e6
55,Domenico Berardi,it ITA,FW,Sassuolo,22,1994,31,29,2296,25.5,4,2,6,2,2,4,8,1,0.16,0.08,0.24,0.08,0.16,Matches,53a0e358
56,Álex Berenguer,es ESP,FWMF,Torino,22,1995,22,11,1043,11.6,1,3,4,1,0,0,1,0,0.09,0.26,0.35,0.09,0.35,Matches,dc1c2fce
57,Bartosz Bereszyński,pl POL,DF,Sampdoria,25,1992,31,28,2480,27.6,0,1,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,Matches,61b3978f
58,Etrit Berisha,al ALB,GK,Atalanta,28,1989,31,31,2790,31.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ee833569
59,Federico Bernardeschi,it ITA,MFFW,Juventus,23,1994,22,7,847,9.4,4,3,7,4,0,0,4,0,0.43,0.32,0.74,0.43,0.74,Matches,ee93c1a9
60,Andrea Bertolacci,it ITA,MF,Genoa,26,1991,33,33,2895,32.2,1,0,1,1,0,0,7,1,0.03,0.00,0.03,0.03,0.03,Matches,c75b6a02
61,Daniel Bessa,it ITA,MF,Genoa,24,1993,11,6,438,4.9,2,0,2,2,0,0,0,0,0.41,0.00,0.41,0.41,0.41,Matches,88895312
62,Daniel Bessa,it ITA,MFFW,Hellas Verona,24,1993,17,15,1389,15.4,1,1,2,1,0,0,5,0,0.06,0.06,0.13,0.06,0.13,Matches,88895312
63,Matteo Bianchetti,it ITA,DF,Hellas Verona,24,1993,2,1,124,1.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b3a20f18
64,Lucas Biglia,ar ARG,MF,Milan,31,1986,28,24,2039,22.7,1,0,1,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,Matches,5710a281
