--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
1,Justin Bijlow,nl NED,GK,Genoa,28-215,1998,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches,53d93280
2,Jean Butez,fr FRA,GK,Como,31-078,1995,1,1,90,1.0,1,1.00,3,2,66.7,0,1,0,0,0.0,0,0,0,0,,Matches,7f40333d
3,Elia Caprile,it ITA,GK,Cagliari,25-000,2001,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,97d7afbd
4,Marco Carnesecchi,it ITA,GK,Atalanta,26-055,2000,1,1,90,1.0,1,1.00,8,7,87.5,1,0,0,0,0.0,0,0,0,0,,Matches,8ec56e62
5,Edoardo Corvi,it ITA,GK,Parma,25-155,2001,1,1,90,1.0,1,1.00,5,4,80.0,0,0,1,0,0.0,0,0,0,0,,Matches,a89398db
6,Wladimiro Falcone,it ITA,GK,Lecce,31-135,1995,1,1,90,1.0,0,0.00,6,6,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,9f5a610b
7,David de Gea,es ESP,GK,Fiorentina,35-291,1990,1,1,90,1.0,4,4.00,8,4,50.0,0,0,1,0,0.0,0,0,0,0,,Matches,7ba6d84e
8,Mike Maignan,fr FRA,GK,Milan,31-053,1995,1,1,90,1.0,1,1.00,1,0,0.0,1,0,0,0,0.0,0,0,0,0,,Matches,fcb38f57
9,Christos Mandas,gr GRE,GK,Lazio,24-342,2001,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,f794e9ab
10,Josep Martinez,es ESP,GK,Inter,28-090,1998,1,1,90,1.0,1,1.00,3,2,66.7,1,0,0,0,0.0,0,0,0,0,,Matches,11d8aff0
11,Diego Mascardi,it ITA,GK,Torino,19-333,2006,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches,acf47c4a
12,Alex Meret,it ITA,GK,Napoli,29-156,1997,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,9413b19f
13,Arijanet Muric,xk KVX,GK,Sassuolo,27-291,1998,1,1,90,1.0,2,2.00,7,5,71.4,0,0,1,0,0.0,0,0,0,0,,Matches,99aa1a84
14,Maduka Okoye,ng NGA,GK,Udinese,26-362,1999,1,1,90,1.0,1,1.00,6,5,83.3,0,1,0,0,0.0,0,0,0,0,,Matches,ab5c36dd
15,Lorenzo Palmisani,it ITA,GK,Frosinone,22-074,2004,1,1,90,1.0,1,1.00,5,4,80.0,0,0,1,0,0.0,0,0,0,0,,Matches,7059209e
16,Mattia Perin,it ITA,GK,Juventus,33-288,1992,1,0,1,0.0,0,0.00,0,0,,,,,1,,0,0,0,0,,Matches,4c62d0c8
17,Semuel Pizzignacco,it ITA,GK,Monza,24-358,2001,1,1,90,1.0,4,4.00,5,1,20.0,0,0,1,0,0.0,0,0,0,0,,Matches,4f537cf7
18,Łukasz Skorupski,pl POL,GK,Bologna,35-112,1991,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,Matches,ab4449d6
19,Filip Stankovic,rs SRB,GK,Venezia,24-181,2002,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches,d34d8ed2
20,Mile Svilar,rs SRB,GK,Roma,26-363,1999,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,bcf5058a
21,Guglielmo Vicario,it ITA,GK,Juventus,29-322,1996,1,1,89,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,77d6fd4d


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/keepers/Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_keeper">View Original Table</a><br>Generated 8/25/2026.
