--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
148,Moise Kean,it ITA,FW,Fiorentina,26-178,2000,1,0,28,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3d50bcdb
149,Mandela Keita,be BEL,FW,Parma,24-107,2002,1,1,74,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f5692b25
150,Lloyd Kelly,eng ENG,DF,Juventus,27-323,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f31def1e
151,Kialonda,ao ANG,DF,Lecce,28-332,1997,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,34e4dc3b
152,Sead Kolašinac,ba BIH,DFMF,Atalanta,33-066,1993,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3935e52e
153,Randal Kolo Muani,fr FRA,FW,Juventus,27-263,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c0b3669f
154,Abdou-Salam Konaté,sn SEN,MF,Parma,19-273,2006,1,1,83,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,28f5c165
155,Manu Koné,fr FRA,MF,Roma,25-100,2001,1,1,78,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,86574238
156,Teun Koopmeiners,nl NED,DFMF,Juventus,28-178,1998,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a26fb8aa
157,Odilon Kossounou,ci CIV,DF,Atalanta,25-233,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1f3afdcb
158,Eddy Kouadio,ci CIV,DF,Monza,20-087,2006,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7067db90
159,Rachid Kouda,it ITA,MF,Parma,24-031,2002,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8a9ff091
160,Konstantinos Koulierakis,gr GRE,DF,Roma,22-270,2003,1,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cba21b0d
161,Nikola Krstović,me MNE,FW,Atalanta,26-142,2000,1,0,31,0.3,1,0,1,1,0,0,0,0,2.90,0.00,2.90,2.90,2.90,Matches,473803c9
162,Sandro Kulenović,hr CRO,FW,Torino,26-264,1999,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,981e1bee
163,Gabriel Kulla,al ALB,FW,Sassuolo,18-186,2008,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,48f99a2f
164,Giorgi Kvernadze,ge GEO,MF,Frosinone,23-199,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,70006831
165,Noa Lang,nl NED,FWMF,Napoli,27-069,1999,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8e034340
166,Armand Lauriente,fr FRA,FW,Sassuolo,27-264,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2d22cea7
167,Fedde Leysen,be BEL,DF,Sassuolo,23-047,2003,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,19b3caf7
168,Mattia Liberali,it ITA,MF,Como,19-141,2007,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,775f4a87
169,Stanislav Lobotka,sk SVK,MF,Napoli,31-273,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e1cbb531
170,Manuel Locatelli,it ITA,MF,Juventus,28-229,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a8a874f1
171,Ruben Loftus-Cheek,eng ENG,MF,Milan,30-214,1996,1,1,55,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,e97fd090
172,Simone Lontani,it ITA,FW,Parma,18-218,2008,1,1,74,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a345bf69
173,Lorenzo Lucca,it ITA,FW,Napoli,25-349,2000,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,83c06f3a
174,Lorenzo Lucchesi,it ITA,DF,Monza,23-108,2003,1,1,87,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,bf5948ea
175,Douglas Luiz,br BRA,MF,Juventus,28-108,1998,1,1,78,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6f7d826d
176,Emanuele Lulli,it ITA,MF,Roma,19-008,2007,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ca42830f
177,Tommaso Macchioni,it ITA,DF,Sassuolo,20-143,2006,1,1,73,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,78c5642e
178,Mike Maignan,fr FRA,GK,Milan,31-053,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fcb38f57
179,Daniel Maldini,it ITA,MF,Cagliari,24-318,2001,1,1,86,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,801831fe
180,Youssef Maleh,ma MAR,MF,Lecce,28-003,1998,1,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4c8845f7
181,Donyell Malen,nl NED,FW,Roma,27-228,1999,1,1,67,0.7,3,0,3,3,0,0,0,0,4.03,0.00,4.03,4.03,4.03,Matches,116c35df
182,Gianluca Mancini,it ITA,DF,Roma,30-130,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5aa53281
183,Christos Mandas,gr GRE,GK,Lazio,24-342,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f794e9ab
184,Rolando Mandragora,it ITA,MF,Fiorentina,29-057,1997,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c7259b83
185,Ricardo Mangas,pt POR,FW,Monza,28-159,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eef2d8ce
186,Alessandro Marcandalli,it ITA,DF,Genoa,23-304,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d3225ad1
187,Rafa Marín,es ESP,DF,Napoli,24-098,2002,1,1,80,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3239a8ed
188,João Mário Lopes,pt POR,DF,Fiorentina,26-234,2000,1,1,79,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,82a39b66
189,Josep Martinez,es ESP,GK,Inter,28-090,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,11d8aff0
190,Lautaro Martínez,ar ARG,FW,Inter,29-003,1997,1,1,53,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f7036e1c
191,Adam Marušić,me MNE,DF,Lazio,33-312,1992,1,1,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d4535821
192,Diego Mascardi,it ITA,GK,Torino,19-333,2006,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,acf47c4a
193,Patrizio Masini,it ITA,MF,Frosinone,25-210,2001,1,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,151354b8
194,Franco Mastantuono,ar ARG,MF,Fiorentina,19-011,2007,1,1,62,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,633b2b1f
195,Nemanja Matić,rs SRB,MF,Sassuolo,38-024,1988,1,1,73,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eb7822d7
196,Weston McKennie,us USA,MF,Juventus,27-362,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,01c3aff5
197,Scott McTominay,sct SCO,MF,Napoli,29-260,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d93c2511
198,Franz-Ethan Meichtry,ch SUI,MF,Genoa,21-048,2005,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6e907945
199,Paul Mendy,sn SEN,FW,Cagliari,19-236,2007,1,1,65,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2bf26d08
200,Alex Meret,it ITA,GK,Napoli,29-156,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9413b19f
201,Junior Messias,br BRA,FWMF,Genoa,35-104,1991,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f49c4ae9
202,Luis Milla,es ESP,MF,Como,31-322,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,19c36442
203,Lennon Miller,sct SCO,MF,Udinese,20-000,2006,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,38d7f638
204,Juan Miranda,es ESP,DF,Bologna,26-218,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ead61f73
205,Luka Modrić,hr CRO,MF,Milan,40-350,1985,1,0,35,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6025fab1
206,Ilario Monterisi,it ITA,DF,Frosinone,24-249,2001,1,1,66,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,31b252fc
207,Rodrigo Mora,pt POR,MF,Roma,19-112,2007,1,1,53,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fc94b80c
208,Mathis Mout,it ITA,MF,Monza,19-019,2007,1,1,69,0.8,0,1,1,0,0,0,0,0,0.00,1.30,1.30,0.00,1.30,Matches,72760a59
209,Arijanet Muric,xk KVX,GK,Sassuolo,27-291,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,99aa1a84
210,Yunus Musah,us USA,MF,Milan,23-269,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b51b1b9c
211,Kingstone Mutandwa,zm ZAM,FW,Cagliari,23-232,2003,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cbe32194
212,Obite N'Dicka,ci CIV,DF,Roma,27-005,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,441197b8
213,Konan N'dri,ne NIG,FW,Lecce,25-302,2000,1,1,73,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,17329380
214,Corrie Ndaba,ie IRL,DFMF,Lecce,26-243,1999,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4db55657
215,Michel Ndary Adopo,fr FRA,MF,Cagliari,26-037,2000,1,1,90,1.0,0,1,1,0,0,0,0,0,0.00,1.00,1.00,0.00,1.00,Matches,599d91d0
216,Abdoulaye Ndiaye,sn SEN,DF,Parma,24-137,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b8cd2ae4
217,Cher Ndour,it ITA,MF,Fiorentina,22-029,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3b88609d
218,Oumar Ngom,mr MTN,MF,Lecce,22-169,2004,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2fd5aca2
219,Oliver Nielsen,dk DEN,DF,Lazio,23-082,2003,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,e97adead
220,Alieu Njie,se SWE,FW,Torino,21-103,2005,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,15918c9c
221,Brooke Norton-Cuffy,eng ENG,MF,Genoa,22-225,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,54f5b2bd
222,Tijjani Noslin,nl NED,FWMF,Lazio,27-049,1999,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2f067cf2
223,Adam Obert,sk SVK,DF,Cagliari,24-002,2002,1,1,86,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,aa25ce92
224,Cas Odenthal,nl NED,DF,Sassuolo,25-333,2000,1,1,90,1.0,1,0,1,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00,Matches,e14e10b1
225,Jens Odgaard,dk DEN,MF,Bologna,27-147,1999,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,75374ee7
226,Maduka Okoye,ng NGA,GK,Udinese,26-362,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ab5c36dd
227,Mathías Olivera,uy URU,DFMF,Napoli,28-298,1997,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,41c12f75
228,Christian Ordoñez,ar ARG,MF,Parma,22-032,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0d94b6d9
229,Riccardo Orsolini,it ITA,MF,Bologna,29-213,1997,1,1,59,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e14ec482
230,Sebastian Otoa,dk DEN,DF,Genoa,22-104,2004,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a214da59
231,Anthony Oyono,ga GAB,DFMF,Frosinone,25-135,2001,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,68b7e72e
232,Matteo Palma,de GER,DF,Udinese,18-165,2008,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cb2e6751
233,Lorenzo Palmisani,it ITA,GK,Frosinone,22-074,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7059209e
234,Mario Pašalić,hr CRO,MF,Atalanta,31-197,1995,1,1,59,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e599253a
235,Strahinja Pavlović,rs SRB,DF,Milan,25-093,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,25146df0
236,Nicolás Paz,ar ARG,MF,Como,21-351,2004,1,1,88,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,01bb93d5
237,Marcus Pedersen,no NOR,MF,Torino,26-040,2000,1,1,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,596cc50e
238,Alfonso Pedraza,es ESP,DF,Lazio,30-138,1996,1,1,77,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,63f04c6c
239,Zé Pedro Figueiredo,pt POR,DF,Cagliari,29-080,1997,1,1,65,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2063e21d
240,Mateo Pellegrino,ar ARG,FW,Fiorentina,25-177,2001,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8c9e96c5
241,Kike Pérez,es ESP,MF,Venezia,29-192,1997,1,1,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,237a3851
242,Mattia Perin,it ITA,GK,Juventus,33-288,1992,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4c62d0c8
243,Máximo Perrone,ar ARG,MF,Como,23-230,2003,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,53552942
244,Roberto Piccoli,it ITA,FW,Bologna,25-210,2001,1,1,59,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1cadaf34
245,Santiago Pierotti,ar ARG,FW,Lecce,25-144,2001,1,1,89,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ec315772
246,Jakub Piotrowski,pl POL,MF,Udinese,28-325,1997,1,1,70,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,af686bed
247,Niccolò Pisilli,it ITA,MF,Roma,21-336,2004,1,0,12,0.1,1,0,1,1,0,0,0,0,7.50,0.00,7.50,7.50,7.50,Matches,c84dcc88
248,Semuel Pizzignacco,it ITA,GK,Monza,24-358,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4f537cf7
249,Matteo Politano,it ITA,FW,Napoli,33-022,1993,1,1,66,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5e861944
250,Adrien Rabiot,fr FRA,MF,Milan,31-144,1995,1,0,35,0.4,1,1,2,1,0,0,0,0,2.57,2.57,5.14,2.57,5.14,Matches,8794e251
251,Antonio Raimondo,it ITA,FW,Frosinone,22-160,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ce1a6c7e
252,Jacobo Ramón,es ESP,DF,Como,21-231,2005,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4772b1d1
253,Gonçalo Ramos,pt POR,FW,Milan,25-066,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f63cda26
254,Luca Ranieri,it ITA,DF,Fiorentina,27-124,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8c63fae5
255,Giacomo Raspadori,it ITA,FW,Atalanta,26-188,2000,1,1,81,0.9,1,0,1,1,0,0,0,0,1.11,0.00,1.11,1.11,1.11,Matches,6e058f06
256,Jay Robinson,eng ENG,MF,Monza,19-163,2007,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2a616c85
257,Jesus Rodríguez,es ESP,MF,Como,20-277,2005,1,1,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f9f74e43
258,Juan Rodríguez,uy URU,DF,Cagliari,21-087,2005,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8f72c9d2
259,Alessandro Romano,ch SUI,MF,Cagliari,20-069,2006,1,1,90,1.0,1,0,1,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00,Matches,e7b212fa
260,Nicolò Rovella,it ITA,MF,Lazio,24-264,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e58cbfd5
261,Jonathan Rowe,eng ENG,FWMF,Bologna,23-117,2003,1,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8c12f884
262,Albion Rrahmani,xk KVX,FW,Venezia,25-359,2000,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8b61ea62
263,Amir Rrahmani,xk KVX,DF,Napoli,32-182,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4b3e1a38
264,Alexis Saelemaekers,be BEL,MF,Milan,27-059,1999,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ee251371
265,Richie Sagrado,be BEL,MF,Venezia,22-207,2004,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3e3190f1
266,Lazar Samardzic,rs SRB,MF,Atalanta,24-182,2002,1,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,217c93a1
267,Alisson Santos,br BRA,FW,Napoli,23-332,2002,1,1,65,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c67e9194
268,Giorgio Scalvini,it ITA,DF,Atalanta,22-257,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1e9aa637
269,Gianluca Scamacca,it ITA,FW,Atalanta,27-236,1999,1,1,59,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8790f988
270,Joël Schingtienne,be BEL,DF,Venezia,24-013,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,35a4790e
271,Romano Schmid,at AUT,MF,Frosinone,26-210,2000,1,1,58,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,220ace7e
272,Jamil Siebert,de GER,DF,Lecce,24-145,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5967328c
273,Éderson Silva,br BRA,MF,Atalanta,27-049,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a9202def
274,Giovanni Simeone,ar ARG,FW,Torino,31-051,1995,1,1,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,343c0d52
275,Łukasz Skorupski,pl POL,GK,Bologna,35-112,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ab4449d6
276,Ivan Smolčić,hr CRO,DF,Como,26-008,2000,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,08e57960
277,Oumar Solet,fr FRA,DF,Udinese,26-199,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0670ee51
278,Matìas Soulé,ar ARG,FWMF,Roma,23-132,2003,1,0,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c13ddd3e
279,Djibril Sow,ch SUI,MF,Genoa,29-200,1997,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4c6facae
280,Leonardo Spinazzola,it ITA,DF,Napoli,33-153,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3626daea
281,Aleksandar Stanković,rs SRB,MF,Inter,21-022,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,22cdb8a6
282,Filip Stankovic,rs SRB,GK,Venezia,24-181,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d34d8ed2
283,John Stones,eng ENG,DF,Inter,32-089,1994,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5eecec3d
284,Nikola Štulić,rs SRB,FW,Lecce,24-351,2001,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,557ada13
285,Petar Sučić,hr CRO,MF,Inter,22-304,2003,1,0,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,23fb46ea
286,Mile Svilar,rs SRB,GK,Roma,26-363,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bcf5058a
287,Nuno Tavares,pt POR,DFMF,Lazio,26-211,2000,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a65c844b
288,Kenneth Taylor,nl NED,MF,Lazio,24-101,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ad9b2747
289,Aleksa Terzić,rs SRB,DF,Frosinone,27-008,1999,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3ef0a2d7
290,Kristian Thorstvedt,no NOR,MF,Sassuolo,27-165,1999,1,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,76ff8d0d
291,Mariano Troilo,ar ARG,DF,Parma,23-064,2003,1,1,84,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fa2c1419
292,Victor Valdepeñas,es ESP,DF,Fiorentina,19-309,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ad15a64d
293,Emanuele Valeri,it ITA,DF,Parma,27-261,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ec52b661
294,Álex Valle,es ESP,DF,Como,22-122,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,97022551
295,Gustavo Varela,pt POR,FW,Monza,21-207,2005,1,1,82,0.9,1,0,1,1,0,0,0,0,1.10,0.00,1.10,1.10,1.10,Matches,d46ec7b4
296,Johan Vásquez,mx MEX,DF,Genoa,27-307,1998,1,1,86,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5eaed77a
297,Danilo Veiga,pt POR,DF,Lecce,23-334,2002,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,cc094532
298,Antonio Vergara,it ITA,MF,Napoli,23-221,2003,1,0,24,0.3,1,1,2,1,0,0,0,0,3.75,3.75,7.50,3.75,7.50,Matches,848c17ed
299,Guglielmo Vicario,it ITA,GK,Juventus,29-322,1996,1,1,89,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,77d6fd4d
300,Vitinha,pt POR,MF,Genoa,26-163,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,74d4cec6
301,Nikola Vlašić,hr CRO,MF,Torino,28-325,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,aa8e289e
302,Mërgim Vojvoda,xk KVX,MF,Udinese,31-205,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,be2706c0
303,Cristian Volpato,au AUS,FW,Sassuolo,22-283,2003,1,1,87,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,72f87f25
