--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
1,James Abankwah,ie IRL,DF,Udinese,22-221,2004,1,90,90,100.0,1.0,1,90,1,0,,0,1.00,1,1,0,0.00,,Matches,4b7a9fcc
2,Zakaria Aboukhlal,ma MAR,FWMF,Torino,26-188,2000,1,10,10,11.1,0.1,0,,0,1,10,0,0.00,1,0,+1,+9.00,+11.25,Matches,c2a6033c
3,Akor Adams,ng NGA,FW,Venezia,26-208,2000,1,90,90,100.0,1.0,1,90,1,0,,0,0.00,0,2,-2,-2.00,,Matches,2ccd39ed
4,Ché Adams,sct SCO,FWMF,Torino,30-043,1996,1,21,21,23.3,0.2,0,,0,1,21,0,0.00,1,0,+1,+4.29,+6.89,Matches,f2bf1b0f
5,Vasilije Adžić,me MNE,MF,Sassuolo,20-105,2006,1,63,63,70.0,0.7,1,63,0,0,,0,0.00,1,1,0,0.00,+3.33,Matches,8b0f9fb8
6,Manuel Akanji,ch SUI,DF,Inter,31-037,1995,1,74,74,82.2,0.8,1,74,0,0,,0,3.00,4,1,+3,+3.65,+3.65,Matches,89ac64a6
7,Kevin Akpoguma,ng NGA,DF,Frosinone,31-128,1995,0,,,,,0,,0,0,,1,,,,,,,Matches,6ec6fde0
8,Kerim Alajbegović,ba BIH,MF,Juventus,18-338,2007,0,,,,,0,,0,0,,1,,,,,,,Matches,f3d9291e
9,Pontus Almqvist,se SWE,FWMF,Parma,27-046,1999,1,25,25,27.8,0.3,0,,0,1,25,0,0.00,0,1,-1,-3.60,-3.60,Matches,0917188a
10,Wisdom Amey,it ITA,DF,Frosinone,21-014,2005,0,,,,,0,,0,0,,1,,,,,,,Matches,35b4bc62
11,Mikel Amondarain,ar ARG,MF,Bologna,21-231,2005,1,12,12,13.3,0.1,0,,0,1,12,0,0.00,0,0,0,0.00,+1.15,Matches,95cf8804
12,Amorim,br BRA,MF,Genoa,21-099,2005,1,74,74,82.2,0.8,1,74,0,0,,0,0.00,0,0,0,0.00,+11.25,Matches,87c4d798
13,Frank Anguissa,cm CMR,MF,Napoli,30-282,1995,1,66,66,73.3,0.7,1,66,0,0,,0,3.00,0,0,0,0.00,-7.50,Matches,6bb2c084
14,Valentin Antov,bg BUL,DF,Monza,25-289,2000,0,,,,,0,,0,0,,1,,,,,,,Matches,8f68aa41
15,Juan Arizala,co COL,MF,Udinese,20-319,2005,0,,,,,0,,0,0,,1,,,,,,,Matches,82f2e5c8
16,Arthur Atta,fr FRA,MF,Fiorentina,23-223,2003,1,73,73,81.1,0.8,1,73,0,0,,0,0.00,0,3,-3,-3.70,+1.60,Matches,d3ddf88b
17,Emil Audero,id IDN,GK,Como,29-219,1997,0,,,,,0,,0,0,,1,,,,,,,Matches,649b01d8
18,Carlos Augusto,br BRA,DFMF,Inter,27-230,1999,0,,,,,0,,0,0,,1,,,,,,,Matches,8d3cd59d
19,Yann Aurel Bisseck,de GER,DF,Inter,25-269,2000,1,90,90,100.0,1.0,1,90,1,0,,0,3.00,4,1,+3,+3.00,,Matches,3963c25b
20,Giuseppe Aurelio,it ITA,MF,Cagliari,26-156,2000,1,4,4,4.4,0.0,0,,0,1,4,0,3.00,0,0,0,0.00,-1.05,Matches,3bd2a854
21,Neil El Aynaoui,ma MAR,MF,Roma,25-054,2001,1,12,12,13.3,0.1,0,,0,1,12,0,3.00,1,0,+1,+7.50,+4.04,Matches,17e1261b
22,Anouar El Azzouzi,nl NED,DFMF,Frosinone,25-088,2001,0,,,,,0,,0,0,,1,,,,,,,Matches,22a6a4d7
