--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Atalanta,30,27.3,54.6,38,418,3420,38.0,90,65,155,84,6,7,67,3,2.37,1.71,4.08,2.21,3.92
Benevento,29,28.7,42.6,38,418,3420,38.0,40,26,66,35,5,7,95,5,1.05,0.68,1.74,0.92,1.61
Bologna,37,27.2,50.8,38,418,3420,38.0,49,38,87,46,3,4,82,4,1.29,1.00,2.29,1.21,2.21
Cagliari,32,26.5,44.8,38,418,3420,38.0,43,30,73,39,4,5,77,3,1.13,0.79,1.92,1.03,1.82
Crotone,31,27.8,46.3,38,418,3420,38.0,44,27,71,35,9,9,89,4,1.16,0.71,1.87,0.92,1.63
Fiorentina,30,26.6,46.3,38,418,3420,38.0,44,31,75,38,6,6,86,5,1.16,0.82,1.97,1.00,1.82
Genoa,34,28.3,44.8,38,418,3420,38.0,46,32,78,42,4,4,87,2,1.21,0.84,2.05,1.11,1.95
Hellas Verona,32,26.2,49.8,38,418,3420,38.0,38,30,68,35,3,3,91,1,1.00,0.79,1.79,0.92,1.71
Inter,25,27.7,52.5,38,418,3420,38.0,84,62,146,76,8,9,61,2,2.21,1.63,3.84,2.00,3.63
Juventus,30,27.7,56.9,38,418,3420,38.0,76,59,135,68,8,10,80,6,2.00,1.55,3.55,1.79,3.34
Lazio,30,29.4,53.0,38,418,3420,38.0,59,40,99,53,6,10,107,5,1.55,1.05,2.61,1.39,2.45
Milan,29,24.4,51.7,38,418,3420,38.0,72,47,119,57,15,20,83,4,1.89,1.24,3.13,1.50,2.74
Napoli,25,27.1,55.1,38,418,3420,38.0,83,56,139,76,7,8,76,3,2.18,1.47,3.66,2.00,3.47
Parma,42,28.0,47.8,38,418,3420,38.0,39,26,65,34,5,5,91,1,1.03,0.68,1.71,0.89,1.58
Roma,31,26.7,52.2,38,418,3420,38.0,67,51,118,60,7,8,91,3,1.76,1.34,3.11,1.58,2.92
Sampdoria,27,27.9,45.2,38,418,3420,38.0,52,37,89,47,5,6,83,3,1.37,0.97,2.34,1.24,2.21
Sassuolo,28,26.5,60.3,38,418,3420,38.0,61,36,97,48,13,14,79,4,1.61,0.95,2.55,1.26,2.21
Spezia,35,25.2,51.9,38,418,3420,38.0,52,37,89,48,4,5,100,5,1.37,0.97,2.34,1.26,2.24
Torino,29,26.9,47.3,38,418,3420,38.0,49,28,77,44,5,6,78,4,1.29,0.74,2.03,1.16,1.89
Udinese,33,27.2,46.3,38,418,3420,38.0,40,30,70,36,4,4,65,2,1.05,0.79,1.84,0.95,1.74


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2020-2021/2020-2021-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_standard_for">View Original Table</a><br>Generated 8/26/2026.
