--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Standard,,,,,,,,,
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Atalanta,30,38.0,90,614,221,36.0,16.16,5.82,0.15,0.41,6,7
Benevento,29,38.0,40,411,128,31.1,10.82,3.37,0.10,0.31,5,7
Bologna,37,38.0,49,495,175,35.4,13.03,4.61,0.10,0.28,3,4
Cagliari,32,38.0,43,429,122,28.4,11.29,3.21,0.10,0.35,4,5
Crotone,31,38.0,44,353,111,31.4,9.29,2.92,0.12,0.40,9,9
Fiorentina,30,38.0,44,366,115,31.4,9.63,3.03,0.12,0.38,6,6
Genoa,34,38.0,46,338,120,35.5,8.89,3.16,0.14,0.38,4,4
Hellas Verona,32,38.0,38,400,118,29.5,10.53,3.11,0.10,0.32,3,3
Inter,25,38.0,84,543,194,35.7,14.29,5.11,0.15,0.43,8,9
Juventus,30,38.0,76,585,206,35.2,15.39,5.42,0.13,0.37,8,10
Lazio,30,38.0,59,514,175,34.0,13.53,4.61,0.11,0.34,6,10
Milan,29,38.0,72,537,184,34.3,14.13,4.84,0.13,0.39,15,20
Napoli,25,38.0,83,637,217,34.1,16.76,5.71,0.13,0.38,7,8
Parma,42,38.0,39,392,123,31.4,10.32,3.24,0.10,0.32,5,5
Roma,31,38.0,67,537,191,35.6,14.13,5.03,0.12,0.35,7,8
Sampdoria,27,38.0,52,422,134,31.8,11.11,3.53,0.12,0.39,5,6
Sassuolo,28,38.0,61,516,164,31.8,13.58,4.32,0.12,0.37,13,14
Spezia,35,38.0,52,382,130,34.0,10.05,3.42,0.14,0.40,4,5
Torino,29,38.0,49,457,144,31.5,12.03,3.79,0.11,0.34,5,6
Udinese,33,38.0,40,410,125,30.5,10.79,3.29,0.10,0.32,4,4


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2020-2021/2020-2021-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_shooting_for">View Original Table</a><br>Generated 8/26/2026.
