--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Performance,,,,,,,,,,,
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Atalanta,30,38.0,67,3,1,580,473,56,657,516,343,5,8,1
Benevento,29,38.0,95,5,2,496,593,61,645,383,288,7,5,6
Bologna,37,38.0,82,4,2,536,476,73,669,424,313,3,9,2
Cagliari,32,38.0,77,3,2,516,469,57,721,388,336,4,5,0
Crotone,31,38.0,89,4,2,531,490,57,544,380,311,7,5,2
Fiorentina,30,38.0,86,5,0,523,523,61,740,388,263,4,11,2
Genoa,34,38.0,87,2,1,520,466,79,579,519,309,2,7,2
Hellas Verona,32,38.0,91,1,0,622,520,108,732,492,269,3,7,2
Inter,25,38.0,61,2,1,472,426,65,702,371,286,6,7,1
Juventus,30,38.0,80,6,2,505,470,93,754,458,323,8,9,2
Lazio,30,38.0,107,5,3,498,427,87,744,445,346,8,10,2
Milan,29,38.0,83,4,1,513,474,92,688,382,357,15,5,1
Napoli,25,38.0,76,3,2,386,548,72,665,369,345,7,5,1
Parma,42,38.0,91,1,0,525,481,78,643,463,317,4,3,3
Roma,31,38.0,91,3,3,553,425,62,679,489,273,6,6,3
Sampdoria,27,38.0,83,3,1,509,485,62,787,453,326,3,9,1
Sassuolo,28,38.0,79,4,2,494,475,57,588,426,310,12,5,1
Spezia,35,38.0,100,5,4,588,529,82,602,395,318,5,10,0
Torino,29,38.0,78,4,3,577,602,59,740,444,306,6,10,0
Udinese,33,38.0,65,2,1,511,522,82,703,440,294,3,14,0


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2020-2021/2020-2021-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_misc_for">View Original Table</a><br>Generated 8/26/2026.
