--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90
Atalanta,30,27.3,38,3420,90,100,38.0,418,80,240,176,23,253,2.05,90,47,+43,+1.13
Benevento,29,28.7,38,3420,90,100,38.0,418,80,238,178,24,258,0.87,40,75,-35,-0.92
Bologna,37,27.2,38,3420,90,100,38.0,418,81,243,172,21,275,1.08,51,65,-14,-0.37
Cagliari,32,26.5,38,3420,90,100,38.0,418,84,252,163,16,277,0.97,43,59,-16,-0.42
Crotone,31,27.8,38,3420,90,100,38.0,418,83,277,138,21,304,0.61,45,92,-47,-1.24
Fiorentina,30,26.6,38,3420,90,100,38.0,418,82,256,158,19,287,1.05,47,59,-12,-0.32
Genoa,34,28.3,38,3420,90,100,38.0,418,79,238,180,24,272,1.11,47,58,-11,-0.29
Hellas Verona,32,26.2,38,3420,90,100,38.0,418,79,250,170,26,281,1.18,46,48,-2,-0.05
Inter,25,27.7,38,3420,90,100,38.0,418,83,257,162,19,251,2.39,89,35,+54,+1.42
Juventus,30,27.7,38,3420,90,100,38.0,418,83,268,146,20,265,2.05,77,38,+39,+1.03
Lazio,30,29.4,38,3420,90,100,38.0,418,80,228,189,22,239,1.79,61,55,+6,+0.16
Milan,29,24.4,38,3420,90,100,38.0,418,82,261,156,22,277,2.08,74,41,+33,+0.87
Napoli,25,27.1,38,3420,90,100,38.0,418,82,247,169,19,256,2.03,86,41,+45,+1.18
Parma,42,28.0,38,3420,90,100,38.0,418,80,251,167,24,272,0.53,39,83,-44,-1.16
Roma,31,26.7,38,3420,90,100,38.0,418,83,263,153,20,262,1.63,68,58,+10,+0.26
Sampdoria,27,27.9,38,3420,90,100,38.0,418,82,263,153,22,295,1.37,52,54,-2,-0.05
Sassuolo,28,26.5,38,3420,90,100,38.0,418,80,235,180,22,267,1.63,64,56,+8,+0.21
Spezia,35,25.2,38,3420,90,100,38.0,418,80,234,180,22,268,1.03,52,72,-20,-0.53
Torino,29,26.9,38,3420,90,100,38.0,418,83,269,147,20,280,0.97,50,69,-19,-0.50
Udinese,33,27.2,38,3420,90,100,38.0,418,83,272,146,20,272,1.05,42,58,-16,-0.42


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2020-2021/2020-2021-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_playing_time_for">View Original Table</a><br>Generated 8/26/2026.
